,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-10-25,23-059,ATL,HOME,DET,W (+18),1,27:20,.788,.750,0.0,3.5,2.1,18.9,1.8,0.0,10.1,15.5,154,110,12.7,5.9
1,2021-11-09,23-074,ATL,AWAY,UTA,L (-12),1,39:13,.778,.778,0.0,10.8,4.8,15.6,0.0,5.7,10.0,24.4,132,122,21.4,10.2
2,2021-11-14,23-079,ATL,HOME,MIL,W (+20),1,33:21,.550,.550,3.5,18.0,10.7,3.6,0.0,0.0,9.1,13.8,117,108,6.3,-3.8
3,2021-11-15,23-080,ATL,HOME,ORL,W (+18),1,16:00,.400,.400,7.9,24.5,17.2,14.6,0.0,0.0,16.7,16.4,95,113,3.6,-8.5
4,2021-11-17,23-082,ATL,HOME,BOS,W (+11),1,31:49,1.056,1.056,0.0,16.4,9.2,9.9,1.6,0.0,0.0,13.6,195,109,18.2,13.1
5,2021-11-20,23-085,ATL,HOME,CHO,W (+10),1,33:38,.781,.800,0.0,4.9,2.9,16.6,0.0,0.0,8.4,16.4,146,119,14.0,6.1
6,2021-11-22,23-087,ATL,HOME,OKC,W (+12),1,29:36,.650,.650,3.9,12.5,8.6,25.1,1.8,0.0,0.0,16.0,147,112,14.0,4.9
7,2021-11-24,23-089,ATL,AWAY,SAS,W (+18),1,25:58,.635,.571,0.0,10.9,6.3,14.1,1.9,0.0,20.2,17.0,111,112,7.5,-1.3
8,2021-11-26,23-091,ATL,AWAY,MEM,W (+32),1,25:29,.500,.500,0.0,3.8,2.2,16.3,0.0,0.0,0.0,12.0,128,109,6.4,-1.2
9,2021-11-27,23-092,ATL,HOME,NYK,L (-9),1,38:00,.308,.308,0.0,5.4,2.5,9.0,1.4,0.0,7.1,16.4,66,113,1.3,-10.9
10,2021-12-01,23-096,ATL,AWAY,IND,W (+3),1,34:16,.864,.864,0.0,13.3,6.9,4.3,1.5,2.5,26.7,20.1,113,115,13.7,1.7
11,2021-12-03,23-098,ATL,HOME,PHI,L (-2),1,31:22,.607,.556,0.0,7.3,3.5,12.3,0.0,0.0,9.2,16.1,117,112,7.9,0.4
12,2021-12-05,23-100,ATL,HOME,CHO,L (-3),1,33:34,.914,.893,0.0,6.8,3.4,12.2,0.0,0.0,6.1,21.0,168,138,21.5,8.4
13,2021-12-06,23-101,ATL,AWAY,MIN,W (+11),1,38:09,.385,.385,0.0,11.6,6.4,14.4,0.0,2.2,13.3,17.4,84,121,4.7,-9.8
14,2021-12-10,23-105,ATL,HOME,BRK,L (-8),1,34:45,.864,.864,2.9,6.6,4.6,15.2,2.8,0.0,26.7,17.5,122,114,15.1,7.3
15,2021-12-13,23-108,ATL,HOME,HOU,L (-6),1,33:56,.250,.250,3.5,6.4,5.0,18.1,1.4,0.0,0.0,12.8,89,134,3.0,-9.5
16,2021-12-15,23-110,ATL,AWAY,ORL,W (+12),1,26:00,.371,.333,4.6,8.0,6.4,25.3,1.9,3.4,9.6,18.3,95,104,6.6,-3.4
17,2021-12-17,23-112,ATL,HOME,DEN,L (-18),1,32:41,.389,.389,3.3,9.5,5.9,16.1,0.0,0.0,18.2,13.7,84,133,3.2,-7.5
18,2022-01-03,23-129,ATL,AWAY,POR,L (-5),1,36:45,.563,.563,0.0,6.2,3.3,7.0,0.0,0.0,11.1,21.3,102,145,8.4,-10.2
19,2022-01-09,23-135,ATL,AWAY,LAC,L (-13),1,34:52,.427,.375,0.0,6.0,3.2,9.3,1.5,2.3,13.4,20.6,80,116,5.1,-5.9
20,2022-01-15,23-141,ATL,HOME,NYK,L (-9),1,29:40,.338,.250,4.4,21.3,12.9,26.4,0.0,3.1,10.1,16.6,99,131,6.5,-5.5
21,2022-01-17,23-143,ATL,HOME,MIL,W (+7),1,36:31,.433,.433,6.1,17.5,11.9,12.5,2.6,2.6,6.3,18.6,99,111,10.3,-1.5
22,2022-01-19,23-145,ATL,HOME,MIN,W (+12),1,37:31,.667,.667,0.0,2.7,1.5,19.9,0.0,0.0,10.0,11.5,134,130,9.6,-2.4
23,2022-01-21,23-147,ATL,HOME,MIA,W (+2),1,36:29,.808,.808,0.0,6.4,3.8,19.2,0.0,0.0,7.1,19.5,149,124,17.5,7.9
24,2022-01-23,23-149,ATL,AWAY,CHO,W (+22),1,28:57,.652,.625,3.3,0.0,1.7,9.9,1.6,3.3,19.2,15.9,109,97,8.4,0.8
25,2022-01-26,23-152,ATL,HOME,SAC,W (+17),1,18:49,.500,.500,0.0,14.7,8.5,6.7,0.0,0.0,0.0,19.3,103,109,4.4,-8.9
26,2022-01-28,23-154,ATL,HOME,BOS,W (+16),1,20:17,.500,.500,0.0,4.7,2.5,13.1,7.4,9.5,0.0,10.9,117,88,6.8,10.0
27,2022-01-30,23-156,ATL,HOME,LAL,W (+8),1,23:51,.500,.500,0.0,0.0,0.0,13.4,0.0,0.0,16.7,11.0,102,123,2.2,-6.9
28,2022-01-31,23-157,ATL,HOME,TOR,L (-6),1,38:50,.945,.958,2.9,2.6,2.8,9.6,2.6,0.0,22.5,21.3,127,111,20.0,7.8
29,2022-02-03,23-160,ATL,HOME,PHO,W (+9),1,37:04,.633,.633,0.0,9.5,4.9,11.1,1.3,0.0,11.8,20.3,113,116,12.1,1.2
30,2022-02-04,23-161,ATL,AWAY,TOR,L (-11),1,26:40,.438,.438,0.0,10.3,4.2,14.4,1.9,0.0,0.0,12.9,106,135,4.3,-7.4
31,2022-02-06,23-163,ATL,AWAY,DAL,L (-9),1,33:42,.423,.423,2.8,0.0,1.5,9.1,1.5,0.0,13.3,18.7,85,116,4.2,-3.2
32,2022-02-08,23-165,ATL,HOME,IND,W (+21),1,31:13,.667,.667,4.4,9.0,7.2,13.9,0.0,2.5,18.2,15.2,124,120,9.2,-3.4
33,2022-02-11,23-168,ATL,HOME,SAS,L (-15),1,31:26,.412,.412,2.9,20.6,10.2,16.1,2.9,5.3,10.5,23.5,93,123,10.9,-1.8
34,2022-02-13,23-170,ATL,AWAY,BOS,L (-10),1,26:06,.500,.500,0.0,7.5,3.6,6.5,0.0,3.9,12.5,13.1,90,112,1.9,-5.5
35,2022-02-15,23-172,ATL,HOME,CLE,W (+8),1,31:23,.732,.688,4.8,3.6,4.1,12.4,1.7,3.3,0.0,13.2,162,130,12.2,4.2
36,2022-02-16,23-173,ATL,AWAY,ORL,W (+21),1,24:40,.750,.750,0.0,12.7,6.3,11.7,2.0,0.0,9.1,18.9,140,111,11.9,4.7
37,2022-02-24,23-181,ATL,AWAY,CHI,L (-4),1,35:12,.409,.409,2.7,7.2,4.6,3.8,0.0,0.0,0.0,12.7,96,118,3.3,-6.3
38,2022-02-26,23-183,ATL,HOME,TOR,W (+27),1,28:52,.778,.778,0.0,13.0,7.6,12.6,3.3,0.0,0.0,14.3,155,100,13.8,8.7
39,2022-03-01,23-186,ATL,AWAY,BOS,L (-9),1,30:53,.346,.346,0.0,18.1,9.3,15.7,3.3,6.5,7.1,21.2,73,108,5.1,-2.1
40,2022-03-03,23-188,ATL,HOME,CHI,W (+6),1,32:30,.612,.615,0.0,9.8,4.5,8.8,1.6,2.4,0.0,20.2,129,130,12.4,-3.1
41,2022-03-04,23-189,ATL,AWAY,WAS,W (+3),1,22:18,.357,.357,4.6,6.5,5.4,6.4,0.0,0.0,0.0,13.7,95,128,1.8,-10.1
42,2022-03-09,23-194,ATL,AWAY,MIL,L (-9),1,25:52,.727,.727,4.0,7.7,5.9,17.5,0.0,0.0,0.0,19.5,146,131,13.3,7.2
43,2022-03-11,23-196,ATL,HOME,LAC,W (+6),1,36:24,.667,.667,2.9,24.3,12.7,7.5,1.4,0.0,7.7,15.8,131,114,13.4,3.5
44,2022-03-13,23-198,ATL,HOME,IND,W (+3),1,34:45,.636,.636,0.0,9.9,5.2,3.5,2.9,0.0,21.4,18.3,97,132,7.3,-7.0
45,2022-03-14,23-199,ATL,HOME,POR,W (+9),1,35:40,.467,.467,2.2,9.4,5.1,8.4,0.0,2.1,0.0,15.9,104,114,8.4,-6.9
46,2022-03-16,23-201,ATL,AWAY,CHO,L (-10),1,35:30,.500,.500,3.1,19.3,11.0,12.7,2.9,0.0,11.1,21.9,98,119,10.6,0.5
47,2022-03-18,23-203,ATL,HOME,MEM,W (+15),1,30:58,.244,.182,3.9,6.5,5.3,25.9,0.0,0.0,7.5,18.9,81,117,2.7,-11.4
48,2022-03-20,23-205,ATL,HOME,NOP,L (-5),1,18:01,.000,.000,0.0,26.1,14.2,0.0,2.6,3.6,28.6,16.5,0,104,-3.5,-16.7
49,2022-03-22,23-207,ATL,AWAY,NYK,W (+6),1,33:43,.709,.667,3.8,21.2,13.6,17.3,1.5,5.5,33.6,19.8,103,112,11.1,-0.2
50,2022-03-23,23-208,ATL,AWAY,DET,L (-21),1,27:47,.333,.333,0.0,8.6,3.7,10.9,1.7,0.0,7.7,19.9,69,121,1.6,-10.1
51,2022-03-25,23-210,ATL,HOME,GSW,W (+11),1,37:17,.559,.559,0.0,16.8,8.5,7.0,1.3,0.0,0.0,21.2,120,117,13.5,-0.7
52,2022-03-28,23-213,ATL,AWAY,IND,W (+9),1,33:44,.846,.846,4.3,4.1,4.2,24.0,0.0,0.0,7.1,18.0,172,137,19.5,7.9
53,2022-03-30,23-215,ATL,AWAY,OKC,W (+18),1,28:47,1.000,1.000,0.0,7.1,3.9,4.7,4.8,0.0,16.7,17.8,148,109,18.1,9.0
54,2022-03-31,23-216,ATL,HOME,CLE,W (+24),1,30:26,.836,.792,0.0,6.2,3.3,9.3,3.2,0.0,6.8,20.9,158,109,19.6,11.5
55,2022-04-02,23-218,ATL,HOME,BRK,W (+7),1,29:41,.250,.250,0.0,12.0,6.1,0.0,0.0,0.0,9.1,15.7,48,116,-2.2,-15.6
56,2022-04-05,23-221,ATL,AWAY,TOR,L (-10),1,31:01,.808,.808,0.0,5.8,3.0,20.2,1.6,2.3,7.1,20.4,142,124,18.4,12.0
57,2022-04-06,23-222,ATL,HOME,WAS,W (+15),1,28:33,.278,.278,0.0,13.3,6.1,12.7,0.0,0.0,0.0,14.2,75,112,1.7,-10.1
58,2022-04-08,23-224,ATL,AWAY,MIA,L (-4),1,29:55,.631,.591,3.8,28.3,14.8,14.9,5.1,0.0,7.8,18.7,134,110,14.3,8.2
59,2022-04-10,23-226,ATL,AWAY,HOU,W (+16),1,30:29,.688,.688,0.0,18.3,9.4,20.3,0.0,0.0,11.1,12.9,145,124,9.8,0.6
