,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2014-10-29,26-141,ATL,AWAY,TOR,L (-7),1,32:26,.727,.708,0.0,9.2,4.9,42.0,4.8,0.0,30.4,28.0,111,113,17.1,5.0
1,2014-11-01,26-144,ATL,HOME,IND,W (+10),1,32:47,.679,.536,0.0,13.0,7.2,35.5,4.7,6.0,5.2,29.7,137,92,26.4,15.8
2,2014-11-05,26-148,ATL,AWAY,SAS,L (-2),1,33:36,.282,.250,0.0,0.0,0.0,28.5,1.5,0.0,36.0,18.1,57,109,-0.1,-12.7
3,2014-11-07,26-150,ATL,AWAY,CHO,L (-3),1,43:52,.444,.413,5.6,6.3,5.9,63.8,0.0,1.7,16.8,31.9,100,112,15.7,-0.8
4,2014-11-08,26-151,ATL,HOME,NYK,W (+7),1,34:43,.546,.462,3.2,3.3,3.3,28.0,1.6,0.0,0.0,22.9,131,114,15.8,1.9
5,2014-11-10,26-153,ATL,AWAY,NYK,W (+6),1,25:26,.260,.000,0.0,0.0,0.0,41.9,0.0,3.3,34.2,16.8,68,104,1.3,-9.1
6,2014-11-12,26-155,ATL,HOME,UTA,W (+3),1,34:09,.644,.583,0.0,6.9,3.7,38.6,4.7,0.0,20.5,26.9,122,104,18.0,5.6
7,2014-11-14,26-157,ATL,HOME,MIA,W (+11),1,31:48,.606,.500,0.0,4.0,2.2,39.4,1.6,0.0,18.5,24.9,118,116,14.1,-2.5
8,2014-11-15,26-158,ATL,AWAY,CLE,L (-33),1,25:37,.313,.313,0.0,9.9,4.5,15.5,1.9,0.0,33.3,19.8,52,132,-1.3,-17.1
9,2014-11-18,26-161,ATL,HOME,LAL,L (-5),1,30:36,.691,.607,0.0,0.0,0.0,16.5,0.0,0.0,5.7,26.3,142,132,17.1,2.9
10,2014-11-21,26-164,ATL,HOME,DET,W (+10),1,33:52,.756,.667,0.0,11.1,6.2,33.7,3.1,4.6,13.9,30.4,137,95,25.7,18.4
11,2014-11-25,26-168,ATL,AWAY,WAS,W (+4),1,32:13,.556,.421,3.5,6.3,5.0,18.6,4.7,2.3,7.4,36.8,118,106,21.4,8.8
12,2014-11-26,26-169,ATL,HOME,TOR,L (-11),1,34:07,.685,.571,0.0,12.4,6.2,52.5,1.5,0.0,22.2,30.0,126,135,20.3,3.8
13,2014-11-28,26-171,ATL,HOME,NOP,W (+9),1,35:32,.714,.656,7.3,5.7,6.4,38.6,1.5,0.0,18.0,28.9,128,107,22.3,9.1
14,2014-11-29,26-172,ATL,HOME,CHO,W (+30),1,20:59,.429,.429,0.0,8.8,5.6,64.6,0.0,3.5,36.4,26.8,94,90,5.4,-2.4
15,2014-12-02,26-175,ATL,HOME,BOS,W (+4),1,25:12,.500,.500,0.0,0.0,0.0,48.5,1.9,0.0,30.8,23.8,93,111,6.8,-6.2
16,2014-12-03,26-176,ATL,AWAY,MIA,W (+10),1,33:30,.930,.864,0.0,24.7,11.9,30.1,4.7,0.0,12.1,23.6,168,105,28.8,18.9
17,2014-12-05,26-178,ATL,AWAY,BRK,W (+23),1,24:51,.709,.667,0.0,15.8,8.0,38.1,6.1,0.0,9.2,20.7,137,73,15.2,13.9
18,2014-12-07,26-180,ATL,HOME,DEN,W (+12),1,30:00,.346,.346,3.4,3.3,3.4,37.8,1.7,0.0,18.8,23.8,79,99,5.4,-4.7
19,2014-12-08,26-181,ATL,AWAY,IND,W (+16),1,31:41,.795,.773,0.0,9.3,5.1,38.0,4.6,0.0,7.0,20.5,156,92,23.9,14.7
20,2014-12-10,26-183,ATL,HOME,PHI,W (+16),1,24:34,.340,.200,4.1,0.0,2.1,32.5,4.3,0.0,25.4,13.9,92,88,5.0,-3.6
21,2014-12-12,26-185,ATL,HOME,ORL,W (+6),1,33:24,.468,.423,3.4,12.5,8.2,32.9,3.1,0.0,17.8,23.8,86,88,9.9,-0.9
22,2014-12-13,26-186,ATL,AWAY,ORL,L (-1),1,32:41,.558,.500,3.9,7.5,5.7,50.5,4.9,2.8,12.2,34.4,113,102,20.2,12.6
23,2014-12-15,26-188,ATL,HOME,CHI,W (+7),1,34:35,.466,.417,0.0,8.3,4.3,33.4,1.5,2.2,13.4,20.8,94,97,10.7,-0.9
24,2014-12-26,26-199,ATL,HOME,MIL,L (-30),1,23:47,.551,.500,0.0,0.0,0.0,38.6,6.4,3.4,21.6,26.9,93,102,8.9,5.1
25,2014-12-27,26-200,ATL,AWAY,MIL,W (+5),1,36:57,.679,.536,2.5,19.3,10.6,38.0,1.5,0.0,9.8,24.2,141,95,23.5,11.1
26,2014-12-30,26-203,ATL,HOME,CLE,W (+8),1,34:48,.661,.654,7.3,8.6,8.0,52.4,4.2,0.0,22.3,29.3,122,103,22.7,7.7
27,2015-01-02,26-206,ATL,AWAY,UTA,W (+6),1,35:41,.647,.588,0.0,10.2,5.7,51.5,4.5,0.0,0.0,25.9,145,99,27.1,18.4
28,2015-01-03,26-207,ATL,AWAY,POR,W (+8),1,35:16,.590,.500,3.2,5.8,4.5,25.4,2.7,0.0,5.1,23.9,130,107,20.5,6.8
29,2015-01-05,26-209,ATL,AWAY,LAC,W (+9),1,32:26,.639,.577,3.4,10.6,6.9,49.1,6.0,0.0,20.4,27.0,117,93,19.2,11.1
30,2015-01-07,26-211,ATL,HOME,MEM,W (+10),1,34:15,.793,.750,0.0,11.4,5.5,43.4,3.1,2.3,16.0,26.5,138,95,22.4,12.0
