,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2015-01-31,25-214,ATL,HOME,PHI,W (+6),1,30:17,.193,.167,3.8,6.9,5.4,9.8,0.0,3.4,11.4,14.2,55,101,-1.2,-11.0
1,2015-02-02,25-216,ATL,AWAY,NOP,L (-15),1,26:54,.436,.444,0.0,13.4,6.4,0.0,0.0,0.0,0.0,18.0,90,131,3.6,-9.3
2,2015-02-28,25-242,ATL,AWAY,MIA,W (+2),1,35:11,.689,.700,0.0,6.3,3.2,5.3,4.3,0.0,21.6,17.9,98,96,9.3,0.7
3,2015-03-07,25-249,ATL,AWAY,PHI,L (-8),1,35:53,.423,.313,0.0,22.3,12.4,9.8,1.4,4.6,22.0,17.7,72,91,6.9,-2.6
4,2015-03-15,25-257,ATL,AWAY,LAL,W (+5),1,37:49,.707,.643,0.0,24.8,13.0,13.2,0.0,3.8,24.6,15.8,107,93,11.7,0.8
5,2015-03-16,25-258,ATL,AWAY,SAC,W (+7),1,29:08,.427,.417,0.0,8.4,3.9,21.0,5.0,2.7,0.0,19.4,101,99,10.1,3.8
6,2015-03-18,25-260,ATL,AWAY,GSW,L (-19),1,30:36,.322,.167,0.0,20.1,8.9,10.7,3.2,0.0,27.9,14.7,59,116,1.9,-9.7
7,2015-03-20,25-262,ATL,AWAY,OKC,L (-8),1,27:41,.556,.556,0.0,18.7,8.9,0.0,1.8,3.2,10.0,16.7,96,128,6.0,-4.4
8,2015-03-28,25-270,ATL,AWAY,CHO,L (-15),1,33:29,.635,.607,0.0,19.9,9.2,10.6,1.6,0.0,11.3,24.9,107,127,13.3,-2.0
9,2015-04-12,25-285,ATL,AWAY,WAS,L (-9),1,28:10,.359,.250,7.7,15.1,11.5,10.5,5.2,2.7,9.3,16.9,85,100,7.3,-1.5
