,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2015-10-27,29-146,ATL,HOME,DET,L (-12),1,30:14,.609,.591,3.7,8.5,6.4,23.1,3.3,7.1,7.5,20.4,122,108,16.4,11.7
1,2015-10-29,29-148,ATL,AWAY,NYK,W (+11),1,30:34,.556,.556,8.1,22.9,16.2,5.6,3.1,7.4,13.7,31.4,97,91,16.9,4.4
2,2015-10-30,29-149,ATL,HOME,CHO,W (+3),1,34:52,.600,.600,2.8,13.8,8.3,16.5,0.0,2.4,11.8,21.7,106,101,12.9,3.5
3,2015-11-01,29-151,ATL,AWAY,CHO,W (+2),1,34:55,.538,.500,6.1,28.6,17.7,5.0,0.0,8.4,16.8,23.4,94,96,12.8,0.2
4,2015-11-03,29-153,ATL,AWAY,MIA,W (+6),1,33:44,.487,.471,19.2,17.8,18.5,11.1,1.5,0.0,5.4,22.9,113,96,16.0,3.8
5,2015-11-04,29-154,ATL,HOME,BRK,W (+14),1,29:54,.893,.850,13.8,19.1,16.7,26.6,0.0,5.2,0.0,19.0,186,100,25.0,16.9
6,2015-11-06,29-156,ATL,AWAY,NOP,W (+6),1,30:20,.467,.467,4.9,15.4,10.8,21.2,1.6,5.9,11.8,25.0,94,114,9.4,-5.9
7,2015-11-07,29-157,ATL,HOME,WAS,W (+15),1,28:41,.474,.385,7.8,31.7,18.8,9.7,1.7,3.1,11.9,24.9,97,97,11.1,-4.0
8,2015-11-09,29-159,ATL,HOME,MIN,L (-10),1,33:03,.441,.400,8.1,18.7,13.0,11.9,1.5,0.0,5.9,23.1,96,121,9.0,-7.2
9,2015-11-11,29-161,ATL,HOME,NOP,W (+8),1,29:54,.867,.867,12.0,18.2,15.3,19.8,0.0,8.9,11.8,26.0,148,100,25.7,18.7
10,2015-11-13,29-163,ATL,AWAY,BOS,L (-13),1,32:23,.591,.591,3.9,15.8,10.5,43.7,1.6,4.2,0.0,16.2,135,108,16.7,14.1
