,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Wed, Oct 28, 2015",2015,10,28,7:30p,True,PHI,W,False,112,95,1,0,W 1
1,"Fri, Oct 30, 2015",2015,10,30,7:30p,True,TOR,L,False,103,113,1,1,L 1
2,"Sun, Nov 1, 2015",2015,11,1,3:30p,True,SAS,L,False,87,95,1,2,L 2
3,"Wed, Nov 4, 2015",2015,11,4,7:00p,False,IND,L,False,98,100,1,3,L 3
4,"Fri, Nov 6, 2015",2015,11,6,7:30p,True,WAS,W,False,118,98,2,3,W 1
5,"Tue, Nov 10, 2015",2015,11,10,8:00p,False,MIL,W,False,99,83,3,3,W 2
6,"Wed, Nov 11, 2015",2015,11,11,7:30p,True,IND,L,False,91,102,3,4,L 1
7,"Fri, Nov 13, 2015",2015,11,13,7:30p,True,ATL,W,False,106,93,4,4,W 1
8,"Sun, Nov 15, 2015",2015,11,15,7:00p,False,OKC,W,False,100,85,5,4,W 2
9,"Mon, Nov 16, 2015",2015,11,16,8:00p,False,HOU,W,False,111,95,6,4,W 3
10,"Wed, Nov 18, 2015",2015,11,18,7:30p,True,DAL,L,False,102,106,6,5,L 1
11,"Fri, Nov 20, 2015",2015,11,20,7:30p,True,BRK,W,False,120,95,7,5,W 1
12,"Sun, Nov 22, 2015",2015,11,22,6:00p,False,BRK,L,False,101,111,7,6,L 1
13,"Tue, Nov 24, 2015",2015,11,24,8:00p,False,ATL,L,False,97,121,7,7,L 2
14,"Wed, Nov 25, 2015",2015,11,25,7:30p,True,PHI,W,False,84,80,8,7,W 1
15,"Fri, Nov 27, 2015",2015,11,27,7:30p,True,WAS,W,False,111,78,9,7,W 2
16,"Sun, Nov 29, 2015",2015,11,29,6:00p,False,ORL,L,False,91,110,9,8,L 1
17,"Mon, Nov 30, 2015",2015,11,30,7:30p,False,MIA,W,False,105,95,10,8,W 1
18,"Thu, Dec 3, 2015",2015,12,3,10:00p,False,SAC,W,False,114,97,11,8,W 2
19,"Sat, Dec 5, 2015",2015,12,5,8:30p,False,SAS,L,False,105,108,11,9,L 1
21,"Mon, Dec 7, 2015",2015,12,7,8:00p,False,NOP,W,False,111,93,12,9,W 1
22,"Wed, Dec 9, 2015",2015,12,9,7:00p,True,CHI,W,False,105,100,13,9,W 2
23,"Fri, Dec 11, 2015",2015,12,11,7:30p,True,GSW,L,True,119,124,13,10,L 1
24,"Sat, Dec 12, 2015",2015,12,12,7:00p,False,CHO,W,False,98,93,14,10,W 1
25,"Tue, Dec 15, 2015",2015,12,15,7:30p,True,CLE,L,False,77,89,14,11,L 1
26,"Wed, Dec 16, 2015",2015,12,16,7:30p,False,DET,L,False,116,119,14,12,L 2
27,"Fri, Dec 18, 2015",2015,12,18,7:30p,True,ATL,L,False,101,109,14,13,L 3
28,"Mon, Dec 21, 2015",2015,12,21,7:30p,True,MIN,W,False,113,99,15,13,W 1
29,"Wed, Dec 23, 2015",2015,12,23,7:00p,False,CHO,W,False,102,89,16,13,W 2
30,"Sat, Dec 26, 2015",2015,12,26,7:30p,False,DET,W,False,99,93,17,13,W 3
31,"Sun, Dec 27, 2015",2015,12,27,7:00p,True,NYK,W,False,100,91,18,13,W 4
32,"Wed, Dec 30, 2015",2015,12,30,7:30p,True,LAL,L,False,104,112,18,14,L 1
33,"Sat, Jan 2, 2016",2016,1,2,3:00p,True,BRK,L,False,97,100,18,15,L 2
34,"Mon, Jan 4, 2016",2016,1,4,7:30p,False,BRK,W,False,103,94,19,15,W 1
35,"Wed, Jan 6, 2016",2016,1,6,7:30p,True,DET,L,False,94,99,19,16,L 1
36,"Thu, Jan 7, 2016",2016,1,7,8:00p,False,CHI,L,False,92,101,19,17,L 2
37,"Sun, Jan 10, 2016",2016,1,10,6:00p,False,MEM,L,False,98,101,19,18,L 3
38,"Tue, Jan 12, 2016",2016,1,12,7:30p,False,NYK,L,False,114,120,19,19,L 4
39,"Wed, Jan 13, 2016",2016,1,13,8:00p,True,IND,W,False,103,94,20,19,W 1
40,"Fri, Jan 15, 2016",2016,1,15,7:30p,True,PHO,W,False,117,103,21,19,W 2
42,"Sat, Jan 16, 2016",2016,1,16,7:30p,False,WAS,W,False,119,117,22,19,W 3
43,"Mon, Jan 18, 2016",2016,1,18,8:30p,False,DAL,L,True,113,118,22,20,L 1
44,"Wed, Jan 20, 2016",2016,1,20,7:30p,False,TOR,L,False,109,115,22,21,L 2
45,"Fri, Jan 22, 2016",2016,1,22,7:30p,True,CHI,W,False,110,101,23,21,W 1
46,"Sun, Jan 24, 2016",2016,1,24,7:00p,False,PHI,W,False,112,92,24,21,W 2
47,"Mon, Jan 25, 2016",2016,1,25,7:00p,False,WAS,W,False,116,91,25,21,W 3
48,"Wed, Jan 27, 2016",2016,1,27,7:30p,True,DEN,W,False,111,103,26,21,W 4
49,"Fri, Jan 29, 2016",2016,1,29,7:30p,True,ORL,W,False,113,94,27,21,W 5
50,"Sun, Jan 31, 2016",2016,1,31,6:00p,False,ORL,L,False,114,119,27,22,L 1
51,"Tue, Feb 2, 2016",2016,2,2,7:30p,False,NYK,W,False,97,89,28,22,W 1
52,"Wed, Feb 3, 2016",2016,2,3,7:30p,True,DET,W,False,102,95,29,22,W 2
53,"Fri, Feb 5, 2016",2016,2,5,7:30p,False,CLE,W,False,104,103,30,22,W 3
54,"Sun, Feb 7, 2016",2016,2,7,1:00p,True,SAC,W,False,128,119,31,22,W 4
55,"Tue, Feb 9, 2016",2016,2,9,8:00p,False,MIL,L,False,111,112,31,23,L 1
56,"Wed, Feb 10, 2016",2016,2,10,7:30p,True,LAC,W,True,139,134,32,23,W 1
57,"Fri, Feb 19, 2016",2016,2,19,10:30p,False,UTA,L,False,93,111,32,24,L 1
58,"Sun, Feb 21, 2016",2016,2,21,5:00p,False,DEN,W,False,121,101,33,24,W 1
59,"Mon, Feb 22, 2016",2016,2,22,8:00p,False,MIN,L,False,122,124,33,25,L 1
60,"Thu, Feb 25, 2016",2016,2,25,7:30p,True,MIL,W,False,112,107,34,25,W 1
61,"Sat, Feb 27, 2016",2016,2,27,3:00p,True,MIA,W,False,101,89,35,25,W 2
63,"Mon, Feb 29, 2016",2016,2,29,7:30p,True,UTA,W,False,100,95,36,25,W 3
64,"Wed, Mar 2, 2016",2016,3,2,7:30p,True,POR,W,False,116,93,37,25,W 4
65,"Fri, Mar 4, 2016",2016,3,4,7:30p,True,NYK,W,False,105,104,38,25,W 5
66,"Sat, Mar 5, 2016",2016,3,5,7:00p,False,CLE,L,False,103,120,38,26,L 1
67,"Wed, Mar 9, 2016",2016,3,9,7:00p,True,MEM,W,False,116,96,39,26,W 1
68,"Fri, Mar 11, 2016",2016,3,11,7:30p,True,HOU,L,False,98,102,39,27,L 1
69,"Tue, Mar 15, 2016",2016,3,15,7:00p,False,IND,L,False,98,103,39,28,L 2
70,"Wed, Mar 16, 2016",2016,3,16,7:00p,True,OKC,L,False,109,130,39,29,L 3
71,"Fri, Mar 18, 2016",2016,3,18,7:30p,False,TOR,L,False,91,105,39,30,L 4
72,"Sun, Mar 20, 2016",2016,3,20,6:00p,False,PHI,W,False,120,105,40,30,W 1
73,"Mon, Mar 21, 2016",2016,3,21,7:30p,True,ORL,W,False,107,96,41,30,W 2
74,"Wed, Mar 23, 2016",2016,3,23,7:30p,True,TOR,W,False,91,79,42,30,W 3
75,"Sat, Mar 26, 2016",2016,3,26,10:00p,False,PHO,W,False,102,99,43,30,W 4
76,"Mon, Mar 28, 2016",2016,3,28,10:30p,False,LAC,L,False,90,114,43,31,L 1
77,"Thu, Mar 31, 2016",2016,3,31,10:00p,False,POR,L,False,109,116,43,32,L 2
78,"Fri, Apr 1, 2016",2016,4,1,10:30p,False,GSW,W,False,109,106,44,32,W 1
79,"Sun, Apr 3, 2016",2016,4,3,9:30p,False,LAL,W,False,107,100,45,32,W 2
80,"Wed, Apr 6, 2016",2016,4,6,7:30p,True,NOP,W,False,104,97,46,32,W 3
81,"Fri, Apr 8, 2016",2016,4,8,7:30p,True,MIL,W,False,124,109,47,32,W 4
82,"Sat, Apr 9, 2016",2016,4,9,7:30p,False,ATL,L,False,107,118,47,33,L 1
84,"Mon, Apr 11, 2016",2016,4,11,7:30p,True,CHO,L,False,100,114,47,34,L 2
85,"Wed, Apr 13, 2016",2016,4,13,8:00p,True,MIA,W,False,98,88,48,34,W 1
