,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2015-10-28,27-129,BRK,HOME,CHI,L (-15),1,24:28,.500,.500,11.8,11.5,11.7,0.0,2.0,0.0,20.0,24.9,88,119,5.1,-9.7
1,2015-10-30,27-131,BRK,AWAY,SAS,L (-27),1,28:25,.365,.409,7.3,20.1,13.4,0.0,0.0,0.0,7.5,22.8,70,110,2.8,-7.3
2,2015-10-31,27-132,BRK,AWAY,MEM,L (-10),1,31:44,.619,.625,0.0,29.6,16.0,9.9,3.4,2.7,18.4,16.6,102,101,10.2,2.4
3,2015-11-02,27-134,BRK,HOME,MIL,L (-7),1,25:19,.568,.545,10.0,23.0,16.0,38.5,0.0,3.8,8.0,22.1,125,113,12.7,9.1
4,2015-11-04,27-136,BRK,AWAY,ATL,L (-14),1,33:56,.538,.538,13.5,20.2,16.5,16.3,1.6,2.6,23.5,22.3,94,111,10.6,-1.7
5,2015-11-06,27-138,BRK,HOME,LAL,L (-6),1,33:46,.467,.467,8.7,7.7,8.3,9.5,1.4,2.6,11.8,20.7,95,104,9.3,-1.9
6,2015-11-07,27-139,BRK,AWAY,MIL,L (-8),1,39:22,.500,.500,17.8,16.3,17.0,0.0,2.7,0.0,5.3,21.4,113,103,15.9,0.5
7,2015-11-11,27-143,BRK,AWAY,HOU,W (+8),1,22:15,.637,.625,8.3,8.1,8.2,6.9,0.0,10.1,16.4,22.6,115,103,10.2,2.2
8,2015-11-13,27-145,BRK,AWAY,SAC,L (-2),1,29:41,.615,.615,3.7,25.9,15.5,5.6,3.2,0.0,13.3,21.4,106,102,12.7,0.8
9,2015-11-14,27-146,BRK,AWAY,GSW,L (-8),1,38:34,.568,.545,8.2,19.2,13.7,16.8,4.0,0.0,4.2,28.0,117,101,22.9,10.2
10,2015-11-17,27-149,BRK,HOME,ATL,W (+2),1,32:32,.576,.538,9.8,27.4,18.4,0.0,8.1,0.0,12.6,23.3,105,82,16.0,4.0
11,2015-11-18,27-150,BRK,AWAY,CHO,L (-5),1,32:53,.687,.647,6.5,21.4,13.6,5.2,1.4,0.0,0.0,26.1,139,113,22.8,7.3
12,2015-11-20,27-152,BRK,AWAY,BOS,L (-25),1,28:48,.391,.412,6.9,36.0,19.6,7.1,3.3,0.0,0.0,25.1,92,115,10.2,-0.8
