,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2015-10-27,23-351,CHI,HOME,CLE,W (+2),1,28:48,.557,.556,0.0,6.5,3.4,0.0,0.0,0.0,9.2,16.5,100,104,3.9,-2.8
1,2015-10-28,23-352,CHI,AWAY,BRK,W (+15),1,21:45,.635,.571,0.0,22.1,13.1,0.0,0.0,0.0,0.0,16.4,128,102,6.6,-1.0
2,2015-10-30,23-354,CHI,AWAY,DET,L (-4),1,30:05,.400,.400,3.6,2.8,3.2,5.8,1.7,0.0,0.0,7.7,96,99,2.4,-2.9
3,2015-11-01,23-356,CHI,HOME,ORL,W (+5),1,26:29,.667,.667,0.0,15.1,8.1,0.0,0.0,2.7,14.3,11.6,105,94,5.5,0.1
4,2015-11-03,23-358,CHI,AWAY,CHO,L (-25),1,25:00,.000,.000,0.0,9.4,4.5,17.5,2.0,0.0,20.0,9.1,46,133,-0.2,-9.4
5,2015-11-16,24-006,CHI,HOME,IND,W (+1),1,28:39,.600,.600,0.0,10.3,5.1,10.6,1.7,2.5,28.6,10.9,84,102,4.5,-2.5
6,2015-11-18,24-008,CHI,AWAY,PHO,W (+6),1,18:56,.000,.000,0.0,5.1,2.8,12.4,0.0,0.0,50.0,14.1,21,110,-3.8,-15.7
7,2015-11-20,24-010,CHI,AWAY,GSW,L (-12),1,28:21,.143,.143,3.2,8.7,5.5,10.2,0.0,0.0,0.0,10.8,56,122,-0.2,-10.3
8,2015-11-24,24-014,CHI,AWAY,POR,W (+5),1,13:58,.363,.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,77,103,0.8,-6.8
9,2015-11-27,24-017,CHI,AWAY,IND,L (-12),1,15:59,.429,.429,0.0,19.6,9.2,0.0,2.9,0.0,12.5,20.7,71,99,2.0,-3.4
10,2015-11-30,24-020,CHI,HOME,SAS,W (+3),1,23:13,1.100,1.100,0.0,24.3,12.7,7.2,0.0,0.0,0.0,9.9,205,97,11.2,13.3
11,2015-12-02,24-022,CHI,HOME,DEN,W (+9),1,19:04,.500,.500,0.0,16.8,9.1,8.1,0.0,0.0,0.0,13.1,113,96,4.1,0.8
12,2015-12-05,24-025,CHI,HOME,CHO,L (-6),1,12:08,,,0.0,0.0,0.0,10.7,0.0,0.0,,0.0,224,116,0.7,-4.7
13,2015-12-07,24-027,CHI,HOME,PHO,L (-2),1,23:01,.833,.833,0.0,9.9,4.7,6.4,0.0,0.0,0.0,10.6,169,110,8.3,3.2
14,2015-12-09,24-029,CHI,AWAY,BOS,L (-5),1,21:43,.000,.000,4.7,4.6,4.7,17.0,4.5,0.0,37.5,15.1,27,104,-2.2,-10.8
15,2015-12-10,24-030,CHI,HOME,LAC,W (+3),1,22:09,.333,.333,4.3,11.6,8.2,0.0,0.0,0.0,40.0,10.3,47,97,-1.3,-13.2
16,2015-12-12,24-032,CHI,HOME,NOP,W (+4),1,16:00,.000,.000,0.0,6.5,3.4,9.1,3.1,4.1,50.0,11.6,13,92,-0.7,-7.1
17,2015-12-14,24-034,CHI,HOME,PHI,W (+19),1,36:38,.633,.550,7.1,22.7,16.2,3.6,2.7,0.0,13.7,17.5,120,97,14.6,-1.2
18,2015-12-16,24-036,CHI,HOME,MEM,W (+13),1,22:08,.250,.250,0.0,31.7,15.1,0.0,0.0,0.0,20.0,10.0,41,92,0.4,-7.9
19,2015-12-18,24-038,CHI,HOME,DET,L (-3),1,38:11,.214,.214,2.7,8.8,5.7,0.0,1.4,0.0,22.2,10.3,45,114,-2.9,-10.8
20,2015-12-19,24-039,CHI,AWAY,NYK,L (-16),1,20:55,.583,.583,4.5,29.4,15.3,15.2,0.0,0.0,0.0,12.0,141,117,7.2,4.3
21,2016-01-15,24-066,CHI,HOME,DAL,L (-6),1,20:28,.250,.250,0.0,27.9,13.0,0.0,0.0,0.0,14.3,16.3,47,99,-1.1,-11.0
22,2016-01-18,24-069,CHI,AWAY,DET,W (+10),1,15:44,.375,.375,0.0,17.6,10.4,7.5,0.0,4.4,0.0,11.9,87,107,2.9,-0.9
23,2016-01-20,24-071,CHI,HOME,GSW,L (-31),1,25:59,.125,.125,0.0,20.5,8.9,10.5,0.0,0.0,0.0,12.3,41,126,-0.3,-9.2
24,2016-01-22,24-073,CHI,AWAY,BOS,L (-9),1,16:49,1.000,1.000,0.0,5.6,3.0,8.1,2.9,0.0,0.0,2.4,202,111,3.7,5.1
25,2016-01-23,24-074,CHI,AWAY,CLE,W (+13),1,25:52,.333,.333,0.0,16.6,9.2,15.4,0.0,2.7,0.0,5.5,108,95,4.2,2.0
26,2016-01-25,24-076,CHI,HOME,MIA,L (-5),1,28:19,.253,.182,0.0,15.8,7.1,10.7,0.0,0.0,7.8,20.5,59,100,-0.5,-10.2
27,2016-02-03,24-085,CHI,AWAY,SAC,W (+5),1,21:19,.750,.750,4.9,28.1,16.8,0.0,2.2,0.0,0.0,11.8,148,96,9.9,6.6
28,2016-02-06,24-088,CHI,AWAY,MIN,L (-7),1,10:06,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,9.1,73,133,0.3,-11.1
29,2016-02-24,24-106,CHI,HOME,WAS,W (+5),1,33:38,.727,.727,0.0,11.0,6.2,12.1,0.0,0.0,15.4,16.9,119,107,10.4,1.7
