,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2015-11-20,27-089,CHO,HOME,PHI,W (+25),1,29:17,.507,.438,0.0,10.9,5.9,9.3,0.0,3.1,0.0,14.3,111,98,7.2,-2.8
1,2015-12-17,27-116,CHO,HOME,TOR,W (+10),1,47:27,.674,.636,0.0,10.3,5.8,19.9,0.0,3.9,10.4,29.0,121,99,25.1,6.2
2,2016-01-02,27-132,CHO,HOME,OKC,L (-19),1,33:50,.425,.367,0.0,3.8,1.6,25.9,1.5,2.5,0.0,24.3,93,120,8.5,-1.5
3,2016-01-04,27-134,CHO,AWAY,GSW,L (-10),1,30:56,.505,.458,0.0,12.9,6.0,5.1,0.0,0.0,7.2,20.4,99,120,6.0,-5.5
4,2016-01-06,27-136,CHO,AWAY,PHO,L (-9),1,29:18,.697,.722,3.6,17.7,9.9,23.3,0.0,0.0,31.7,23.5,100,119,9.2,-4.6
5,2016-01-09,27-139,CHO,AWAY,LAC,L (-14),1,40:50,.697,.656,0.0,9.6,5.0,23.0,1.3,0.0,9.7,22.6,134,109,19.0,10.0
6,2016-01-22,27-152,CHO,AWAY,ORL,W (+4),1,29:36,.509,.417,0.0,4.4,1.9,17.3,0.0,0.0,30.4,14.8,87,116,2.5,-9.3
7,2016-01-23,27-153,CHO,HOME,NYK,W (+13),1,40:25,.607,.471,2.2,10.3,5.9,30.2,0.0,2.2,18.9,28.7,107,91,16.8,4.2
8,2016-01-25,27-155,CHO,AWAY,SAC,W (+1),1,50:29,.503,.474,1.8,17.7,7.9,36.3,0.0,0.0,13.1,20.2,112,117,15.5,-1.9
9,2016-01-31,27-161,CHO,AWAY,LAL,W (+19),1,21:58,.287,.250,8.4,13.4,10.8,34.5,0.0,0.0,8.7,21.3,85,90,3.8,-5.9
10,2016-02-03,27-164,CHO,HOME,CLE,W (+9),1,32:25,.673,.615,4.1,14.4,9.6,41.4,0.0,0.0,21.9,32.8,120,111,19.0,7.1
11,2016-04-05,27-226,CHO,AWAY,TOR,L (-6),1,40:09,.723,.636,2.3,9.2,5.3,32.2,1.3,0.0,17.1,20.3,131,108,17.8,7.9
12,2016-04-13,27-234,CHO,HOME,ORL,W (+14),1,20:45,.714,.714,5.9,15.1,10.9,24.5,0.0,0.0,12.5,17.9,134,107,9.7,3.3
