,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2015-10-27,32-312,CLE,AWAY,CHI,L (-2),1,37:09,.582,.567,0.0,11.2,5.3,31.2,1.3,1.9,5.8,20.1,120,98,16.9,7.9
1,2015-10-28,32-313,CLE,AWAY,MEM,W (+30),1,22:38,.563,.563,0.0,8.0,4.5,30.6,0.0,0.0,20.0,19.2,110,86,6.3,3.5
2,2015-10-30,32-315,CLE,HOME,MIA,W (+10),1,25:48,.276,.200,0.0,0.0,0.0,15.8,2.0,0.0,8.4,20.8,71,103,0.7,-10.5
3,2015-11-02,32-318,CLE,AWAY,PHI,W (+7),1,27:56,.928,.900,0.0,3.8,2.1,18.2,1.8,0.0,15.0,21.6,151,107,17.8,9.2
4,2015-11-04,32-320,CLE,HOME,NYK,W (+10),1,36:05,.530,.474,0.0,16.6,9.1,23.8,0.0,0.0,4.6,26.8,111,96,14.7,3.6
5,2015-11-06,32-322,CLE,HOME,PHI,W (+6),1,30:32,.667,.667,0.0,7.7,3.8,38.8,3.3,0.0,14.3,20.0,130,105,16.2,6.8
6,2015-11-08,32-324,CLE,HOME,IND,W (+4),1,37:43,.333,.333,2.8,10.4,6.7,30.9,0.0,0.0,11.8,20.8,85,111,5.8,-5.2
7,2015-11-10,32-326,CLE,HOME,UTA,W (+4),1,35:44,1.082,1.111,0.0,21.8,11.2,30.7,2.9,0.0,27.2,22.7,153,118,28.1,16.2
8,2015-11-13,32-329,CLE,AWAY,NYK,W (+6),1,32:02,.678,.615,0.0,6.4,3.2,20.0,0.0,0.0,16.9,25.7,119,100,12.6,5.9
9,2015-11-14,32-330,CLE,AWAY,MIL,L (-3),1,29:22,.250,.250,7.9,10.8,9.4,23.9,0.0,0.0,27.3,17.7,66,108,0.1,-11.7
10,2015-11-17,32-333,CLE,AWAY,DET,L (-5),1,28:48,.540,.538,0.0,17.4,9.5,41.7,0.0,0.0,12.6,25.7,107,109,11.1,2.1
11,2015-11-27,32-343,CLE,AWAY,CHO,W (+5),1,20:48,.750,.750,0.0,5.1,2.6,25.6,0.0,4.2,42.9,15.0,92,98,2.9,-1.1
12,2015-11-28,32-344,CLE,HOME,BRK,W (+2),1,28:26,.538,.538,0.0,7.5,3.6,7.3,3.4,2.6,18.8,23.8,86,89,7.5,-1.4
13,2015-12-01,32-347,CLE,HOME,WAS,L (-12),1,27:52,.600,.600,0.0,13.2,6.0,26.7,0.0,0.0,9.1,17.1,115,104,8.6,3.4
