,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2015-12-20,23-272,CLE,HOME,PHI,W (+22),1,17:04,.500,.500,0.0,5.6,3.2,43.4,5.8,0.0,7.7,35.1,102,87,9.3,6.8
1,2015-12-23,23-275,CLE,HOME,NYK,W (+7),1,18:57,.300,.143,5.2,0.0,2.8,34.4,0.0,0.0,19.4,25.9,74,107,1.2,-12.0
2,2015-12-25,23-277,CLE,AWAY,GSW,L (-6),1,26:14,.378,.267,9.5,0.0,5.3,16.1,1.9,0.0,10.4,30.0,86,96,6.2,3.0
3,2015-12-28,23-280,CLE,AWAY,PHO,W (+4),1,24:10,.590,.500,0.0,4.8,2.5,20.8,2.3,0.0,5.1,39.4,122,115,15.3,4.1
4,2016-01-02,23-285,CLE,HOME,ORL,W (+25),1,21:26,.431,.333,4.3,4.9,4.6,44.7,0.0,0.0,6.2,34.9,102,93,8.5,0.0
5,2016-01-04,23-287,CLE,HOME,TOR,W (+22),1,28:44,.722,.688,11.5,18.1,15.2,55.0,0.0,0.0,5.5,31.1,166,122,24.6,14.5
6,2016-01-06,23-289,CLE,AWAY,WAS,W (+6),1,33:53,.661,.659,6.9,11.8,9.2,15.1,3.0,2.7,14.2,37.2,124,120,24.1,7.8
7,2016-01-08,23-291,CLE,AWAY,MIN,W (+26),1,27:00,.505,.458,9.9,0.0,4.7,10.4,0.0,0.0,23.7,28.6,92,115,4.2,-13.2
8,2016-01-10,23-293,CLE,AWAY,PHI,W (+10),1,30:49,.259,.233,0.0,17.3,7.9,10.3,3.3,2.6,11.5,24.7,55,84,1.5,-7.6
9,2016-01-12,23-295,CLE,AWAY,DAL,W (+3),1,38:50,.506,.475,0.0,7.6,3.0,42.2,1.4,0.0,12.1,29.9,110,119,14.9,0.9
10,2016-01-14,23-297,CLE,AWAY,SAS,L (-4),1,32:26,.447,.412,0.0,6.6,3.4,20.3,1.6,0.0,14.4,29.8,89,109,7.5,-0.1
11,2016-01-15,23-298,CLE,AWAY,HOU,W (+14),1,29:34,.599,.559,0.0,15.5,7.3,8.4,0.0,3.3,5.0,29.5,124,90,15.1,9.5
12,2016-01-18,23-301,CLE,HOME,GSW,L (-34),1,22:36,.350,.318,10.9,18.7,14.5,20.8,0.0,0.0,14.9,27.7,80,142,3.9,-9.2
13,2016-01-20,23-303,CLE,AWAY,BRK,W (+13),1,21:17,.643,.643,0.0,4.7,2.7,41.8,0.0,0.0,22.2,20.5,114,94,7.5,4.8
14,2016-01-21,23-304,CLE,HOME,LAC,W (+13),1,28:32,.543,.500,4.1,4.1,4.1,23.6,1.8,0.0,4.9,32.1,123,112,14.2,3.4
15,2016-01-23,23-306,CLE,HOME,CHI,L (-13),1,31:11,.335,.313,5.5,3.4,4.6,16.9,3.5,2.2,0.0,23.5,87,110,7.9,2.5
16,2016-01-25,23-308,CLE,HOME,MIN,W (+7),1,27:58,.450,.417,12.3,26.4,19.1,20.8,0.0,0.0,17.5,34.8,92,114,9.5,-6.9
17,2016-01-27,23-310,CLE,HOME,PHO,W (+22),1,22:25,.364,.364,6.7,16.5,12.1,17.6,7.2,0.0,21.4,29.7,77,94,5.6,-8.9
18,2016-01-29,23-312,CLE,AWAY,DET,W (+8),1,32:25,.634,.579,0.0,12.9,6.9,13.0,1.6,0.0,4.3,33.3,128,114,20.5,5.6
19,2016-01-30,23-313,CLE,HOME,SAS,W (+14),1,36:29,.560,.529,3.9,0.0,1.8,23.8,3.0,0.0,5.1,25.9,127,118,17.4,3.7
20,2016-02-01,23-315,CLE,AWAY,IND,W (+5),1,40:59,.574,.525,0.0,7.5,4.4,29.1,0.0,0.0,12.1,28.1,116,111,17.0,1.9
21,2016-02-03,23-317,CLE,AWAY,CHO,L (-9),1,36:37,.677,.618,0.0,3.6,1.7,26.3,1.4,0.0,5.0,27.5,134,123,20.3,5.8
22,2016-02-05,23-319,CLE,HOME,BOS,L (-1),1,37:29,.539,.467,0.0,8.9,4.0,27.4,0.0,0.0,10.2,21.6,113,112,12.8,-1.3
23,2016-02-06,23-320,CLE,HOME,NOP,W (+15),1,37:03,.637,.595,0.0,10.0,5.7,15.7,2.9,0.0,11.6,31.8,118,95,20.6,8.8
24,2016-02-08,23-322,CLE,HOME,SAC,W (+20),1,35:00,.746,.738,5.7,2.8,4.2,60.6,0.0,2.3,8.5,27.6,153,102,29.3,17.8
25,2016-02-10,23-324,CLE,HOME,LAL,W (+9),1,35:50,.679,.688,2.9,6.1,4.5,33.6,2.8,0.0,3.7,33.2,142,117,28.6,12.5
26,2016-02-18,23-332,CLE,HOME,CHI,W (+11),1,31:26,.460,.361,3.4,0.0,1.5,18.6,3.2,0.0,8.8,31.9,100,102,11.1,-1.5
27,2016-02-21,23-335,CLE,AWAY,OKC,W (+23),1,9:16,.200,.200,0.0,10.4,5.9,14.5,0.0,0.0,0.0,24.9,64,106,-0.5,-17.1
28,2016-02-22,23-336,CLE,HOME,DET,L (-8),1,37:42,.635,.595,0.0,3.1,1.5,31.8,2.7,0.0,7.8,32.1,119,102,21.1,10.9
29,2016-02-24,23-338,CLE,HOME,CHO,W (+11),1,32:09,.613,.618,9.5,10.4,10.0,24.8,1.6,3.2,5.1,27.4,132,111,20.7,9.2
30,2016-02-26,23-340,CLE,AWAY,TOR,L (-2),1,31:11,.421,.364,3.9,0.0,2.1,5.3,1.8,0.0,14.4,22.0,83,114,3.5,-7.8
31,2016-02-28,23-342,CLE,AWAY,WAS,L (-14),1,32:11,.618,.550,0.0,3.8,1.8,48.2,0.0,0.0,15.0,37.1,109,119,16.5,4.3
32,2016-02-29,23-343,CLE,HOME,IND,W (+4),1,35:21,.617,.423,3.8,6.8,5.4,28.9,1.5,0.0,18.3,28.2,118,110,16.2,4.3
33,2016-03-04,23-347,CLE,HOME,WAS,W (+25),1,31:40,.556,.528,3.4,12.4,8.1,40.6,1.6,0.0,5.0,28.4,122,89,18.7,10.2
34,2016-03-05,23-348,CLE,HOME,BOS,W (+17),1,30:08,.678,.654,0.0,11.4,5.7,20.7,0.0,5.6,16.9,25.3,121,110,13.4,3.5
35,2016-03-07,23-350,CLE,HOME,MEM,L (-3),1,37:24,.708,.656,0.0,5.7,3.1,26.2,5.1,1.9,26.8,28.4,108,100,19.2,7.4
36,2016-03-09,23-352,CLE,AWAY,SAC,W (+9),1,38:45,.609,.568,0.0,3.0,1.4,19.5,1.2,0.0,7.5,27.9,126,113,20.7,6.9
37,2016-03-10,23-353,CLE,AWAY,LAL,W (+12),1,37:06,.623,.600,3.3,3.9,3.6,37.8,0.0,2.2,8.7,29.1,134,120,21.6,4.2
38,2016-03-13,23-356,CLE,AWAY,LAC,W (+24),1,31:11,.487,.471,0.0,6.8,3.7,25.5,1.7,0.0,10.3,29.7,104,101,9.8,-2.3
39,2016-03-14,23-357,CLE,AWAY,UTA,L (-9),1,33:41,.326,.326,6.3,8.4,7.2,17.1,3.5,3.2,0.0,32.9,85,112,7.7,0.4
40,2016-03-16,23-359,CLE,HOME,DAL,W (+1),1,38:31,.554,.518,3.0,12.8,7.8,5.5,1.4,2.2,11.8,38.3,105,107,18.1,3.1
