,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2015-11-19,25-072,CLE,HOME,MIL,W (+15),1,38:30,.478,.417,0.0,3.5,1.9,43.2,0.0,0.0,29.1,12.7,127,119,8.8,-0.3
1,2015-11-21,25-074,CLE,HOME,ATL,W (+12),1,28:06,.820,.750,0.0,6.6,3.8,15.0,1.8,0.0,0.0,11.6,179,107,11.1,3.1
2,2015-11-23,25-076,CLE,HOME,ORL,W (+14),1,23:51,.889,.875,0.0,0.0,0.0,55.0,2.2,0.0,0.0,16.9,192,116,18.3,19.1
3,2015-12-04,25-087,CLE,AWAY,NOP,L (-6),1,42:02,.800,.800,0.0,6.0,2.8,14.3,1.3,0.0,37.5,8.9,107,117,5.9,-2.9
4,2015-12-05,25-088,CLE,AWAY,MIA,L (-15),1,28:17,.463,.409,0.0,12.1,4.4,35.0,0.0,3.3,20.2,23.0,87,108,5.9,-1.2
5,2015-12-08,25-091,CLE,HOME,POR,W (+5),1,36:42,.708,.708,0.0,11.5,5.9,12.7,1.5,0.0,7.7,17.7,135,115,12.8,0.8
6,2015-12-11,25-094,CLE,AWAY,ORL,W (+35),1,24:08,.857,.857,0.0,4.7,2.7,38.4,0.0,0.0,22.2,17.6,143,91,10.4,5.9
7,2015-12-15,25-098,CLE,AWAY,BOS,W (+12),1,27:30,.167,.167,0.0,3.4,2.0,20.4,2.0,0.0,14.3,12.7,59,94,-0.3,-8.9
8,2015-12-17,25-100,CLE,HOME,OKC,W (+4),1,38:45,.506,.450,5.8,10.6,7.9,33.2,0.0,0.0,8.4,13.4,139,118,12.3,3.6
9,2015-12-26,25-109,CLE,AWAY,POR,L (-29),1,25:35,.625,.625,0.0,4.4,2.1,54.9,0.0,0.0,11.1,16.8,124,120,8.7,2.9
10,2015-12-29,25-112,CLE,AWAY,DEN,W (+6),1,29:15,.340,.200,3.3,20.9,12.0,22.6,3.4,0.0,25.4,12.0,81,87,6.1,-2.1
11,2016-03-26,25-200,CLE,AWAY,NYK,W (+14),1,30:36,.592,.563,0.0,13.1,6.7,9.7,0.0,0.0,19.2,15.9,106,112,5.0,-6.0
12,2016-04-03,25-208,CLE,HOME,CHO,W (+9),1,30:59,.429,.429,4.0,14.8,9.6,33.3,0.0,0.0,30.0,14.7,112,118,5.5,-5.4
13,2016-04-13,25-218,CLE,HOME,DET,L (-2),1,6:09,.600,.600,18.7,58.8,38.3,85.6,0.0,0.0,0.0,37.9,139,105,6.7,22.1
