,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Wed, Oct 28, 2015",2015,10,28,10:00p,False,PHO,W,False,111,95,1,0,W 1
1,"Thu, Oct 29, 2015",2015,10,29,10:30p,False,LAC,L,False,88,104,1,1,L 1
2,"Sun, Nov 1, 2015",2015,11,1,9:30p,False,LAL,W,False,103,93,2,1,W 1
3,"Tue, Nov 3, 2015",2015,11,3,8:30p,True,TOR,L,False,91,102,2,2,L 1
4,"Thu, Nov 5, 2015",2015,11,5,8:30p,True,CHO,L,False,94,108,2,3,L 2
5,"Sat, Nov 7, 2015",2015,11,7,8:30p,True,NOP,W,False,107,98,3,3,W 1
6,"Tue, Nov 10, 2015",2015,11,10,8:00p,False,NOP,L,False,105,120,3,4,L 1
7,"Wed, Nov 11, 2015",2015,11,11,8:00p,True,LAC,W,False,118,108,4,4,W 1
8,"Fri, Nov 13, 2015",2015,11,13,8:30p,True,LAL,W,False,90,82,5,4,W 2
9,"Sat, Nov 14, 2015",2015,11,14,8:00p,False,HOU,W,False,110,98,6,4,W 3
10,"Mon, Nov 16, 2015",2015,11,16,7:00p,False,PHI,W,False,92,86,7,4,W 4
11,"Wed, Nov 18, 2015",2015,11,18,7:30p,False,BOS,W,False,106,102,8,4,W 5
12,"Fri, Nov 20, 2015",2015,11,20,8:30p,True,UTA,W,False,102,93,9,4,W 6
13,"Sun, Nov 22, 2015",2015,11,22,7:00p,False,OKC,L,False,114,117,9,5,L 1
14,"Tue, Nov 24, 2015",2015,11,24,8:00p,False,MEM,L,False,96,110,9,6,L 2
15,"Wed, Nov 25, 2015",2015,11,25,8:30p,False,SAS,L,False,83,88,9,7,L 3
16,"Sat, Nov 28, 2015",2015,11,28,8:30p,True,DEN,W,False,92,81,10,7,W 1
17,"Mon, Nov 30, 2015",2015,11,30,10:00p,False,SAC,L,False,98,112,10,8,L 1
18,"Tue, Dec 1, 2015",2015,12,1,10:00p,False,POR,W,True,115,112,11,8,W 1
19,"Fri, Dec 4, 2015",2015,12,4,8:30p,True,HOU,L,False,96,100,11,9,L 1
21,"Sun, Dec 6, 2015",2015,12,6,6:00p,False,WAS,W,False,116,104,12,9,W 1
22,"Mon, Dec 7, 2015",2015,12,7,7:30p,False,NYK,W,False,104,97,13,9,W 2
23,"Wed, Dec 9, 2015",2015,12,9,9:30p,True,ATL,L,False,95,98,13,10,L 1
24,"Sat, Dec 12, 2015",2015,12,12,8:30p,True,WAS,L,False,111,114,13,11,L 2
25,"Mon, Dec 14, 2015",2015,12,14,8:30p,True,PHO,W,False,104,94,14,11,W 1
26,"Wed, Dec 16, 2015",2015,12,16,7:00p,False,IND,L,False,81,107,14,12,L 1
27,"Fri, Dec 18, 2015",2015,12,18,8:30p,True,MEM,W,False,97,88,15,12,W 1
28,"Tue, Dec 22, 2015",2015,12,22,7:30p,False,TOR,L,False,99,103,15,13,L 1
29,"Wed, Dec 23, 2015",2015,12,23,7:30p,False,BRK,W,True,119,118,16,13,W 1
30,"Sat, Dec 26, 2015",2015,12,26,8:30p,True,CHI,W,False,118,111,17,13,W 2
31,"Mon, Dec 28, 2015",2015,12,28,8:30p,True,MIL,W,False,103,93,18,13,W 3
32,"Wed, Dec 30, 2015",2015,12,30,8:30p,True,GSW,W,False,114,91,19,13,W 4
33,"Fri, Jan 1, 2016",2016,1,1,7:30p,False,MIA,L,False,82,106,19,14,L 1
34,"Sat, Jan 2, 2016",2016,1,2,8:30p,True,NOP,L,False,98,105,19,15,L 2
35,"Tue, Jan 5, 2016",2016,1,5,8:30p,True,SAC,W,True,117,116,20,15,W 1
36,"Wed, Jan 6, 2016",2016,1,6,8:00p,False,NOP,W,False,100,91,21,15,W 2
37,"Fri, Jan 8, 2016",2016,1,8,8:00p,False,MIL,L,False,95,96,21,16,L 1
38,"Sun, Jan 10, 2016",2016,1,10,5:00p,False,MIN,W,False,93,87,22,16,W 1
39,"Tue, Jan 12, 2016",2016,1,12,8:30p,True,CLE,L,True,107,110,22,17,L 1
40,"Wed, Jan 13, 2016",2016,1,13,8:00p,False,OKC,L,False,89,108,22,18,L 2
42,"Fri, Jan 15, 2016",2016,1,15,8:00p,False,CHI,W,False,83,77,23,18,W 1
43,"Sun, Jan 17, 2016",2016,1,17,7:00p,False,SAS,L,False,83,112,23,19,L 1
44,"Mon, Jan 18, 2016",2016,1,18,8:30p,True,BOS,W,True,118,113,24,19,W 1
45,"Wed, Jan 20, 2016",2016,1,20,8:30p,True,MIN,W,True,106,94,25,19,W 2
46,"Fri, Jan 22, 2016",2016,1,22,8:30p,True,OKC,L,False,106,109,25,20,L 1
47,"Sun, Jan 24, 2016",2016,1,24,3:30p,False,HOU,L,False,104,115,25,21,L 2
48,"Tue, Jan 26, 2016",2016,1,26,10:30p,False,LAL,W,False,92,90,26,21,W 1
49,"Wed, Jan 27, 2016",2016,1,27,10:30p,False,GSW,L,False,107,127,26,22,L 1
50,"Fri, Jan 29, 2016",2016,1,29,8:30p,True,BRK,W,False,91,79,27,22,W 1
51,"Sun, Jan 31, 2016",2016,1,31,7:00p,True,PHO,W,False,91,78,28,22,W 2
52,"Mon, Feb 1, 2016",2016,2,1,8:00p,False,ATL,L,False,97,112,28,23,L 1
