,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2015-10-28,27-081,DEN,AWAY,HOU,W (+20),1,35:36,.652,.567,7.1,14.7,11.6,13.2,1.4,7.8,0.0,22.0,146,87,23.3,13.2
1,2015-10-30,27-083,DEN,HOME,MIN,L (-17),1,33:23,.360,.308,0.0,7.0,2.9,6.2,0.0,0.0,6.7,18.2,78,104,1.2,-8.3
2,2015-11-01,27-085,DEN,AWAY,OKC,L (-24),1,27:19,.454,.308,6.9,10.3,8.3,0.0,1.8,0.0,5.7,27.2,101,124,7.9,-2.7
3,2015-11-03,27-087,DEN,AWAY,LAL,W (+11),1,34:33,.640,.500,13.9,11.3,12.5,12.0,1.4,2.3,0.0,20.2,151,111,22.0,5.9
4,2015-11-05,27-089,DEN,HOME,UTA,L (-12),1,36:53,.564,.500,6.2,8.5,7.4,6.4,0.0,4.3,0.0,20.8,126,112,14.4,4.0
5,2015-11-06,27-090,DEN,AWAY,GSW,L (-15),1,34:29,.737,.615,2.8,5.9,4.3,4.8,0.0,0.0,5.6,20.7,145,121,19.3,5.0
6,2015-11-09,27-093,DEN,HOME,POR,W (+4),1,35:25,.276,.200,0.0,13.8,7.9,10.9,1.4,0.0,26.9,19.2,54,109,0.0,-12.4
7,2015-11-11,27-095,DEN,HOME,MIL,W (+1),1,37:34,.623,.529,9.8,17.0,13.0,4.3,1.5,0.0,13.0,28.5,122,120,17.9,-0.1
8,2015-11-13,27-097,DEN,HOME,HOU,W (+9),1,35:33,1.007,.944,3.1,0.0,1.6,14.7,1.4,0.0,13.0,18.4,176,104,24.1,12.7
9,2015-11-14,27-098,DEN,AWAY,PHO,L (-24),1,23:55,.300,.208,7.2,9.3,8.1,13.4,0.0,3.3,0.0,24.0,76,107,2.9,-5.2
10,2015-11-17,27-101,DEN,AWAY,NOP,W (+17),1,36:54,.771,.763,3.6,22.8,13.7,35.4,0.0,0.0,12.6,29.8,146,114,28.1,13.4
11,2015-11-18,27-102,DEN,AWAY,SAS,L (-11),1,30:56,.418,.278,8.2,18.0,12.4,13.3,0.0,2.3,0.0,14.9,115,120,9.1,-1.2
12,2015-11-20,27-104,DEN,HOME,PHO,L (-7),1,38:37,.428,.321,5.4,29.2,15.5,13.8,0.0,4.8,5.4,20.5,104,118,12.2,-2.3
13,2015-11-22,27-106,DEN,HOME,GSW,L (-13),1,34:28,.456,.281,5.8,14.3,9.6,8.9,1.3,0.0,16.1,28.7,90,116,8.8,-6.0
14,2015-11-24,27-108,DEN,HOME,LAC,L (-17),1,36:40,.572,.200,0.0,46.2,25.9,13.8,0.0,0.0,10.3,23.9,118,109,17.7,3.9
15,2015-11-27,27-111,DEN,HOME,SAS,L (-11),1,35:07,.477,.400,3.0,36.2,17.3,11.3,0.0,0.0,0.0,22.7,106,101,12.3,4.2
16,2015-11-28,27-112,DEN,AWAY,DAL,L (-11),1,33:42,.466,.417,3.4,25.3,14.7,5.9,1.6,2.8,18.9,22.1,82,100,7.7,-1.2
17,2015-11-30,27-114,DEN,AWAY,MIL,L (-18),1,34:25,.637,.500,0.0,13.6,6.9,17.6,1.5,2.4,28.2,19.0,98,101,8.8,1.6
18,2015-12-02,27-116,DEN,AWAY,CHI,L (-9),1,34:59,.388,.367,2.3,10.8,6.2,18.8,1.4,0.0,0.0,21.0,90,106,9.0,-2.4
19,2015-12-03,27-117,DEN,AWAY,TOR,W (+1),1,35:28,.711,.654,3.8,12.0,8.4,14.2,0.0,0.0,0.0,20.0,146,117,17.1,4.4
20,2015-12-05,27-119,DEN,AWAY,PHI,W (+3),1,39:15,.668,.607,5.3,14.9,9.8,4.3,1.2,2.8,0.0,19.1,145,107,19.9,4.3
21,2015-12-08,27-122,DEN,HOME,ORL,L (-11),1,37:58,.437,.393,2.3,13.4,7.5,11.7,1.3,1.8,6.3,18.3,89,88,9.5,0.2
22,2015-12-11,27-125,DEN,HOME,MIN,W (+3),1,42:23,.656,.536,2.9,15.0,9.4,16.4,1.2,0.0,0.0,19.5,145,108,21.5,8.5
23,2015-12-14,27-128,DEN,HOME,HOU,W (+6),1,32:03,.677,.563,0.0,17.8,9.6,29.1,3.2,0.0,15.3,17.6,141,113,17.0,7.8
24,2015-12-15,27-129,DEN,AWAY,MIN,W (+12),1,28:11,.633,.500,5.5,8.7,7.3,23.7,0.0,0.0,7.8,22.1,144,123,13.1,1.7
25,2015-12-18,27-132,DEN,AWAY,UTA,L (-9),1,33:43,.468,.350,0.0,4.2,1.7,10.7,0.0,0.0,0.0,16.1,114,117,6.5,-3.5
26,2015-12-20,27-134,DEN,HOME,NOP,L (-5),1,22:54,.589,.350,0.0,12.7,5.6,16.2,0.0,0.0,0.0,28.9,144,141,14.5,1.3
27,2016-01-02,27-147,DEN,AWAY,GSW,L (-3),1,41:09,.558,.528,6.2,10.4,7.8,7.9,2.6,0.0,0.0,21.6,130,111,19.4,7.7
28,2016-01-03,27-148,DEN,HOME,POR,L (-6),1,35:54,.724,.692,0.0,20.3,8.2,17.2,1.5,2.4,0.0,24.6,155,121,25.6,12.8
29,2016-01-06,27-151,DEN,AWAY,MIN,W (+4),1,35:18,.553,.467,0.0,23.2,11.1,26.1,0.0,0.0,10.0,27.4,111,93,14.0,6.9
30,2016-01-08,27-153,DEN,AWAY,MEM,L (-7),1,35:29,.635,.500,5.3,15.9,10.6,19.2,0.0,0.0,8.1,29.9,135,104,22.1,14.4
31,2016-01-10,27-155,DEN,HOME,CHO,W (+3),1,33:51,.569,.444,0.0,18.9,10.1,0.0,1.6,3.0,7.8,36.4,108,100,17.5,1.8
32,2016-01-13,27-158,DEN,HOME,GSW,W (+2),1,38:27,.626,.393,0.0,14.5,7.1,8.1,1.2,0.0,0.0,24.0,144,111,22.9,7.0
33,2016-01-15,27-160,DEN,HOME,MIA,L (-3),1,37:32,.435,.250,0.0,12.8,6.5,8.7,0.0,0.0,19.2,19.5,78,110,3.6,-9.4
34,2016-01-17,27-162,DEN,HOME,IND,W (+3),1,23:06,.747,.591,10.1,12.2,11.1,12.4,4.1,0.0,20.6,32.3,133,122,16.7,4.6
35,2016-01-19,27-164,DEN,HOME,OKC,L (-6),1,39:10,.582,.571,0.0,7.1,3.7,5.4,2.4,0.0,7.9,26.7,108,108,15.9,4.6
36,2016-01-21,27-166,DEN,HOME,MEM,L (-1),1,31:07,.507,.433,3.6,9.1,6.0,0.0,0.0,0.0,5.6,27.0,101,117,8.0,-5.2
37,2016-01-23,27-168,DEN,HOME,DET,W (+3),1,38:14,.681,.567,0.0,18.8,9.1,9.7,2.7,0.0,4.3,29.3,134,109,25.7,6.9
38,2016-01-25,27-170,DEN,HOME,ATL,L (-14),1,32:03,.521,.300,3.4,7.3,5.3,10.5,0.0,0.0,17.2,22.6,101,127,8.5,-6.3
39,2016-01-27,27-172,DEN,AWAY,BOS,L (-8),1,31:49,.603,.531,9.4,11.4,10.5,6.3,0.0,2.2,5.0,25.7,126,112,17.9,5.9
40,2016-01-28,27-173,DEN,AWAY,WAS,W (+4),1,34:41,.702,.667,0.0,15.7,8.6,27.7,1.4,0.0,9.7,25.7,134,115,22.6,9.7
41,2016-01-30,27-175,DEN,AWAY,IND,L (-4),1,41:03,.586,.500,0.0,7.6,4.1,8.7,1.2,0.0,9.2,23.9,110,108,15.6,1.9
42,2016-02-01,27-177,DEN,HOME,TOR,W (+19),1,29:11,.707,.643,0.0,12.9,7.8,17.1,1.7,0.0,30.3,20.0,107,97,9.9,1.5
43,2016-02-03,27-179,DEN,AWAY,UTA,L (-4),1,36:43,.542,.375,0.0,6.5,3.3,0.0,1.5,0.0,8.3,32.1,108,103,12.4,2.0
44,2016-02-05,27-181,DEN,HOME,CHI,W (+5),1,34:56,.828,.625,0.0,9.0,4.7,9.4,1.4,1.7,4.8,24.7,173,111,29.2,12.7
45,2016-02-07,27-183,DEN,AWAY,NYK,W (+5),1,36:35,.546,.385,0.0,11.2,5.6,4.1,1.4,0.0,0.0,21.7,122,107,12.8,0.9
46,2016-02-08,27-184,DEN,AWAY,BRK,L (-1),1,41:26,.629,.563,2.7,6.1,4.3,23.9,2.5,0.0,5.0,21.6,138,114,22.0,8.3
47,2016-02-10,27-186,DEN,AWAY,DET,W (+11),1,38:49,.418,.250,2.9,16.1,9.7,14.0,2.6,0.0,10.0,23.4,91,96,10.5,-4.1
48,2016-02-19,27-195,DEN,AWAY,SAC,L (-6),1,37:26,.807,.682,0.0,9.2,4.3,7.5,3.5,0.0,15.2,21.2,139,106,23.2,8.2
49,2016-02-21,27-197,DEN,HOME,BOS,L (-20),1,31:21,.552,.455,0.0,10.2,5.5,11.6,1.5,0.0,11.5,23.8,104,120,10.6,-2.4
50,2016-02-23,27-199,DEN,HOME,SAC,L (-4),1,37:10,.498,.393,0.0,3.4,1.4,3.7,1.2,0.0,0.0,18.1,108,113,10.8,-2.8
51,2016-02-24,27-200,DEN,AWAY,LAC,W (+6),1,35:50,.454,.433,2.6,18.0,10.3,10.3,1.4,0.0,10.2,23.2,91,86,9.5,1.4
52,2016-02-26,27-202,DEN,AWAY,DAL,L (-6),1,27:57,.455,.409,10.7,18.5,14.1,16.1,0.0,3.2,13.2,23.7,103,121,8.4,-0.7
