,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2015-10-28,25-343,DEN,AWAY,HOU,W (+20),1,30:50,.712,.800,12.3,17.0,15.1,5.7,1.6,9.0,13.7,21.1,123,84,16.3,4.7
1,2015-10-30,25-345,DEN,HOME,MIN,L (-17),1,26:47,.383,.300,18.2,39.3,26.9,7.6,1.9,0.0,14.5,20.9,86,94,9.0,-0.4
2,2015-11-01,25-347,DEN,AWAY,OKC,L (-24),1,14:10,.621,.667,13.3,0.0,8.0,15.8,0.0,11.1,13.4,22.2,113,125,7.1,5.0
3,2015-11-03,25-349,DEN,AWAY,LAL,W (+11),1,39:52,.847,.769,12.0,27.0,20.3,3.9,0.0,0.0,19.5,21.9,139,110,24.9,2.3
4,2015-11-05,25-351,DEN,HOME,UTA,L (-12),1,30:06,.507,.500,7.6,27.7,18.1,14.8,0.0,0.0,0.0,14.2,120,108,8.2,-0.7
5,2015-11-06,25-352,DEN,AWAY,GSW,L (-15),1,21:23,.444,.444,13.5,38.2,25.5,7.5,0.0,4.0,10.0,18.6,95,108,7.4,-3.1
6,2015-11-09,25-355,DEN,HOME,POR,W (+4),1,30:42,.576,.615,16.9,12.8,14.5,5.7,1.6,0.0,11.9,24.9,111,109,12.8,-1.4
7,2015-11-11,25-357,DEN,HOME,MIL,W (+1),1,33:24,.816,.889,18.4,19.2,18.7,5.2,3.3,7.6,14.7,18.9,140,110,22.2,7.8
8,2015-11-13,25-359,DEN,HOME,HOU,W (+9),1,30:04,.415,.375,14.5,26.6,20.4,5.8,0.0,6.7,0.0,23.8,104,97,11.0,-3.5
9,2015-11-14,25-360,DEN,AWAY,PHO,L (-24),1,14:15,.333,.333,24.1,23.5,23.8,0.0,3.3,0.0,40.0,15.1,70,99,2.6,-10.2
