,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2015-11-20,20-274,DEN,HOME,PHO,L (-7),1,17:51,.436,.333,11.7,15.8,13.4,7.5,2.8,0.0,0.0,16.5,116,117,5.1,-4.8
1,2015-11-22,20-276,DEN,HOME,GSW,L (-13),1,27:21,.546,.429,14.6,31.5,22.2,11.1,3.4,2.9,9.0,16.2,122,105,14.5,6.3
2,2015-11-24,20-278,DEN,HOME,LAC,L (-17),1,24:27,.559,.538,4.9,19.2,12.9,22.8,0.0,0.0,6.5,28.2,111,115,9.9,2.8
3,2015-11-27,20-281,DEN,HOME,SAS,L (-11),1,12:24,.750,.750,8.6,11.4,9.8,0.0,0.0,0.0,42.9,26.9,75,104,0.8,-12.2
4,2015-11-28,20-282,DEN,AWAY,DAL,L (-11),1,18:34,.840,.833,12.3,23.0,17.8,0.0,2.9,0.0,38.7,19.6,102,99,5.7,-1.3
5,2015-11-30,20-284,DEN,AWAY,MIL,L (-18),1,25:22,.508,.571,4.7,23.1,14.0,18.5,0.0,6.4,11.3,16.2,96,99,7.5,3.2
6,2015-12-02,20-286,DEN,AWAY,CHI,L (-9),1,10:08,.583,.583,0.0,27.9,12.8,0.0,0.0,6.6,0.0,25.9,108,97,5.2,7.4
7,2016-01-02,20-317,DEN,AWAY,GSW,L (-3),1,5:24,,,0.0,26.5,9.9,22.3,0.0,0.0,100.0,15.3,19,112,-1.8,-25.0
8,2016-01-03,20-318,DEN,HOME,POR,L (-6),1,21:54,.514,.429,17.9,39.9,26.7,16.0,4.8,4.0,18.6,21.6,108,109,9.6,0.5
9,2016-01-06,20-321,DEN,AWAY,MIN,W (+4),1,25:45,.400,.400,8.3,13.6,10.8,22.1,0.0,0.0,28.6,13.1,81,96,3.3,-4.6
10,2016-01-08,20-323,DEN,AWAY,MEM,L (-7),1,18:31,1.125,1.125,15.2,10.2,12.7,12.0,0.0,0.0,20.0,11.5,165,106,9.4,10.3
11,2016-01-10,20-325,DEN,HOME,CHO,W (+3),1,23:08,.500,.500,0.0,32.3,17.3,67.1,0.0,4.4,20.0,10.4,132,98,9.7,11.7
12,2016-01-13,20-328,DEN,HOME,GSW,W (+2),1,15:45,.500,.500,20.3,28.3,24.2,21.9,9.1,0.0,14.3,18.3,112,91,8.1,7.8
13,2016-01-17,20-332,DEN,HOME,IND,W (+3),1,24:14,.660,.591,9.7,0.0,5.3,17.4,7.8,0.0,6.8,23.3,147,116,18.0,11.9
14,2016-01-19,20-334,DEN,HOME,OKC,L (-6),1,19:09,.615,.500,5.2,9.6,7.5,8.4,2.4,0.0,17.0,12.7,115,107,5.2,-0.1
15,2016-01-21,20-336,DEN,HOME,MEM,L (-1),1,13:43,.865,.667,8.1,10.3,9.1,24.1,7.8,0.0,0.0,17.9,192,100,10.9,18.8
16,2016-01-23,20-338,DEN,HOME,DET,W (+3),1,31:50,.715,.682,3.5,15.1,9.1,17.8,3.2,8.2,0.0,18.1,147,102,19.0,10.5
17,2016-01-25,20-340,DEN,HOME,ATL,L (-14),1,18:15,.778,.714,17.9,44.9,30.9,39.8,5.3,4.5,0.0,22.0,173,104,19.9,25.6
18,2016-01-27,20-342,DEN,AWAY,BOS,L (-8),1,19:12,.218,.167,15.6,18.9,17.3,29.9,2.5,3.7,30.4,20.9,65,103,2.8,-4.7
19,2016-01-28,20-343,DEN,AWAY,WAS,W (+4),1,25:28,.563,.583,26.2,21.4,23.6,20.3,1.9,3.1,0.0,22.7,134,110,15.4,4.5
20,2016-01-30,20-345,DEN,AWAY,IND,L (-4),1,35:18,.518,.500,10.5,23.6,17.6,10.2,7.1,0.0,16.3,23.7,95,90,14.6,4.5
21,2016-02-01,20-347,DEN,HOME,TOR,W (+19),1,29:57,.683,.694,14.6,34.6,26.7,24.9,0.0,3.0,9.2,32.1,130,91,24.1,12.2
22,2016-02-03,20-349,DEN,AWAY,UTA,L (-4),1,29:01,.405,.389,12.7,12.4,12.6,31.5,3.8,0.0,0.0,16.6,110,97,8.3,4.9
23,2016-02-05,20-351,DEN,HOME,CHI,W (+5),1,25:42,.538,.500,17.8,32.5,25.5,20.2,0.0,4.6,6.3,25.5,124,105,13.9,4.1
24,2016-02-07,20-353,DEN,AWAY,NYK,W (+5),1,18:34,.604,.500,16.5,16.5,16.5,0.0,2.8,0.0,8.5,28.9,123,102,10.1,4.3
25,2016-02-08,20-354,DEN,AWAY,BRK,L (-1),1,13:57,.200,.200,8.0,18.1,12.7,0.0,3.7,0.0,16.7,19.2,48,109,-0.6,-18.3
26,2016-02-10,20-356,DEN,AWAY,DET,W (+11),1,24:55,.336,.286,0.0,25.1,13.0,11.0,2.0,0.0,11.8,15.4,72,95,4.1,-5.9
27,2016-02-19,21-000,DEN,AWAY,SAC,L (-6),1,3:40,,,0.0,31.2,14.7,0.0,0.0,0.0,100.0,11.0,0,108,-2.3,-36.4
28,2016-02-21,21-002,DEN,HOME,BOS,L (-20),1,30:12,.724,.700,12.2,35.3,24.6,35.1,3.1,0.0,20.1,28.2,120,108,20.8,9.7
29,2016-02-23,21-004,DEN,HOME,SAC,L (-4),1,20:11,.666,.563,17.0,56.3,32.9,45.3,4.5,0.0,17.0,23.0,134,99,16.7,16.7
30,2016-02-24,21-005,DEN,AWAY,LAC,W (+6),1,26:13,.389,.389,14.1,24.6,19.4,19.3,1.9,4.7,25.0,19.4,80,80,6.8,1.7
31,2016-02-26,21-007,DEN,AWAY,DAL,L (-6),1,10:58,.512,.500,27.4,11.8,20.6,29.0,0.0,0.0,17.0,23.4,118,124,4.2,-0.1
32,2016-02-29,21-010,DEN,HOME,MEM,L (-7),1,19:06,.868,.750,0.0,41.9,22.5,23.2,2.8,4.6,34.2,22.4,121,104,10.2,8.2
33,2016-03-02,21-012,DEN,HOME,LAL,W (+10),1,28:23,.608,.438,5.3,20.6,13.9,15.4,0.0,7.0,8.0,20.0,132,113,11.9,0.4
34,2016-03-04,21-014,DEN,HOME,BRK,L (-1),1,33:52,.490,.429,7.3,38.2,22.4,17.1,1.5,2.3,11.5,22.2,111,115,12.5,-2.9
35,2016-03-06,21-016,DEN,HOME,DAL,W (+2),1,20:39,.492,.364,9.3,52.4,29.6,22.8,4.9,4.9,18.5,32.2,98,90,11.5,6.2
36,2016-03-08,21-018,DEN,HOME,NYK,W (+16),1,33:52,.460,.450,8.9,21.3,14.5,13.2,1.5,2.5,4.4,28.5,100,96,15.5,2.5
37,2016-03-10,21-020,DEN,HOME,PHO,W (+18),1,27:24,.882,.813,7.5,26.0,17.3,20.9,3.6,8.6,0.0,16.2,190,88,23.9,19.7
38,2016-03-12,21-022,DEN,HOME,WAS,W (+16),1,16:31,,,0.0,30.9,17.9,20.8,0.0,0.0,100.0,5.1,63,98,0.0,-5.3
39,2016-03-14,21-024,DEN,AWAY,MIA,L (-5),1,27:48,.551,.550,12.9,26.2,18.9,17.1,3.5,2.8,8.4,18.0,128,120,13.9,6.2
40,2016-03-15,21-025,DEN,AWAY,ORL,L (-6),1,25:19,.751,.688,15.8,15.8,15.8,24.8,1.9,3.4,17.7,20.1,140,116,14.7,8.5
