,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2015-10-27,25-194,DET,AWAY,ATL,W (+12),1,32:07,.615,.500,2.7,24.3,12.1,24.1,3.1,0.0,14.1,17.3,132,94,15.9,8.3
1,2015-10-28,25-195,DET,HOME,UTA,W (+5),1,31:15,.556,.536,0.0,7.9,3.8,31.9,0.0,0.0,19.0,32.7,95,100,9.8,0.4
2,2015-10-30,25-197,DET,HOME,CHI,W (+4),1,37:05,.427,.396,2.3,17.5,9.0,38.3,2.7,0.0,16.3,33.7,87,87,11.6,3.9
3,2015-11-03,25-201,DET,HOME,IND,L (-12),1,34:17,.479,.450,0.0,0.0,0.0,38.5,1.5,2.2,22.3,32.3,91,106,7.9,2.0
4,2015-11-06,25-204,DET,AWAY,PHO,W (+8),1,30:19,.534,.472,0.0,18.3,10.2,45.5,0.0,2.6,15.7,38.5,103,94,15.0,3.0
5,2015-11-08,25-206,DET,AWAY,POR,W (+17),1,34:17,.678,.635,5.5,12.0,8.1,26.9,2.9,0.0,6.3,38.5,144,108,32.8,17.9
6,2015-11-09,25-207,DET,AWAY,GSW,L (-14),1,29:40,.462,.395,0.0,7.7,3.9,28.2,3.4,0.0,21.7,40.1,87,113,9.2,-1.6
7,2015-11-11,25-209,DET,AWAY,SAC,L (-9),1,32:41,.454,.367,2.8,11.6,6.5,16.5,0.0,0.0,10.2,25.3,96,112,8.0,-4.0
8,2015-11-14,25-212,DET,AWAY,LAC,L (-5),1,34:21,.581,.533,3.3,16.6,10.0,30.1,1.5,0.0,18.9,28.4,107,112,14.2,3.0
9,2015-11-15,25-213,DET,AWAY,LAL,L (-12),1,24:17,.409,.409,0.0,19.3,8.6,21.9,0.0,0.0,31.3,28.1,63,103,0.8,-11.7
10,2015-11-17,25-215,DET,HOME,CLE,W (+5),1,34:27,.534,.417,2.9,17.4,9.5,63.7,1.4,0.0,18.9,33.4,107,103,18.6,5.0
11,2015-11-20,25-218,DET,AWAY,MIN,W (+10),1,27:31,.600,.600,4.2,16.2,10.3,33.5,1.8,0.0,0.0,24.5,135,91,15.9,11.4
12,2015-11-21,25-219,DET,HOME,WAS,L (-2),1,31:34,.518,.472,3.7,7.8,5.7,57.4,1.7,0.0,23.7,38.0,95,109,12.4,1.0
13,2015-11-23,25-221,DET,AWAY,MIL,L (-21),1,23:43,.306,.273,0.0,5.3,2.2,56.8,2.2,0.0,20.8,24.6,76,123,3.3,-6.5
14,2015-11-25,25-223,DET,HOME,MIA,W (+23),1,26:14,.750,.750,0.0,15.9,7.5,45.4,0.0,0.0,7.7,22.0,157,98,17.1,15.8
15,2015-11-27,25-225,DET,AWAY,OKC,L (-16),1,26:51,.402,.313,6.1,14.5,9.3,30.0,3.9,0.0,0.0,31.2,99,107,10.1,6.2
16,2015-11-29,25-227,DET,AWAY,BRK,L (-4),1,30:19,.200,.200,5.0,16.2,9.3,51.5,1.6,0.0,13.0,29.3,60,90,0.9,-6.6
17,2015-11-30,25-228,DET,HOME,HOU,W (+11),1,36:38,.720,.694,0.0,13.6,7.2,34.3,2.7,0.0,8.5,27.4,147,108,27.9,13.1
18,2015-12-02,25-230,DET,HOME,PHO,W (+5),1,39:56,.737,.675,0.0,8.5,4.6,75.6,1.2,0.0,11.5,27.8,156,118,33.7,16.1
19,2015-12-04,25-232,DET,HOME,MIL,W (+7),1,33:05,.673,.607,0.0,3.1,1.5,32.4,1.5,0.0,10.5,25.6,127,102,18.4,6.7
20,2015-12-06,25-234,DET,HOME,LAL,W (+20),1,24:52,.639,.538,0.0,11.1,5.8,39.4,5.8,0.0,11.3,28.3,135,86,19.4,17.7
21,2015-12-07,25-235,DET,AWAY,CHO,L (-20),1,24:05,.222,.222,0.0,4.2,2.0,7.1,0.0,0.0,25.0,22.0,37,115,-4.7,-21.1
22,2015-12-09,25-237,DET,HOME,MEM,L (-1),1,32:17,.466,.417,0.0,9.7,4.6,39.1,3.2,0.0,9.4,30.0,103,100,12.8,3.2
23,2015-12-11,25-239,DET,AWAY,PHI,W (+12),1,30:32,.503,.475,6.6,10.7,8.5,21.8,0.0,0.0,12.6,32.9,107,106,12.3,-1.7
24,2015-12-12,25-240,DET,HOME,IND,W (+22),1,25:38,.573,.529,4.9,9.1,7.1,56.1,1.9,0.0,5.2,32.2,135,100,19.5,11.4
25,2015-12-14,25-242,DET,HOME,LAC,L (-2),1,39:08,.679,.556,15.4,16.6,16.0,38.2,1.3,0.0,13.8,32.6,137,105,30.2,18.4
26,2015-12-16,25-244,DET,HOME,BOS,W (+3),1,27:36,.576,.469,4.2,4.5,4.3,20.2,0.0,0.0,16.7,38.6,106,120,12.1,-4.1
27,2015-12-18,25-246,DET,AWAY,CHI,W (+3),1,49:30,.494,.444,2.3,10.6,6.5,45.2,1.1,0.0,6.0,29.6,117,112,24.4,5.2
28,2015-12-22,25-250,DET,AWAY,MIA,W (+1),1,30:50,.563,.563,7.6,11.1,9.4,20.7,1.8,0.0,15.8,29.5,108,109,12.0,3.2
29,2015-12-23,25-251,DET,AWAY,ATL,L (-7),1,33:25,.522,.469,3.2,13.4,8.2,36.0,1.4,0.0,18.0,27.1,103,110,12.4,0.1
30,2015-12-26,25-254,DET,HOME,BOS,L (-6),1,27:18,.525,.429,3.3,8.0,5.4,13.4,0.0,0.0,15.6,28.9,102,111,6.9,-2.0
31,2015-12-29,25-257,DET,AWAY,NYK,L (-12),1,31:16,.453,.382,3.4,20.5,10.2,49.7,0.0,0.0,13.8,31.4,106,127,11.9,-1.4
32,2015-12-31,25-259,DET,HOME,MIN,W (+25),1,27:07,.658,.643,4.2,7.7,6.0,59.4,0.0,0.0,17.2,27.0,130,95,15.8,7.4
33,2016-01-02,25-261,DET,AWAY,IND,L (-12),1,28:43,.309,.316,0.0,11.9,5.3,33.9,1.8,0.0,4.9,30.2,71,100,3.9,0.2
34,2016-01-04,25-263,DET,HOME,ORL,W (+26),1,25:47,.543,.500,4.3,9.1,6.6,40.9,0.0,3.1,13.4,25.8,127,106,12.1,2.7
35,2016-01-06,25-265,DET,AWAY,BOS,W (+5),1,31:27,.648,.567,0.0,6.2,3.5,44.0,0.0,0.0,5.1,27.6,142,107,20.1,11.5
36,2016-01-09,25-268,DET,HOME,BRK,W (+14),1,32:35,.676,.676,0.0,10.8,5.2,41.7,0.0,0.0,10.5,26.1,131,102,18.4,7.1
37,2016-01-12,25-271,DET,HOME,SAS,L (-10),1,30:34,.339,.231,0.0,3.8,1.7,51.9,1.6,0.0,25.3,27.1,75,112,6.1,-3.7
38,2016-01-14,25-273,DET,AWAY,MEM,L (-2),1,23:43,.806,.786,0.0,6.3,3.2,45.2,0.0,0.0,21.2,19.2,147,115,10.0,3.7
39,2016-01-16,25-275,DET,HOME,GSW,W (+18),1,32:32,.460,.475,5.9,2.7,4.3,35.0,1.5,0.0,0.0,27.0,120,105,15.5,6.1
40,2016-01-18,25-277,DET,HOME,CHI,L (-10),1,32:21,.446,.425,8.6,0.0,5.1,29.5,1.6,0.0,4.5,28.8,114,122,14.1,4.0
41,2016-01-20,25-279,DET,AWAY,HOU,W (+9),1,32:26,.535,.500,2.9,12.1,7.4,48.2,1.5,0.0,5.9,21.5,129,115,17.1,2.7
42,2016-01-21,25-280,DET,AWAY,NOP,L (-16),1,27:49,.364,.364,0.0,0.0,0.0,27.7,0.0,0.0,26.7,22.5,72,132,0.2,-14.5
43,2016-01-23,25-282,DET,AWAY,DEN,L (-3),1,29:34,.346,.333,0.0,3.8,2.0,38.8,1.7,0.0,15.9,28.3,85,111,4.4,-7.2
44,2016-01-25,25-284,DET,AWAY,UTA,W (+3),1,30:55,.698,.711,3.5,6.6,5.1,40.4,1.7,0.0,4.6,33.9,134,104,23.8,18.3
45,2016-01-27,25-286,DET,HOME,PHI,W (+13),1,31:01,.668,.611,0.0,7.9,3.5,18.5,1.7,0.0,9.0,29.2,141,106,18.1,10.3
46,2016-01-29,25-288,DET,HOME,CLE,L (-8),1,32:28,.433,.375,0.0,7.4,3.4,28.5,0.0,0.0,14.8,28.8,88,131,8.0,-7.0
