,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2015-12-09,29-279,HOU,AWAY,WAS,W (+6),1,27:51,.582,.542,0.0,25.7,13.6,17.4,1.6,0.0,7.2,21.2,114,96,11.6,2.3
1,2016-01-22,29-323,HOU,HOME,MIL,W (+4),1,31:51,.291,.167,9.2,7.4,8.4,16.5,3.3,0.0,22.5,11.9,87,108,5.3,-6.2
2,2016-01-24,29-325,HOU,HOME,DAL,W (+11),1,26:39,.528,.455,0.0,4.6,2.4,15.9,7.8,3.7,0.0,21.1,123,101,13.2,5.3
3,2016-01-25,29-326,HOU,AWAY,NOP,W (+1),1,32:05,.500,.500,3.6,9.5,6.8,4.3,0.0,2.4,37.5,11.7,73,123,2.3,-8.3
4,2016-01-27,29-328,HOU,AWAY,SAS,L (-31),1,13:55,.581,.583,0.0,8.6,3.9,0.0,0.0,0.0,22.5,27.6,84,139,1.3,-12.9
5,2016-01-29,29-330,HOU,AWAY,OKC,L (-8),1,30:20,.507,.467,0.0,7.9,3.3,6.3,0.0,2.4,5.6,22.7,97,118,9.1,-4.0
6,2016-01-30,29-331,HOU,HOME,WAS,L (-1),1,29:30,.336,.357,0.0,14.4,6.0,8.6,0.0,3.0,11.8,12.4,73,125,1.7,-9.1
7,2016-02-02,29-334,HOU,HOME,MIA,W (+13),1,33:00,.500,.500,0.0,13.2,6.8,3.8,3.0,4.3,9.1,15.7,86,100,7.3,-3.1
8,2016-02-04,29-336,HOU,AWAY,PHO,W (+6),1,24:32,.901,.875,0.0,0.0,0.0,10.1,7.9,0.0,13.1,25.8,147,103,20.7,16.6
9,2016-02-06,29-338,HOU,HOME,POR,L (-17),1,27:50,.350,.318,0.0,3.4,1.8,43.5,0.0,0.0,14.9,20.5,79,111,2.5,-3.9
10,2016-02-09,29-341,HOU,AWAY,GSW,L (-13),1,28:24,.455,.389,3.5,15.4,9.2,10.6,0.0,0.0,9.2,16.1,101,129,5.0,-6.7
11,2016-02-10,29-342,HOU,AWAY,POR,L (-13),1,23:02,.654,.667,0.0,0.0,0.0,6.8,2.1,0.0,0.0,12.8,132,120,6.9,3.6
