,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-01-28,19-310,IND,HOME,ATL,W (+19),1,26:28,.546,.529,0.0,24.7,13.4,8.4,0.0,3.3,9.8,34.4,102,98,11.3,-3.7
1,2016-01-30,19-312,IND,HOME,DEN,W (+4),1,40:10,.303,.273,5.2,21.5,12.6,9.9,0.0,7.6,7.0,15.4,79,97,6.1,-4.3
2,2016-02-01,19-314,IND,HOME,CLE,L (-5),1,36:30,.438,.438,16.8,15.7,16.3,0.0,1.4,8.8,0.0,18.9,110,106,12.8,-0.5
3,2016-02-03,19-316,IND,AWAY,BRK,W (+14),1,30:36,.379,.364,3.8,21.9,13.1,0.0,0.0,8.1,14.4,19.7,72,100,4.3,-10.3
4,2016-02-05,19-318,IND,AWAY,ATL,L (-6),1,22:57,.545,.545,17.4,17.0,17.2,0.0,2.2,4.3,8.3,22.0,115,104,9.5,-0.4
5,2016-02-06,19-319,IND,HOME,DET,W (+8),1,31:59,.615,.615,0.0,13.6,7.6,15.5,0.0,3.3,7.1,20.1,121,112,12.3,3.3
6,2016-02-08,19-321,IND,HOME,LAL,W (+2),1,29:52,.717,.750,3.6,32.7,20.1,7.5,0.0,0.0,23.5,18.9,108,84,10.4,1.7
7,2016-02-10,19-323,IND,HOME,CHO,L (-22),1,23:00,.421,.364,13.3,11.3,12.4,0.0,0.0,0.0,7.8,24.5,93,128,5.2,-9.1
8,2016-02-19,19-332,IND,AWAY,OKC,W (+3),1,35:34,.601,.625,0.0,15.3,7.3,4.6,0.0,11.6,13.1,19.0,98,95,13.2,2.9
9,2016-02-21,19-334,IND,AWAY,ORL,W (+3),1,30:42,.607,.556,0.0,25.0,14.1,4.7,1.5,7.1,16.8,16.5,99,90,10.3,1.5
10,2016-02-22,19-335,IND,AWAY,MIA,L (-8),1,30:32,.615,.615,6.6,9.0,7.8,7.8,0.0,4.0,0.0,19.6,125,99,12.1,4.7
11,2016-02-24,19-337,IND,HOME,NYK,W (+3),1,29:43,.541,.500,4.1,19.2,12.0,0.0,1.7,0.0,4.3,35.3,109,114,14.6,-2.8
12,2016-02-26,19-339,IND,HOME,CHO,L (-1),1,28:05,.558,.538,0.0,14.2,7.6,0.0,0.0,0.0,18.2,25.6,88,104,5.3,-6.3
13,2016-02-28,19-341,IND,HOME,POR,L (-9),1,28:25,.333,.333,9.0,20.6,13.9,0.0,1.8,3.0,0.0,17.9,89,116,5.3,-8.6
14,2016-02-29,19-342,IND,AWAY,CLE,L (-4),1,29:24,.500,.500,4.1,13.6,8.6,5.4,0.0,6.0,0.0,13.4,111,116,5.7,-4.7
15,2016-03-02,19-344,IND,AWAY,MIL,W (+5),1,31:04,.530,.450,3.6,10.8,7.2,4.9,1.7,5.0,20.9,21.0,91,104,7.5,-4.7
16,2016-03-05,19-347,IND,AWAY,WAS,W (+1),1,24:45,.222,.222,4.6,12.6,8.8,0.0,0.0,0.0,0.0,16.8,58,109,-0.3,-12.0
17,2016-03-07,19-349,IND,HOME,SAS,W (+8),1,36:37,.353,.273,3.1,20.3,13.1,4.7,0.0,3.9,7.3,18.0,77,97,5.4,-5.1
18,2016-03-12,19-354,IND,AWAY,DAL,W (+7),1,19:19,.697,.611,11.8,31.1,21.2,0.0,0.0,3.9,8.5,27.1,133,109,12.1,3.5
19,2016-03-13,19-355,IND,AWAY,ATL,L (-29),1,28:10,.531,.529,0.0,21.3,9.7,0.0,3.6,3.1,5.3,30.3,93,103,12.7,4.1
20,2016-03-15,19-357,IND,HOME,BOS,W (+5),1,21:18,.333,.333,0.0,13.3,7.1,7.0,2.4,3.6,10.0,20.6,69,101,2.0,-8.0
21,2016-03-17,19-359,IND,HOME,TOR,L (-7),1,18:12,.605,.571,22.8,32.4,27.7,12.5,0.0,0.0,21.2,23.9,107,96,7.0,-1.0
22,2016-03-19,19-361,IND,HOME,OKC,L (-4),1,31:04,.460,.400,10.5,22.1,15.6,4.6,1.6,5.9,8.4,17.0,101,114,9.9,-2.5
23,2016-03-21,19-363,IND,HOME,PHI,W (+16),1,26:09,.556,.556,4.5,19.1,12.4,7.1,4.1,8.9,18.2,20.5,94,71,9.5,5.1
24,2016-03-24,20-000,IND,HOME,NOP,W (+8),1,32:36,.671,.647,3.6,44.2,25.9,7.4,0.0,6.4,14.4,31.2,106,80,21.1,6.0
25,2016-03-26,20-002,IND,AWAY,BRK,L (-10),1,28:03,.381,.286,4.4,21.4,12.1,20.4,1.7,2.6,20.2,15.5,87,118,5.5,-4.5
26,2016-03-27,20-003,IND,HOME,HOU,W (+3),1,19:13,.000,.000,5.2,10.9,8.0,0.0,5.2,4.8,16.7,13.8,13,98,-1.7,-14.6
27,2016-03-29,20-005,IND,HOME,CHI,L (-2),1,15:49,.375,.375,7.2,28.2,17.9,0.0,0.0,5.0,11.1,25.2,77,104,1.2,-13.2
28,2016-03-31,20-007,IND,HOME,ORL,L (-20),1,24:16,.337,.273,4.1,30.8,17.0,13.2,0.0,2.7,14.4,24.0,77,118,4.0,-8.2
29,2016-04-13,20-020,IND,AWAY,MIL,W (+5),1,22:05,.400,.400,4.5,20.2,11.9,6.3,4.4,6.8,28.6,13.7,68,82,3.7,-4.8
