,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2015-10-28,30-025,MEM,HOME,CLE,L (-30),1,31:16,.354,.278,0.0,7.5,3.3,11.8,3.2,2.8,0.0,14.1,84,109,6.2,1.6
1,2015-10-29,30-026,MEM,AWAY,IND,W (+9),1,29:14,.506,.444,4.1,4.1,4.1,4.8,1.7,0.0,9.2,16.4,106,114,6.6,-5.0
2,2015-10-31,30-028,MEM,HOME,BRK,W (+10),1,33:38,.644,.500,3.1,0.0,1.7,5.0,3.2,0.0,7.9,17.8,128,103,12.7,2.5
3,2015-11-02,30-030,MEM,AWAY,GSW,L (-50),1,24:37,.244,.182,3.0,9.1,5.4,0.0,1.9,0.0,0.0,20.7,55,120,-0.2,-11.0
4,2015-11-03,30-031,MEM,AWAY,SAC,W (+14),1,30:33,.543,.500,4.0,13.7,9.2,5.1,1.7,0.0,13.4,21.3,103,95,8.0,-2.6
5,2015-11-05,30-033,MEM,AWAY,POR,L (-19),1,30:06,.765,.750,4.0,3.7,3.8,0.0,1.8,0.0,0.0,19.9,152,135,15.0,6.4
6,2015-11-07,30-035,MEM,AWAY,UTA,L (-10),1,26:44,.287,.250,3.4,18.0,9.7,13.6,0.0,0.0,0.0,16.9,76,100,2.3,-4.0
7,2015-11-09,30-037,MEM,AWAY,LAC,L (-2),1,29:30,.436,.333,0.0,8.6,4.1,25.6,5.3,0.0,12.7,12.0,100,98,6.7,2.2
8,2015-11-11,30-039,MEM,HOME,GSW,L (-16),1,31:44,.202,.143,3.9,19.9,11.8,6.7,4.7,6.3,21.2,13.4,45,96,3.4,-1.4
9,2015-11-13,30-041,MEM,HOME,POR,W (+1),1,25:53,.394,.313,0.0,12.0,4.8,5.7,0.0,0.0,0.0,15.6,96,117,3.5,-6.5
10,2015-12-13,30-071,MEM,AWAY,MIA,L (-3),1,38:27,.563,.563,0.0,3.6,1.8,7.1,5.6,0.0,0.0,10.4,118,109,9.1,1.0
11,2015-12-14,30-072,MEM,HOME,WAS,W (+17),1,38:37,.682,.682,0.0,8.7,5.0,0.0,0.0,0.0,0.0,13.5,131,107,9.4,-2.2
12,2015-12-16,30-074,MEM,AWAY,CHI,L (-13),1,36:40,.818,.818,0.0,20.4,10.7,36.5,2.7,0.0,8.3,15.5,142,99,20.0,11.4
13,2015-12-18,30-076,MEM,AWAY,DAL,L (-9),1,28:47,.429,.313,0.0,0.0,0.0,12.5,1.8,0.0,17.7,18.4,81,113,3.2,-5.4
14,2015-12-19,30-077,MEM,HOME,IND,W (+12),1,30:29,.167,.167,0.0,12.6,6.9,0.0,0.0,3.2,33.3,14.0,23,97,-3.3,-15.0
15,2015-12-22,30-080,MEM,AWAY,PHI,W (+14),1,34:08,.563,.500,0.0,3.8,1.8,8.9,2.9,0.0,7.0,18.7,111,99,11.3,-1.4
16,2015-12-23,30-081,MEM,AWAY,WAS,L (-9),1,26:31,.581,.583,0.0,4.4,2.3,6.6,4.1,0.0,0.0,13.2,122,116,7.2,0.1
