,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2015-10-28,25-053,LAC,AWAY,SAC,W (+7),1,19:08,.700,.700,5.8,5.2,5.5,14.6,2.5,0.0,16.7,13.9,126,105,7.1,5.6
1,2015-10-29,25-054,LAC,HOME,DAL,W (+16),1,20:52,.300,.300,0.0,7.8,4.3,12.9,0.0,0.0,16.7,12.6,64,96,-0.3,-9.0
2,2015-10-31,25-056,LAC,HOME,SAC,W (+5),1,24:17,.509,.500,0.0,7.3,4.4,23.9,0.0,0.0,22.5,15.5,92,111,3.8,-3.4
3,2015-11-02,25-058,LAC,HOME,PHO,W (+6),1,18:20,.388,.333,6.2,22.2,15.6,16.5,0.0,0.0,13.4,19.1,85,97,3.0,-6.2
4,2015-11-04,25-060,LAC,AWAY,GSW,L (-4),1,22:56,.595,.600,0.0,26.2,12.6,16.2,0.0,0.0,14.5,13.2,115,116,5.3,0.9
5,2015-11-07,25-063,LAC,HOME,HOU,L (-4),1,21:55,.509,.417,4.7,10.7,7.5,17.5,4.5,0.0,0.0,13.6,126,108,8.2,4.1
6,2015-11-09,25-065,LAC,HOME,MEM,W (+2),1,20:56,.375,.375,6.0,10.9,8.6,8.9,0.0,0.0,50.0,17.9,48,104,-1.4,-10.1
7,2015-11-11,25-067,LAC,AWAY,DAL,L (-10),1,20:30,.333,.333,9.6,0.0,5.5,0.0,0.0,0.0,10.0,21.2,75,131,0.9,-13.2
8,2015-11-12,25-068,LAC,AWAY,PHO,L (-14),1,30:01,.396,.385,6.5,14.1,9.6,10.0,3.2,3.0,22.4,24.6,74,115,5.1,-8.2
9,2015-11-20,25-076,LAC,AWAY,POR,L (-11),1,18:45,.347,.500,0.0,0.0,0.0,7.2,0.0,3.9,0.0,7.0,80,116,1.2,-4.5
10,2016-03-17,25-194,MEM,AWAY,MIL,L (-10),1,38:28,.426,.381,2.4,19.7,9.6,31.2,1.4,0.0,11.8,27.6,93,108,10.6,-0.7
11,2016-03-19,25-196,MEM,HOME,LAC,W (+11),1,27:36,.536,.444,4.0,11.6,7.1,5.3,3.8,4.8,8.2,19.1,118,108,9.8,0.2
12,2016-04-09,25-217,MEM,HOME,GSW,L (-1),1,38:15,.500,.500,2.2,2.9,2.5,0.0,1.3,0.0,13.3,17.0,90,112,5.9,-7.1
