,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-27,30-324,ATL,HOME,WAS,W (+15),1,30:08,.511,.444,26.5,38.2,32.9,8.5,1.5,6.5,21.8,18.7,109,87,15.1,0.4
1,2016-10-29,30-326,ATL,AWAY,PHI,W (+32),1,19:10,.250,.250,18.3,22.3,20.4,6.3,0.0,12.1,20.0,11.7,81,66,3.1,-5.9
2,2016-10-31,30-328,ATL,HOME,SAC,W (+11),1,30:05,.506,.556,22.8,19.9,21.7,6.4,0.0,12.3,10.1,28.0,107,98,14.5,-1.5
3,2016-11-02,30-330,ATL,HOME,LAL,L (-7),1,31:42,.760,.750,11.1,31.9,21.1,0.0,4.5,0.0,12.8,30.6,130,112,26.3,6.5
4,2016-11-04,30-332,ATL,AWAY,WAS,L (-3),1,29:12,.579,.583,18.3,24.0,21.2,8.0,3.2,0.0,18.8,29.9,99,89,14.3,2.9
5,2016-11-05,30-333,ATL,HOME,HOU,W (+15),1,29:12,.694,.800,26.2,30.6,28.3,15.5,1.6,6.7,17.2,25.0,126,92,21.4,7.2
6,2016-11-08,30-336,ATL,AWAY,CLE,W (+4),1,26:59,.518,.600,9.6,51.3,34.0,10.0,0.0,9.4,30.7,15.7,87,89,8.3,1.5
7,2016-11-09,30-337,ATL,HOME,CHI,W (+8),1,33:40,.694,.667,23.8,13.3,18.0,0.0,4.2,4.5,13.4,18.4,135,99,19.5,4.7
8,2016-11-12,30-340,ATL,HOME,PHI,W (+21),1,28:08,.672,.714,19.4,21.8,20.6,8.6,1.7,0.0,0.0,10.8,159,96,12.8,1.2
9,2016-11-15,30-343,ATL,AWAY,MIA,W (+3),1,24:34,.533,.556,10.6,38.2,25.9,7.2,6.0,0.0,32.6,27.9,76,74,7.5,-2.8
10,2016-11-18,30-346,ATL,AWAY,CHO,L (-4),1,30:42,.430,.444,7.1,51.1,30.3,9.5,4.7,5.1,7.9,18.4,92,83,13.9,4.3
11,2016-11-20,30-348,ATL,AWAY,NYK,L (-10),1,28:56,.553,.545,25.0,36.9,30.5,0.0,0.0,8.2,5.8,25.9,121,101,18.8,5.3
12,2016-11-22,30-350,ATL,HOME,NOP,L (-18),1,18:54,.667,.667,12.4,26.0,19.0,0.0,2.7,12.5,25.0,19.5,100,101,7.9,-0.3
13,2016-11-23,30-351,ATL,AWAY,IND,W (+11),1,33:02,.810,.833,27.8,37.9,32.8,6.8,0.0,0.0,17.4,21.6,140,89,24.6,10.5
14,2016-11-25,30-353,ATL,AWAY,UTA,L (-27),1,26:49,.222,.222,6.9,20.8,13.2,0.0,0.0,3.9,18.2,19.3,45,102,-1.5,-13.7
15,2016-11-27,30-355,ATL,AWAY,LAL,L (-15),1,33:28,.625,.692,9.6,18.7,14.2,16.5,1.5,3.8,20.8,26.4,102,111,14.7,0.6
16,2016-11-28,30-356,ATL,AWAY,GSW,L (-5),1,36:46,.608,.625,11.1,35.6,23.0,0.0,1.3,2.6,20.7,16.3,104,102,12.3,-0.5
17,2016-11-30,30-358,ATL,AWAY,PHO,L (-2),1,33:13,.814,.800,12.4,34.6,25.0,4.3,0.0,0.0,36.5,20.9,104,107,12.1,-3.2
18,2016-12-02,30-360,ATL,HOME,DET,L (-36),1,25:27,.250,.250,3.8,25.5,13.2,0.0,0.0,6.3,33.3,10.9,41,122,-0.8,-16.7
19,2016-12-03,30-361,ATL,AWAY,TOR,L (-44),1,27:53,.465,.444,24.6,46.5,34.0,6.1,0.0,5.1,8.5,18.0,108,127,12.7,-1.5
20,2016-12-05,30-363,ATL,HOME,OKC,L (-3),1,19:10,.387,.333,17.9,20.3,19.0,8.6,5.0,0.0,34.0,27.0,67,96,2.3,-11.2
21,2016-12-07,30-365,ATL,HOME,MIA,W (+8),1,35:05,.843,.818,24.6,33.4,29.1,17.8,1.5,5.2,6.8,18.4,170,98,29.8,16.8
22,2016-12-09,31-001,ATL,AWAY,MIL,W (+4),1,28:16,.753,.750,7.9,18.5,13.4,9.7,1.6,5.1,23.1,12.9,126,103,11.5,0.8
23,2016-12-13,31-005,ATL,HOME,ORL,L (-11),1,28:52,.883,.900,41.6,31.5,36.4,5.5,0.0,3.1,30.6,24.0,127,135,21.0,1.9
24,2016-12-16,31-008,ATL,AWAY,TOR,W (+4),1,34:03,.776,.769,28.2,30.5,29.4,4.4,0.0,0.0,5.4,22.7,163,129,26.5,6.2
25,2016-12-17,31-009,ATL,HOME,CHO,L (-8),1,34:56,.644,.667,15.3,55.0,35.1,4.0,1.4,0.0,11.4,11.5,133,104,14.6,0.9
