,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-11-16,29-185,PHI,HOME,WAS,W (+7),1,26:20,.735,.700,5.4,11.6,9.0,0.0,0.0,0.0,8.4,20.9,125,108,9.2,-0.2
1,2016-11-17,29-186,PHI,AWAY,MIN,L (-24),1,21:01,.458,.458,0.0,16.7,7.8,35.0,0.0,0.0,14.3,30.1,90,126,5.2,-2.2
2,2016-11-19,29-188,PHI,HOME,PHO,W (+15),1,23:36,.611,.611,0.0,8.1,4.6,5.8,1.9,0.0,0.0,16.2,119,103,8.2,-3.2
3,2016-11-21,29-190,PHI,HOME,MIA,W (+7),1,31:26,.714,.714,0.0,31.1,18.7,14.8,1.7,0.0,22.2,13.6,114,92,9.9,3.1
4,2016-11-23,29-192,PHI,HOME,MEM,L (-5),1,40:25,.640,.600,6.4,25.2,16.9,0.0,0.0,0.0,5.5,20.2,120,95,15.3,3.1
5,2016-11-25,29-194,PHI,HOME,CHI,L (-16),1,25:40,.717,.688,3.9,22.0,13.2,17.3,0.0,0.0,9.3,18.9,134,109,12.5,4.8
6,2016-11-27,29-196,PHI,HOME,CLE,L (-4),1,28:28,.623,.600,7.5,13.2,10.5,4.9,0.0,0.0,22.3,20.2,101,120,7.1,-5.8
7,2016-11-28,29-197,PHI,AWAY,TOR,L (-27),1,22:54,.619,.563,0.0,37.0,15.7,22.8,0.0,0.0,10.1,19.6,122,135,9.5,0.3
8,2016-12-02,29-201,PHI,HOME,ORL,L (-17),1,17:20,.325,.278,5.0,7.3,6.0,9.1,0.0,5.3,0.0,27.2,81,117,2.7,-6.1
9,2016-12-03,29-202,PHI,HOME,BOS,L (-1),1,29:52,.587,.536,0.0,26.8,12.9,12.7,0.0,0.0,6.1,25.6,117,119,12.0,0.6
10,2016-12-05,29-204,PHI,HOME,DEN,L (-8),1,36:22,.535,.533,8.4,15.7,11.9,10.2,2.7,0.0,5.9,19.7,113,110,14.1,0.8
11,2016-12-06,29-205,PHI,AWAY,MEM,L (-5),1,39:46,.521,.474,7.2,35.2,20.9,20.5,1.2,3.5,8.3,26.6,107,89,19.2,7.4
12,2016-12-08,29-207,PHI,AWAY,NOP,W (+11),1,31:30,.648,.625,6.5,19.9,13.1,24.1,1.6,0.0,5.3,26.8,131,96,20.2,10.8
13,2016-12-11,29-210,PHI,AWAY,DET,W (+18),1,33:34,.603,.583,4.9,21.3,15.1,0.0,3.2,0.0,24.3,24.6,87,85,9.8,-2.9
14,2016-12-29,29-228,PHI,AWAY,UTA,L (-17),1,24:19,.615,.615,16.8,42.7,28.2,9.3,0.0,0.0,0.0,24.3,136,110,15.2,13.4
15,2016-12-30,29-229,PHI,AWAY,DEN,W (+2),1,37:08,.681,.656,13.2,25.9,18.9,4.7,0.0,0.0,10.6,21.1,133,126,17.6,1.8
16,2017-01-03,29-233,PHI,HOME,MIN,W (+2),1,32:16,.638,.607,3.0,13.2,7.8,6.6,0.0,2.6,11.8,22.4,113,99,12.1,3.7
17,2017-01-06,29-236,PHI,AWAY,BOS,L (-4),1,31:53,.476,.476,0.0,6.1,3.6,18.1,3.0,6.4,8.7,32.8,84,110,11.8,-0.3
18,2017-01-08,29-238,PHI,AWAY,BRK,W (+10),1,25:45,.385,.344,8.9,21.2,15.2,13.5,0.0,3.7,0.0,28.5,89,93,8.2,-1.2
19,2017-01-11,29-241,PHI,HOME,NYK,W (+1),1,29:49,.429,.344,6.4,8.7,7.4,27.8,0.0,0.0,13.9,29.5,95,109,8.5,-1.6
20,2017-01-13,29-243,PHI,HOME,CHO,W (+9),1,30:05,.429,.429,4.6,7.3,6.1,5.7,3.4,0.0,6.7,22.8,91,104,6.4,-5.3
21,2017-01-14,29-244,PHI,AWAY,WAS,L (-16),1,25:32,.648,.654,10.6,16.3,13.3,8.2,2.0,0.0,0.0,23.2,139,112,15.9,12.0
22,2017-01-16,29-246,PHI,AWAY,MIL,W (+9),1,27:43,.403,.357,4.2,10.8,7.8,18.5,0.0,0.0,11.8,26.1,91,113,4.3,-10.5
23,2017-01-18,29-248,PHI,HOME,TOR,W (+5),1,23:38,.605,.607,5.6,11.5,9.1,24.2,0.0,0.0,0.0,28.8,119,100,13.2,11.1
24,2017-01-20,29-250,PHI,HOME,POR,W (+1),1,28:36,.806,.821,7.1,12.9,10.2,16.1,3.4,2.4,25.2,28.3,108,88,17.5,14.0
25,2017-01-21,29-251,PHI,AWAY,ATL,L (-17),1,30:19,.643,.633,7.4,3.7,5.5,31.1,0.0,2.2,5.8,25.4,124,116,16.7,7.4
26,2017-01-24,29-254,PHI,HOME,LAC,W (+11),1,22:18,.506,.444,0.0,25.0,12.8,16.8,2.3,0.0,0.0,20.3,111,111,7.5,-2.1
27,2017-01-25,29-255,PHI,AWAY,MIL,W (+5),1,26:44,.539,.536,5.8,29.3,20.2,12.3,1.8,0.0,11.3,29.8,103,105,12.3,-0.8
28,2017-01-27,29-257,PHI,HOME,HOU,L (-5),1,22:29,.286,.286,0.0,20.0,9.1,5.7,0.0,0.0,30.0,18.7,43,121,-2.7,-18.5
29,2017-01-29,29-259,PHI,AWAY,CHI,L (-13),1,34:57,.675,.632,13.7,19.6,16.4,4.8,1.4,0.0,11.6,30.4,125,122,24.5,6.1
30,2017-01-30,29-260,PHI,HOME,SAC,W (+3),1,22:42,.512,.438,6.4,7.3,6.8,5.5,2.2,0.0,9.3,21.0,108,128,6.1,-8.7
31,2017-02-01,29-262,PHI,AWAY,DAL,L (-18),1,31:07,.604,.500,3.8,28.3,17.1,5.4,0.0,0.0,8.5,17.9,115,117,10.6,-1.5
32,2017-02-02,29-263,PHI,AWAY,SAS,L (-16),1,38:54,.609,.529,4.3,18.0,10.6,12.3,4.7,1.8,12.8,24.4,110,91,20.5,9.2
33,2017-02-04,29-265,PHI,AWAY,MIA,L (-23),1,26:32,.610,.567,4.0,19.6,11.0,16.2,0.0,0.0,10.4,30.8,110,125,13.8,3.7
34,2017-02-06,29-267,PHI,AWAY,DET,L (-17),1,20:14,.169,.125,0.0,4.8,2.3,14.1,0.0,0.0,10.1,21.2,43,124,-3.1,-18.3
35,2017-02-08,29-269,PHI,HOME,SAS,L (-8),1,27:36,.446,.455,0.0,10.2,4.2,19.3,1.9,0.0,0.0,21.1,96,121,6.6,-2.6
36,2017-02-09,29-270,PHI,AWAY,ORL,W (+1),1,26:50,.376,.281,6.8,9.2,7.8,10.9,3.4,0.0,5.1,28.8,88,105,6.4,-8.0
37,2017-02-11,29-272,PHI,HOME,MIA,W (+8),1,21:58,.478,.458,4.5,17.3,10.0,15.6,0.0,0.0,12.0,32.3,91,116,6.6,-8.5
38,2017-02-13,29-274,PHI,AWAY,CHO,W (+6),1,20:07,.357,.357,6.1,47.7,28.4,26.3,2.4,0.0,12.5,17.1,94,97,5.9,1.3
39,2017-02-15,29-276,PHI,AWAY,BOS,L (-8),1,14:49,.265,.222,21.6,0.0,11.3,0.0,3.0,0.0,17.5,30.2,62,109,-1.0,-20.0
40,2017-03-18,29-307,ATL,HOME,POR,L (-16),1,27:14,.817,.818,3.3,14.7,7.9,9.0,3.6,2.6,6.6,23.1,145,112,20.9,15.9
41,2017-03-20,29-309,ATL,AWAY,CHO,L (-15),1,27:57,.591,.591,4.3,22.6,13.2,12.1,0.0,0.0,15.4,21.6,106,121,8.5,-0.8
42,2017-03-22,29-311,ATL,AWAY,WAS,L (-4),1,26:16,.296,.250,3.8,25.6,14.9,12.0,1.8,3.0,10.6,15.0,72,97,3.1,-6.6
43,2017-03-24,29-313,ATL,AWAY,MIL,L (-3),1,32:58,.455,.389,7.5,22.6,15.6,9.8,3.2,0.0,16.8,15.6,96,104,7.6,-1.2
44,2017-03-26,29-315,ATL,HOME,BRK,L (-15),1,32:03,.286,.214,16.4,37.4,25.0,5.1,0.0,0.0,11.3,20.1,77,103,5.7,-7.5
45,2017-03-28,29-317,ATL,HOME,PHO,W (+4),1,33:17,.510,.467,10.1,23.2,17.5,5.7,1.4,0.0,10.2,24.3,99,84,12.0,1.2
46,2017-03-29,29-318,ATL,AWAY,PHI,W (+7),1,32:26,.643,.600,3.5,6.6,5.1,16.7,0.0,3.1,15.5,17.6,124,109,9.9,2.1
47,2017-04-01,29-321,ATL,AWAY,CHI,L (-2),1,33:30,.433,.433,6.4,7.2,6.7,18.3,0.0,0.0,6.3,20.8,100,115,7.5,-3.7
48,2017-04-02,29-322,ATL,AWAY,BRK,L (-9),1,20:18,.340,.300,0.0,0.0,0.0,17.1,2.4,4.8,14.5,14.9,70,93,1.4,-2.7
49,2017-04-06,29-326,ATL,HOME,BOS,W (+7),1,26:32,.394,.313,13.2,14.8,14.1,17.9,0.0,3.8,10.1,14.8,112,114,6.0,-2.0
50,2017-04-07,29-327,ATL,AWAY,CLE,W (+14),1,26:04,.464,.464,9.0,23.6,16.1,10.8,1.9,0.0,6.7,26.7,95,103,8.7,-7.1
51,2017-04-12,29-332,ATL,AWAY,IND,L (-18),1,18:01,.689,.650,0.0,21.6,10.2,38.0,3.0,0.0,21.6,37.6,103,113,9.9,5.5
