,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-26,26-112,BOS,HOME,BRK,W (+5),1,29:11,.700,.700,0.0,16.4,9.0,9.9,3.2,3.1,11.8,24.1,118,111,16.9,3.0
1,2016-10-27,26-113,BOS,AWAY,CHI,L (-6),1,35:26,.854,.750,3.4,13.3,8.9,4.2,2.9,0.0,10.9,12.8,154,109,13.7,3.4
2,2016-10-29,26-115,BOS,AWAY,CHO,W (+6),1,33:32,.500,.500,0.0,29.3,16.1,16.5,4.5,9.1,25.0,16.9,84,88,9.5,5.0
3,2016-11-02,26-119,BOS,HOME,CHI,W (+7),1,13:44,.833,.833,0.0,39.7,19.9,12.9,0.0,0.0,14.3,23.0,127,100,8.2,9.2
4,2016-11-19,26-136,BOS,AWAY,DET,W (+2),1,26:32,.455,.389,0.0,15.1,7.5,0.0,2.1,2.7,16.8,22.0,75,104,4.8,-5.9
5,2016-11-21,26-138,BOS,AWAY,MIN,W (+6),1,23:36,.333,.333,5.0,16.6,11.3,0.0,0.0,0.0,33.3,18.1,50,101,-1.7,-15.7
6,2016-11-23,26-140,BOS,AWAY,BRK,W (+19),1,22:17,.656,.682,4.5,18.0,11.2,6.7,0.0,0.0,0.0,21.5,134,97,11.1,4.4
7,2016-11-25,26-142,BOS,HOME,SAS,L (-6),1,27:33,.750,.750,0.0,12.7,6.5,29.2,1.9,0.0,7.7,21.6,136,118,15.2,11.5
8,2016-11-28,26-145,BOS,AWAY,MIA,W (+8),1,31:38,.690,.636,0.0,14.8,7.5,14.7,3.1,0.0,0.0,18.1,142,104,15.8,7.8
9,2016-11-30,26-147,BOS,HOME,DET,L (-7),1,35:51,.441,.400,2.8,14.5,7.9,16.1,2.9,0.0,0.0,20.3,105,128,12.2,-1.6
10,2016-12-02,26-149,BOS,HOME,SAC,W (+5),1,37:22,.643,.625,0.0,8.0,4.0,13.6,1.4,0.0,13.9,17.2,111,104,10.4,-0.2
11,2016-12-03,26-150,BOS,AWAY,PHI,W (+1),1,32:59,.625,.625,4.0,11.2,7.8,13.6,1.6,0.0,0.0,11.8,137,116,9.1,0.5
12,2016-12-05,26-152,BOS,AWAY,HOU,L (-1),1,35:31,.607,.556,0.0,10.4,4.6,18.5,0.0,0.0,9.2,12.8,123,114,10.7,1.9
13,2016-12-07,26-154,BOS,AWAY,ORL,W (+30),1,30:22,.697,.650,4.0,30.9,18.4,9.4,0.0,0.0,7.6,19.5,137,94,14.6,2.3
14,2016-12-09,26-156,BOS,HOME,TOR,L (-7),1,32:58,.295,.227,5.8,12.7,9.1,15.6,1.5,0.0,0.0,16.4,84,107,5.4,-4.9
15,2016-12-11,26-158,BOS,AWAY,OKC,L (-3),1,26:49,.953,.944,0.0,8.3,4.0,19.5,2.0,2.9,24.1,20.9,129,108,13.5,9.0
