,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-11-11,22-250,BOS,HOME,NYK,W (+28),1,33:39,.462,.462,2.6,13.0,7.8,51.2,4.2,0.0,7.1,16.1,122,84,15.7,8.4
1,2016-11-12,22-251,BOS,AWAY,IND,W (+6),1,33:32,.379,.364,3.3,3.3,3.3,9.8,1.5,0.0,0.0,15.8,98,111,4.3,-8.6
2,2016-11-14,22-253,BOS,AWAY,NOP,L (-1),1,37:12,.625,.625,5.3,12.6,8.6,12.8,5.2,0.0,14.3,15.9,117,100,15.3,6.8
3,2016-11-16,22-255,BOS,HOME,DAL,W (+7),1,35:50,.258,.167,3.3,17.9,11.0,16.9,3.0,2.2,20.5,12.4,70,88,4.2,-2.5
4,2016-11-18,22-257,BOS,HOME,GSW,L (-16),1,24:55,.500,.500,0.0,0.0,0.0,8.3,4.0,0.0,16.7,22.2,80,107,5.3,-0.5
5,2016-12-07,22-276,BOS,AWAY,ORL,W (+30),1,23:01,.825,.786,0.0,13.6,7.3,19.2,4.5,0.0,20.2,19.3,131,88,11.5,6.2
6,2016-12-09,22-278,BOS,HOME,TOR,L (-7),1,35:52,.455,.409,2.7,8.7,5.6,24.8,0.0,0.0,13.2,19.2,95,112,7.4,-3.6
7,2016-12-11,22-280,BOS,AWAY,OKC,L (-3),1,35:43,.481,.500,2.9,15.6,9.1,32.3,1.5,0.0,14.9,17.0,106,110,10.9,-0.5
8,2016-12-14,22-283,BOS,AWAY,SAS,L (-7),1,36:43,.442,.417,3.2,4.1,3.6,25.7,4.1,0.0,19.4,19.3,90,113,9.0,-3.6
9,2016-12-30,22-299,BOS,HOME,MIA,W (+3),1,33:35,.342,.143,4.1,12.6,8.3,7.8,3.1,0.0,10.2,14.0,86,119,5.1,-9.7
10,2017-01-07,22-307,BOS,HOME,NOP,W (+9),1,32:08,.972,.950,3.1,14.6,8.4,30.3,3.2,2.8,20.9,19.1,156,110,23.2,17.4
11,2017-01-10,22-310,BOS,AWAY,TOR,L (-8),1,37:36,.649,.591,3.3,8.7,6.2,19.7,5.2,2.0,19.6,18.1,115,110,15.9,7.2
12,2017-01-11,22-311,BOS,HOME,WAS,W (+9),1,36:16,.365,.273,7.0,5.2,5.9,13.6,0.0,0.0,14.0,17.7,94,121,3.7,-11.9
13,2017-01-13,22-313,BOS,AWAY,ATL,W (+2),1,36:33,.288,.192,6.6,0.0,3.1,15.7,5.8,0.0,11.3,22.4,77,107,4.9,-6.6
14,2017-01-18,22-318,BOS,HOME,NYK,L (-11),1,31:31,.291,.167,6.3,3.6,5.1,22.7,3.3,4.6,0.0,9.8,103,125,8.4,-2.1
15,2017-01-21,22-321,BOS,HOME,POR,L (-4),1,41:20,.482,.367,6.1,9.2,7.6,21.6,2.4,0.0,18.5,21.9,104,117,11.4,-2.3
16,2017-01-24,22-324,BOS,AWAY,WAS,L (-15),1,32:34,.440,.385,3.4,18.4,9.8,4.6,6.0,0.0,11.9,23.0,85,118,8.5,-4.1
17,2017-02-09,22-340,BOS,AWAY,POR,W (+9),1,37:30,.628,.615,2.8,16.4,9.1,19.0,6.8,0.0,0.0,16.5,146,107,21.6,10.4
18,2017-02-11,22-342,BOS,AWAY,UTA,W (+8),1,36:39,.421,.364,4.5,11.1,8.6,17.8,4.3,0.0,20.2,20.1,91,109,8.1,-3.3
19,2017-02-13,22-344,BOS,AWAY,DAL,W (+13),1,35:22,.745,.682,0.0,10.7,5.2,12.8,2.9,2.7,19.0,21.2,120,100,15.2,4.9
20,2017-02-15,22-346,BOS,HOME,PHI,W (+8),1,34:18,.746,.773,0.0,15.5,8.1,24.8,10.3,2.3,29.9,23.8,106,82,22.2,14.2
21,2017-02-16,22-347,BOS,AWAY,CHI,L (-1),1,32:35,.370,.200,3.7,10.5,7.2,12.8,1.7,0.0,12.9,12.3,93,120,3.6,-8.6
22,2017-03-17,23-011,BOS,AWAY,BRK,W (+3),1,29:14,.370,.250,0.0,10.1,5.4,28.2,5.0,0.0,11.0,27.2,81,92,6.8,-3.3
23,2017-03-19,23-013,BOS,AWAY,PHI,L (-6),1,35:15,.311,.250,6.3,13.3,9.7,36.4,2.7,0.0,18.9,19.0,77,104,7.6,-5.0
