,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-26,28-208,BRK,AWAY,BOS,L (-5),1,21:12,.400,.214,9.1,16.6,12.4,0.0,0.0,0.0,18.6,20.0,84,122,2.4,-13.0
1,2016-10-28,28-210,BRK,HOME,IND,W (+9),1,25:56,.606,.556,11.8,6.9,9.2,9.5,1.9,0.0,19.5,42.4,101,97,15.0,2.8
2,2016-10-31,28-213,BRK,HOME,CHI,L (-30),1,21:48,.528,.455,7.2,0.0,4.3,0.0,0.0,3.6,7.5,24.4,108,125,7.6,-2.3
3,2016-11-02,28-215,BRK,HOME,DET,W (+8),1,28:45,.681,.667,10.1,30.1,22.1,8.0,3.4,2.7,7.4,43.9,123,95,27.6,12.1
4,2016-11-04,28-217,BRK,HOME,CHO,L (-4),1,28:30,.491,.471,3.4,7.3,5.3,14.5,0.0,0.0,14.1,32.3,87,105,7.8,-3.7
5,2016-11-08,28-221,BRK,HOME,MIN,W (+9),1,27:37,.751,.719,0.0,9.8,6.2,7.1,0.0,8.1,22.4,36.1,110,107,16.7,3.1
6,2016-11-09,28-222,BRK,AWAY,NYK,L (-14),1,24:02,.717,.708,4.2,14.3,8.9,11.7,0.0,9.7,6.4,28.7,131,106,17.2,10.8
7,2016-11-12,28-225,BRK,AWAY,PHO,W (+18),1,27:45,.431,.318,0.0,13.1,7.9,9.9,1.6,11.7,19.0,23.9,78,90,7.7,-3.8
8,2016-11-15,28-228,BRK,AWAY,LAL,L (-7),1,31:08,.534,.480,9.3,20.8,15.1,15.6,0.0,7.2,6.6,38.1,109,114,21.7,6.1
9,2016-11-18,28-231,BRK,AWAY,OKC,L (-19),1,27:50,.652,.625,8.0,10.5,9.1,16.3,1.7,5.5,5.6,27.5,126,118,17.6,10.3
10,2016-11-20,28-233,BRK,HOME,POR,L (-20),1,28:58,.685,.643,9.4,15.1,11.6,27.9,1.6,3.4,11.5,24.8,130,126,19.1,9.0
11,2016-11-23,28-236,BRK,HOME,BOS,L (-19),1,27:41,.401,.321,3.6,7.2,5.4,12.8,3.4,2.9,0.0,24.5,94,107,9.4,1.0
12,2016-11-25,28-238,BRK,AWAY,IND,L (-21),1,24:00,.698,.692,4.3,15.8,9.4,20.0,0.0,3.3,17.3,32.0,110,122,13.2,2.3
13,2016-11-27,28-240,BRK,HOME,SAC,L (-17),1,30:18,.507,.433,3.5,22.6,12.7,10.5,0.0,0.0,10.7,27.5,101,127,9.6,-5.1
14,2016-11-29,28-242,BRK,HOME,LAC,W (+5),1,43:14,.660,.650,7.6,11.8,9.8,17.7,2.2,1.9,4.7,21.7,133,101,25.1,11.0
15,2016-12-01,28-244,BRK,HOME,MIL,L (-18),1,27:43,.512,.458,7.5,8.2,7.9,12.8,0.0,7.5,6.4,24.0,111,122,10.4,1.6
16,2016-12-03,28-246,BRK,AWAY,MIL,L (-9),1,29:02,.331,.265,3.4,11.5,7.2,34.2,1.6,8.1,9.2,29.9,79,102,6.4,0.0
17,2016-12-05,28-248,BRK,HOME,WAS,L (-5),1,30:42,.659,.600,15.6,6.9,11.0,28.4,0.0,5.4,5.0,27.1,147,118,23.0,10.8
18,2016-12-07,28-250,BRK,HOME,DEN,W (+5),1,32:36,.561,.471,10.5,12.7,11.8,19.2,0.0,4.3,8.5,30.3,121,113,18.3,2.5
19,2016-12-10,28-253,BRK,AWAY,SAS,L (-29),1,24:31,.665,.429,11.3,8.9,10.2,32.5,0.0,2.9,0.0,18.1,159,129,17.2,11.1
20,2016-12-12,28-255,BRK,AWAY,HOU,L (-4),1,31:30,.634,.529,4.5,0.0,1.9,10.8,1.4,6.3,16.3,32.5,112,117,17.8,2.0
21,2016-12-14,28-257,BRK,HOME,LAL,W (+10),1,32:44,.472,.447,8.8,9.8,9.3,13.8,0.0,2.3,12.4,29.9,99,105,10.7,-2.9
22,2016-12-16,28-259,BRK,AWAY,ORL,L (-7),1,31:34,.519,.474,3.6,14.6,9.7,6.0,1.5,11.2,15.9,34.4,89,106,12.9,-3.0
23,2016-12-18,28-261,BRK,AWAY,PHI,L (-1),1,31:55,.598,.464,11.0,18.4,15.0,44.6,1.5,10.0,5.2,26.4,136,101,24.9,14.6
24,2016-12-22,28-265,BRK,HOME,GSW,L (-16),1,30:40,.751,.688,0.0,25.0,12.9,13.1,0.0,4.7,24.4,32.4,108,105,18.4,7.9
25,2016-12-23,28-266,BRK,AWAY,CLE,L (-20),1,22:03,.727,.727,4.6,9.1,6.9,9.6,0.0,6.8,21.4,27.2,104,114,10.7,3.9
