,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-01-29,21-354,CHI,HOME,PHI,W (+13),1,13:59,.333,.333,8.2,34.3,22.4,9.0,0.0,0.0,0.0,18.5,89,106,3.1,-8.7
1,2017-02-24,22-014,CHI,HOME,PHO,W (+7),1,16:11,.500,.500,14.2,38.1,25.8,10.0,0.0,0.0,0.0,23.8,115,112,7.1,-2.7
2,2017-02-25,22-015,CHI,AWAY,CLE,W (+18),1,18:57,.509,.417,5.5,12.4,8.7,6.2,0.0,0.0,0.0,16.3,120,109,5.6,-2.5
3,2017-02-28,22-018,CHI,HOME,DEN,L (-18),1,27:50,.600,.600,0.0,34.5,12.9,4.9,5.2,0.0,9.1,16.9,108,118,9.9,0.9
4,2017-03-02,22-020,CHI,HOME,GSW,W (+7),1,31:19,.618,.583,7.3,35.1,22.1,0.0,0.0,2.6,6.8,21.3,118,87,14.6,6.2
5,2017-03-04,22-022,CHI,HOME,LAC,L (-10),1,20:46,.463,.455,5.8,33.0,19.7,0.0,0.0,0.0,0.0,24.8,104,109,6.2,-2.9
6,2017-03-06,22-024,CHI,AWAY,DET,L (-14),1,25:40,.506,.444,8.3,18.7,13.2,0.0,0.0,0.0,9.2,19.9,99,119,6.5,-6.4
7,2017-03-08,22-026,CHI,AWAY,ORL,L (-7),1,19:07,.667,.667,0.0,15.1,8.2,0.0,0.0,0.0,14.3,17.3,103,110,4.5,-5.8
8,2017-03-10,22-028,CHI,HOME,HOU,L (-21),1,20:12,.405,.333,0.0,29.1,13.8,0.0,2.2,0.0,16.8,23.3,69,103,2.5,-9.2
9,2017-03-12,22-030,CHI,AWAY,BOS,L (-20),1,21:25,.400,.400,13.2,28.0,19.7,0.0,0.0,0.0,6.3,33.2,83,110,6.5,-5.5
10,2017-03-13,22-031,CHI,AWAY,CHO,W (+6),1,20:08,.357,.357,0.0,34.1,17.8,6.6,0.0,0.0,0.0,14.9,84,113,3.3,-7.0
11,2017-03-15,22-033,CHI,HOME,MEM,L (-7),1,20:22,.444,.444,13.6,20.9,17.0,0.0,0.0,4.4,0.0,20.7,105,112,6.1,-5.2
12,2017-03-17,22-035,CHI,AWAY,WAS,L (-5),1,15:55,.255,.200,0.0,35.5,19.5,14.7,0.0,4.0,33.8,23.5,50,107,0.0,-12.3
