,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Thu, Oct 27, 2016",2016,10,27,8:00p,True,BOS,W,False,105,99,1,0,W 1
1,"Sat, Oct 29, 2016",2016,10,29,8:00p,True,IND,W,False,118,101,2,0,W 2
2,"Mon, Oct 31, 2016",2016,10,31,7:30p,False,BRK,W,False,118,88,3,0,W 3
3,"Wed, Nov 2, 2016",2016,11,2,8:00p,False,BOS,L,False,100,107,3,1,L 1
4,"Fri, Nov 4, 2016",2016,11,4,8:00p,True,NYK,L,False,104,117,3,2,L 2
5,"Sat, Nov 5, 2016",2016,11,5,7:00p,False,IND,L,False,94,111,3,3,L 3
6,"Mon, Nov 7, 2016",2016,11,7,8:00p,True,ORL,W,False,112,80,4,3,W 1
7,"Wed, Nov 9, 2016",2016,11,9,7:30p,False,ATL,L,False,107,115,4,4,L 1
8,"Thu, Nov 10, 2016",2016,11,10,8:00p,False,MIA,W,False,98,95,5,4,W 1
9,"Sat, Nov 12, 2016",2016,11,12,8:00p,True,WAS,W,False,106,95,6,4,W 2
10,"Tue, Nov 15, 2016",2016,11,15,10:00p,False,POR,W,False,113,88,7,4,W 3
11,"Thu, Nov 17, 2016",2016,11,17,10:30p,False,UTA,W,False,85,77,8,4,W 4
12,"Sat, Nov 19, 2016",2016,11,19,10:30p,False,LAC,L,False,95,102,8,5,L 1
13,"Sun, Nov 20, 2016",2016,11,20,9:30p,False,LAL,W,False,118,110,9,5,W 1
14,"Tue, Nov 22, 2016",2016,11,22,9:00p,False,DEN,L,False,107,110,9,6,L 1
15,"Fri, Nov 25, 2016",2016,11,25,7:30p,False,PHI,W,False,105,89,10,6,W 1
16,"Wed, Nov 30, 2016",2016,11,30,8:00p,True,LAL,L,False,90,96,10,7,L 1
17,"Fri, Dec 2, 2016",2016,12,2,8:00p,True,CLE,W,False,111,105,11,7,W 1
18,"Sat, Dec 3, 2016",2016,12,3,8:30p,False,DAL,L,False,82,107,11,8,L 1
19,"Mon, Dec 5, 2016",2016,12,5,8:00p,True,POR,L,False,110,112,11,9,L 2
21,"Tue, Dec 6, 2016",2016,12,6,7:30p,False,DET,L,False,91,102,11,10,L 3
22,"Thu, Dec 8, 2016",2016,12,8,9:30p,True,SAS,W,False,95,91,12,10,W 1
23,"Sat, Dec 10, 2016",2016,12,10,8:00p,True,MIA,W,False,105,100,13,10,W 2
24,"Tue, Dec 13, 2016",2016,12,13,8:00p,True,MIN,L,False,94,99,13,11,L 1
25,"Thu, Dec 15, 2016",2016,12,15,8:00p,False,MIL,L,False,97,108,13,12,L 2
26,"Fri, Dec 16, 2016",2016,12,16,8:00p,True,MIL,L,False,69,95,13,13,L 3
27,"Mon, Dec 19, 2016",2016,12,19,8:00p,True,DET,W,False,113,82,14,13,W 1
28,"Wed, Dec 21, 2016",2016,12,21,8:00p,True,WAS,L,False,97,107,14,14,L 1
29,"Fri, Dec 23, 2016",2016,12,23,7:00p,False,CHO,L,False,91,103,14,15,L 2
30,"Sun, Dec 25, 2016",2016,12,25,5:00p,False,SAS,L,False,100,119,14,16,L 3
