,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-29,24-024,CHO,HOME,BOS,L (-6),1,21:10,.527,.500,5.2,50.4,25.5,8.3,0.0,9.1,13.1,17.1,102,104,6.8,-1.5
1,2016-11-02,24-028,CHO,HOME,PHI,W (+16),1,26:24,.674,.714,0.0,4.2,2.2,0.0,0.0,3.8,0.0,16.6,134,102,7.9,-2.8
2,2016-11-04,24-030,CHO,AWAY,BRK,W (+4),1,21:14,.543,.429,9.8,18.5,14.3,46.4,4.4,4.4,0.0,18.5,137,83,13.4,14.6
3,2016-11-07,24-033,CHO,HOME,IND,W (+22),1,22:35,.781,.714,0.0,20.4,11.2,0.0,0.0,0.0,0.0,16.2,151,100,10.8,0.1
4,2016-11-09,24-035,CHO,HOME,UTA,W (+6),1,26:40,.570,.571,4.4,8.6,6.5,11.7,0.0,0.0,8.7,20.2,112,113,7.6,-2.9
5,2016-11-11,24-037,CHO,HOME,TOR,L (-2),1,26:29,.615,.625,9.9,15.4,12.4,0.0,0.0,2.7,0.0,15.4,138,118,11.2,1.5
6,2016-11-13,24-039,CHO,AWAY,CLE,L (-7),1,14:02,.000,.000,13.4,14.6,14.0,9.5,0.0,0.0,20.0,16.2,36,111,-2.7,-22.1
7,2016-11-15,24-041,CHO,AWAY,MIN,W (+7),1,30:30,.709,.667,9.5,23.4,17.7,4.7,0.0,2.9,0.0,15.1,150,111,14.2,1.3
8,2016-11-18,24-044,CHO,HOME,ATL,W (+4),1,31:24,.879,.900,6.2,3.5,4.9,6.6,3.1,8.2,18.7,22.0,136,91,20.3,9.8
9,2016-11-25,24-051,CHO,AWAY,NYK,L (-2),1,23:29,.638,.700,8.7,18.4,13.4,16.6,0.0,0.0,7.8,24.4,121,110,11.4,2.9
10,2016-11-26,24-052,CHO,HOME,NYK,W (+5),1,25:09,.448,.286,20.7,18.0,19.3,12.2,1.9,5.7,0.0,21.6,120,97,11.7,2.2
11,2016-11-28,24-054,CHO,AWAY,MEM,W (+19),1,21:21,.387,.333,10.5,29.3,20.2,6.7,0.0,0.0,20.5,10.1,91,87,3.0,-4.3
12,2016-11-29,24-055,CHO,HOME,DET,L (-23),1,27:51,.667,.667,8.6,31.3,20.5,0.0,1.8,2.7,25.0,13.8,98,112,7.7,-4.2
13,2016-12-01,24-057,CHO,HOME,DAL,W (+10),1,30:45,.600,.600,4.3,21.3,13.7,5.1,0.0,2.8,0.0,8.0,126,96,6.8,-1.0
14,2016-12-03,24-059,CHO,HOME,MIN,L (-5),1,34:44,.429,.429,9.2,18.0,13.6,7.7,1.4,7.7,0.0,8.4,118,109,10.2,0.0
15,2016-12-05,24-061,CHO,AWAY,DAL,W (+8),1,23:45,1.020,1.000,5.8,3.8,4.6,6.8,0.0,3.8,33.8,17.4,127,112,8.3,1.2
16,2016-12-07,24-063,CHO,HOME,DET,W (+10),1,32:11,.373,.222,2.7,14.1,8.3,0.0,0.0,2.4,0.0,17.0,82,81,4.4,-4.2
17,2016-12-09,24-065,CHO,HOME,ORL,W (+21),1,22:26,.765,.800,19.5,11.7,15.1,6.6,2.3,0.0,14.5,13.7,145,94,10.7,5.3
18,2016-12-10,24-066,CHO,AWAY,CLE,L (-11),1,22:50,.871,.875,14.0,37.1,23.9,17.3,4.4,0.0,33.9,28.1,112,111,14.1,6.8
19,2016-12-12,24-068,CHO,AWAY,IND,L (-16),1,31:19,.444,.444,3.3,21.9,12.2,7.0,0.0,5.9,10.0,13.8,87,112,5.7,-4.4
20,2016-12-14,24-070,CHO,AWAY,WAS,L (-3),1,29:51,.856,.857,4.7,4.0,4.3,5.7,0.0,2.3,22.2,21.5,132,121,12.1,-1.8
21,2016-12-16,24-072,CHO,AWAY,BOS,L (-8),1,27:07,.143,.143,18.6,16.9,17.9,5.9,3.7,10.6,12.5,12.1,64,89,5.5,-2.8
22,2016-12-17,24-073,CHO,AWAY,ATL,W (+8),1,36:21,.571,.571,5.9,26.4,16.1,4.1,1.4,0.0,12.5,20.0,103,102,11.2,-3.5
23,2016-12-20,24-076,CHO,HOME,LAL,W (+4),1,24:37,.564,.500,8.5,15.4,11.6,11.1,4.1,0.0,9.3,18.3,123,114,10.5,1.1
24,2016-12-23,24-079,CHO,HOME,CHI,W (+12),1,32:10,.604,.556,15.9,5.6,10.4,20.2,1.6,4.0,8.5,16.5,134,104,16.2,6.8
25,2016-12-26,24-082,CHO,AWAY,BRK,L (-2),1,28:42,.631,.636,10.7,27.9,18.1,10.4,1.7,0.0,0.0,17.1,141,122,14.0,1.4
26,2016-12-28,24-084,CHO,AWAY,ORL,W (+19),1,23:55,.727,.667,17.7,8.9,12.7,10.6,2.2,0.0,12.7,15.0,149,109,11.5,4.2
27,2016-12-29,24-085,CHO,HOME,MIA,W (+9),1,33:09,.678,.750,5.5,15.4,10.1,9.1,1.5,2.7,23.1,11.5,113,85,9.0,-0.1
28,2016-12-31,24-087,CHO,HOME,CLE,L (-12),1,19:10,1.000,1.000,0.0,6.8,3.4,23.1,0.0,4.6,25.0,10.1,152,137,5.6,0.9
29,2017-01-07,24-094,CHO,AWAY,SAS,L (-17),1,32:38,.666,.600,10.5,18.0,14.5,5.7,1.6,5.3,22.8,12.8,114,106,10.5,2.1
30,2017-01-13,24-100,CHO,AWAY,PHI,L (-9),1,35:55,.508,.429,18.2,15.3,16.9,6.7,4.3,3.5,16.0,21.2,106,105,13.4,2.0
31,2017-01-16,24-103,CHO,AWAY,BOS,L (-10),1,30:56,.742,.714,16.9,11.6,14.4,10.3,0.0,3.4,18.6,16.0,135,120,13.4,2.4
32,2017-01-18,24-105,CHO,HOME,POR,W (+22),1,25:16,.429,.429,13.3,22.9,18.8,0.0,0.0,3.0,22.2,16.1,82,89,3.6,-10.0
33,2017-01-20,24-107,CHO,HOME,TOR,W (+35),1,23:07,.709,.667,11.5,4.3,7.4,6.6,0.0,0.0,11.4,17.3,139,95,8.6,0.6
34,2017-01-21,24-108,CHO,HOME,BRK,W (+7),1,30:50,.761,.714,0.0,31.8,16.3,15.0,0.0,3.3,0.0,11.7,161,106,14.2,4.7
35,2017-01-23,24-110,CHO,HOME,WAS,L (-10),1,35:07,.707,.571,10.1,19.0,13.7,9.3,4.3,5.0,17.9,14.0,131,105,15.4,3.6
36,2017-02-09,24-127,CHO,HOME,HOU,L (-12),1,21:30,.533,.500,10.4,9.7,10.0,8.0,4.4,0.0,26.2,22.8,85,102,5.5,-3.7
37,2017-03-04,24-150,CHO,AWAY,DEN,W (+10),1,26:29,.435,.400,3.9,30.9,16.5,10.7,2.0,0.0,0.0,22.4,106,110,7.6,-6.9
38,2017-03-06,24-152,CHO,HOME,IND,W (+12),1,34:24,.553,.500,14.5,19.5,16.9,10.0,3.1,0.0,0.0,15.6,137,96,15.9,4.3
39,2017-03-08,24-154,CHO,AWAY,MIA,L (-7),1,42:11,.500,.500,5.8,4.9,5.4,7.0,0.0,5.2,11.1,10.1,107,123,6.2,-4.9
40,2017-03-10,24-156,CHO,HOME,ORL,W (+40),1,31:21,.750,.750,0.0,23.8,14.5,10.8,0.0,0.0,20.0,8.1,130,96,6.4,-2.7
41,2017-03-11,24-157,CHO,HOME,NOP,L (-3),1,39:54,.381,.429,8.1,16.6,12.3,6.3,2.5,0.0,11.3,9.8,93,115,5.8,-6.5
42,2017-03-13,24-159,CHO,HOME,CHI,L (-6),1,33:57,.486,.400,2.9,18.9,10.5,7.6,1.5,5.4,8.1,16.2,103,115,9.7,-2.4
43,2017-03-15,24-161,CHO,AWAY,IND,L (-21),1,26:31,.415,.375,0.0,24.1,10.1,6.8,6.1,4.0,10.6,17.9,76,98,6.4,0.0
44,2017-03-18,24-164,CHO,HOME,WAS,W (+5),1,33:12,.779,.800,3.4,13.4,8.5,0.0,6.2,6.3,0.0,17.5,153,89,20.5,12.0
45,2017-03-20,24-166,CHO,HOME,ATL,W (+15),1,21:49,.581,.667,11.6,16.5,14.1,0.0,5.0,0.0,0.0,15.8,121,95,6.9,-4.3
46,2017-03-22,24-168,CHO,AWAY,ORL,W (+7),1,29:28,.718,.700,15.5,7.4,11.4,10.6,5.3,0.0,16.1,18.8,132,107,15.0,4.0
47,2017-03-24,24-170,CHO,HOME,CLE,L (-7),1,32:09,.826,1.000,15.2,28.9,20.5,15.4,1.6,6.1,0.0,12.4,177,116,21.0,13.7
48,2017-03-26,24-172,CHO,HOME,PHO,W (+14),1,31:59,.714,.667,7.7,18.3,13.1,9.1,6.4,0.0,8.2,17.5,142,103,17.4,4.7
49,2017-03-28,24-174,CHO,HOME,MIL,L (-10),1,29:17,1.031,1.000,0.0,5.7,2.2,0.0,3.6,3.7,20.5,8.4,155,124,9.1,-0.2
50,2017-03-29,24-175,CHO,AWAY,TOR,W (+4),1,26:57,.000,.000,4.2,22.3,13.0,18.3,0.0,3.4,40.0,8.6,59,117,-0.8,-11.2
51,2017-03-31,24-177,CHO,HOME,DEN,W (+8),1,30:49,.481,.429,12.7,18.1,15.2,13.2,1.6,8.2,10.7,13.8,123,117,11.2,-1.7
52,2017-04-02,24-179,CHO,AWAY,OKC,W (+12),1,27:35,.546,.429,4.6,12.7,8.8,11.0,1.7,3.3,9.0,18.0,112,101,10.2,-0.5
53,2017-04-04,24-181,CHO,AWAY,WAS,L (-7),1,31:48,.850,.800,11.6,31.1,20.7,4.4,0.0,3.0,14.5,9.9,159,123,12.3,2.2
54,2017-04-05,24-182,CHO,HOME,MIA,L (-13),1,30:01,.333,.333,0.0,16.4,8.4,16.8,0.0,3.6,0.0,20.3,77,130,4.0,-8.9
55,2017-04-08,24-185,CHO,HOME,BOS,L (-7),1,29:55,.888,.800,7.1,28.1,17.0,10.2,5.0,0.0,0.0,10.3,191,117,17.2,8.7
56,2017-04-10,24-187,CHO,AWAY,MIL,L (-10),1,27:23,.483,.375,0.0,26.3,12.4,6.3,0.0,3.4,9.7,18.9,91,105,6.0,-6.2
57,2017-04-11,24-188,CHO,AWAY,ATL,L (-27),1,22:14,.515,.333,8.0,24.0,14.4,16.1,0.0,0.0,0.0,7.7,136,117,5.1,-3.5
