,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-25,31-300,CLE,HOME,NYK,W (+29),1,32:23,.638,.643,11.1,22.4,17.5,65.5,0.0,2.5,21.2,24.1,129,90,22.2,11.1
1,2016-10-28,31-303,CLE,AWAY,TOR,W (+3),1,38:40,.550,.500,5.9,15.2,10.9,35.7,0.0,0.0,20.8,28.3,103,100,14.1,2.0
2,2016-10-29,31-304,CLE,HOME,ORL,W (+6),1,39:00,.552,.500,2.5,15.4,8.2,40.4,1.3,2.2,8.8,25.5,122,103,20.4,8.5
3,2016-11-01,31-307,CLE,HOME,HOU,W (+8),1,35:51,.579,.542,12.2,29.8,22.3,30.6,0.0,0.0,19.6,25.4,123,127,16.5,-0.8
4,2016-11-03,31-309,CLE,HOME,BOS,W (+6),1,36:22,.620,.568,3.7,17.6,11.4,62.9,1.3,0.0,7.6,31.9,136,124,28.5,8.6
5,2016-11-05,31-311,CLE,AWAY,PHI,W (+1),1,35:52,.479,.413,2.6,21.8,11.4,75.1,2.6,2.7,16.1,36.2,104,96,22.0,9.3
6,2016-11-08,31-314,CLE,HOME,ATL,L (-4),1,36:52,.599,.529,5.0,24.6,13.2,24.5,4.0,0.0,5.0,22.7,129,107,22.1,9.8
7,2016-11-11,31-317,CLE,AWAY,WAS,W (+11),1,38:06,.615,.583,0.0,28.6,13.5,25.5,2.6,3.5,21.5,31.3,105,90,20.3,8.7
8,2016-11-13,31-319,CLE,HOME,CHO,W (+7),1,38:42,.434,.429,0.0,19.5,10.1,34.1,1.3,1.9,12.1,28.7,94,99,13.8,1.5
9,2016-11-15,31-321,CLE,HOME,TOR,W (+4),1,38:04,.722,.733,0.0,23.6,13.2,60.3,1.3,0.0,20.5,27.4,135,117,28.3,12.4
10,2016-11-18,31-324,CLE,HOME,DET,W (+23),1,28:03,.685,.679,0.0,8.9,5.3,20.9,0.0,2.3,11.5,29.0,118,91,15.7,6.5
11,2016-11-23,31-329,CLE,HOME,POR,W (+12),1,37:30,.632,.571,3.4,28.1,16.2,49.1,3.9,0.0,10.9,31.5,139,120,32.8,11.7
12,2016-11-25,31-331,CLE,HOME,DAL,W (+38),1,29:03,.625,.538,0.0,16.9,9.6,54.9,1.7,0.0,20.8,29.0,127,94,18.1,6.9
13,2016-11-27,31-333,CLE,AWAY,PHI,W (+4),1,41:30,.566,.500,4.5,20.6,12.0,54.5,1.2,0.0,17.9,28.5,117,110,24.4,7.6
14,2016-11-29,31-335,CLE,AWAY,MIL,L (-17),1,32:53,.577,.594,0.0,15.4,7.5,28.7,0.0,0.0,26.8,35.4,87,122,8.2,-7.2
15,2016-12-01,31-337,CLE,HOME,LAC,L (-19),1,33:37,.425,.357,3.7,13.0,8.6,34.2,3.0,0.0,21.0,32.7,81,116,7.8,-3.8
16,2016-12-02,31-338,CLE,AWAY,CHI,L (-6),1,44:40,.614,.614,0.0,12.5,6.6,45.0,0.0,0.0,26.7,30.6,103,118,18.6,0.4
