,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-25,26-234,POR,HOME,UTA,W (+9),1,14:34,.250,.250,0.0,9.4,5.1,9.2,0.0,0.0,0.0,13.6,68,120,-1.0,-16.1
1,2016-10-27,26-236,POR,HOME,LAC,L (-8),1,30:30,.730,.778,7.5,17.5,13.1,22.5,0.0,7.6,14.7,19.0,133,110,16.8,11.0
2,2016-10-29,26-238,POR,AWAY,DEN,W (+2),1,32:23,.611,.625,0.0,5.8,3.1,22.2,1.4,0.0,15.8,16.9,113,105,9.3,0.0
3,2016-11-01,26-241,POR,HOME,GSW,L (-23),1,21:53,.600,.600,5.0,26.6,14.2,43.3,4.2,0.0,28.6,13.6,116,117,9.4,6.0
4,2016-11-02,26-242,POR,AWAY,PHO,L (-3),1,21:14,.182,.182,9.1,43.8,26.7,27.0,0.0,5.7,15.4,26.1,57,96,2.9,-8.3
5,2016-11-04,26-244,POR,AWAY,DAL,W (+10),1,34:05,.848,.778,3.2,10.1,6.6,21.5,5.9,2.6,15.2,17.6,151,91,21.8,14.2
6,2016-11-06,26-246,POR,AWAY,MEM,W (+6),1,24:15,.621,.667,5.3,22.5,14.7,21.2,4.3,0.0,34.7,17.5,99,95,6.2,-0.3
7,2016-11-08,26-248,POR,HOME,PHO,W (+3),1,31:22,.727,.833,0.0,17.8,10.1,20.5,0.0,2.4,0.0,9.3,162,120,11.9,5.4
8,2016-11-09,26-249,POR,AWAY,LAC,L (-31),1,20:16,.155,.083,9.1,9.5,9.3,33.1,0.0,0.0,7.2,30.4,52,123,-1.0,-11.3
9,2016-11-11,26-251,POR,HOME,SAC,W (+2),1,34:32,.556,.600,7.3,18.3,12.8,26.6,3.0,4.6,21.7,13.0,122,112,11.3,2.7
10,2016-11-13,26-253,POR,HOME,DEN,W (+7),1,23:42,.661,.714,14.2,22.0,17.7,21.0,0.0,3.3,10.7,15.7,135,104,13.4,6.7
11,2016-11-15,26-255,POR,HOME,CHI,L (-25),1,21:38,.467,.429,14.1,8.4,11.5,32.5,2.3,2.8,9.4,20.7,110,116,10.6,7.0
12,2016-11-17,26-257,POR,AWAY,HOU,L (-17),1,30:01,.400,.400,0.0,26.7,13.5,29.6,0.0,2.5,16.7,8.6,108,123,7.5,-0.1
13,2016-11-18,26-258,POR,AWAY,NOP,L (-12),1,34:20,.597,.600,8.6,35.0,19.7,39.8,0.0,0.0,15.5,15.9,125,118,15.3,5.9
14,2016-11-20,26-260,POR,AWAY,BRK,W (+20),1,24:05,.478,.500,12.1,22.6,18.5,18.5,2.0,6.9,21.5,17.0,108,100,8.4,1.0
15,2016-11-22,26-262,POR,AWAY,NYK,L (-4),1,28:24,.712,.800,15.4,19.7,17.5,21.6,0.0,2.5,38.8,15.4,105,108,9.7,1.6
16,2016-11-23,26-263,POR,AWAY,CLE,L (-12),1,23:21,.873,.900,10.0,10.8,10.4,21.6,0.0,3.8,0.0,20.8,182,141,18.8,9.9
17,2016-11-25,26-265,POR,HOME,NOP,W (+15),1,33:24,.450,.417,9.8,37.6,23.4,28.9,1.4,0.0,7.0,17.4,119,104,15.4,4.3
18,2016-11-27,26-267,POR,HOME,HOU,L (-16),1,32:30,.628,.714,20.0,13.0,16.6,31.7,0.0,3.2,25.5,15.8,125,136,12.3,1.4
19,2016-11-30,26-270,POR,HOME,IND,W (+22),1,27:17,.571,.571,12.6,35.2,22.0,28.6,0.0,3.0,6.7,24.4,135,118,15.6,2.3
20,2016-12-03,26-273,POR,HOME,MIA,W (+7),1,33:02,.619,.625,2.9,27.0,14.1,5.1,1.5,2.3,10.1,13.3,116,95,9.5,-1.3
21,2016-12-05,26-275,POR,AWAY,CHI,W (+2),1,23:07,.506,.444,4.6,19.3,11.8,11.3,4.3,6.9,9.2,20.6,106,105,10.6,3.4
22,2016-12-07,26-277,POR,AWAY,MIL,L (-8),1,33:08,.425,.400,6.3,29.7,17.0,18.6,3.0,8.2,7.8,17.1,103,109,12.7,2.6
