,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-26,28-113,DET,AWAY,TOR,L (-18),1,33:15,.300,.300,0.0,3.1,1.6,32.9,1.5,0.0,0.0,13.5,87,119,6.4,-1.5
1,2016-10-28,28-115,DET,HOME,ORL,W (+26),1,26:00,.615,.615,0.0,6.4,3.8,44.4,1.9,0.0,13.3,25.3,122,92,14.9,7.2
2,2016-10-30,28-117,DET,HOME,MIL,W (+15),1,31:09,.315,.294,0.0,5.9,3.1,34.5,0.0,0.0,18.7,29.6,73,97,1.8,-11.2
3,2016-11-01,28-119,DET,HOME,NYK,W (+13),1,31:37,.357,.357,0.0,6.6,3.3,36.4,1.6,0.0,6.7,21.0,93,98,6.8,-3.7
4,2016-11-02,28-120,DET,AWAY,BRK,L (-8),1,31:02,.455,.389,0.0,9.4,3.7,33.5,1.6,0.0,23.3,18.1,90,117,7.0,-5.9
5,2016-11-05,28-123,DET,HOME,DEN,W (+17),1,28:18,.396,.385,4.1,12.6,8.9,43.0,5.3,0.0,12.6,25.2,95,85,11.6,4.0
6,2016-11-07,28-125,DET,AWAY,LAC,L (-32),1,23:39,.111,.111,0.0,6.8,2.4,21.8,0.0,0.0,18.2,21.4,31,127,-4.7,-20.0
7,2016-11-09,28-127,DET,AWAY,PHO,L (-7),1,32:16,.305,.231,3.1,7.1,5.0,37.8,5.9,4.8,11.9,21.9,77,98,9.5,1.7
8,2016-11-11,28-129,DET,AWAY,SAS,L (-10),1,29:52,.551,.600,0.0,15.0,7.4,28.8,0.0,0.0,8.4,19.8,110,115,9.2,1.6
9,2016-11-12,28-130,DET,AWAY,DEN,W (+11),1,29:24,.417,.417,4.2,8.2,6.2,34.5,3.6,0.0,25.0,24.8,87,106,6.9,-4.1
10,2016-11-14,28-132,DET,HOME,OKC,W (+16),1,30:06,.564,.500,0.0,17.1,9.8,13.1,3.2,2.6,23.5,18.8,91,82,9.8,0.4
11,2016-11-16,28-134,DET,AWAY,NYK,L (-3),1,35:04,.888,.929,3.3,2.7,3.0,32.4,1.5,0.0,27.6,14.9,141,122,15.3,5.4
12,2016-11-18,28-136,DET,AWAY,CLE,L (-23),1,23:28,.202,.111,3.5,10.8,6.4,45.5,2.1,3.5,9.2,20.5,63,106,4.3,-3.2
