,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-12-23,27-223,DET,HOME,GSW,L (-6),1,33:06,.571,.571,3.5,24.9,13.2,7.8,1.4,0.0,0.0,9.2,126,117,8.4,-1.0
1,2016-12-26,27-226,DET,HOME,CLE,W (+16),1,27:58,.568,.545,3.7,15.3,9.3,5.3,3.5,0.0,0.0,17.8,121,91,10.7,2.5
2,2016-12-28,27-228,DET,HOME,MIL,L (-25),1,28:49,.409,.409,10.9,18.5,14.2,20.6,0.0,0.0,0.0,17.4,108,130,9.0,-0.9
3,2016-12-30,27-230,DET,AWAY,ATL,L (-7),1,36:33,.652,.625,8.6,9.6,9.1,5.7,2.7,0.0,0.0,19.9,142,111,18.5,6.0
4,2017-01-01,27-232,DET,AWAY,MIA,W (+9),1,27:56,.250,.250,8.4,4.2,6.3,12.8,0.0,0.0,20.0,8.0,89,113,2.0,-5.2
5,2017-01-03,27-234,DET,HOME,IND,L (-5),1,34:05,.636,.636,3.2,26.4,13.0,7.4,1.5,0.0,15.4,16.3,114,132,10.8,-3.7
6,2017-01-05,27-236,DET,HOME,CHO,W (+1),1,21:53,.667,.667,3.8,22.8,12.5,6.8,0.0,0.0,14.3,13.0,118,116,5.3,-1.9
7,2017-01-08,27-239,DET,AWAY,POR,W (+1),1,6:15,,,0.0,0.0,0.0,17.2,0.0,0.0,,0.0,215,121,0.3,-4.0
8,2017-01-23,27-254,DET,HOME,SAC,L (-5),1,27:35,.682,.682,0.0,16.6,8.6,22.8,0.0,0.0,15.4,21.7,115,117,9.7,2.2
9,2017-01-28,27-259,DET,AWAY,MIA,L (-13),1,24:21,.735,.800,4.7,0.0,2.5,5.2,0.0,0.0,0.0,10.1,158,134,5.9,-1.0
10,2017-01-30,27-261,DET,AWAY,BOS,L (-4),1,26:11,.444,.200,7.3,16.3,11.6,13.4,0.0,7.3,0.0,10.6,123,113,7.8,1.3
11,2017-02-01,27-263,DET,HOME,NOP,W (+20),1,17:04,.143,.143,0.0,28.1,14.6,18.7,0.0,0.0,0.0,18.7,56,103,0.4,-11.0
12,2017-02-03,27-265,DET,HOME,MIN,W (+8),1,35:17,.659,.625,5.8,6.5,6.1,4.1,0.0,0.0,0.0,21.0,152,119,17.5,5.0
13,2017-02-04,27-266,DET,AWAY,IND,L (-21),1,27:21,.636,.636,4.2,20.9,12.5,9.4,0.0,0.0,26.7,25.1,88,113,7.6,-2.6
14,2017-02-06,27-268,DET,HOME,PHI,W (+17),1,22:37,.636,.611,13.0,8.2,10.5,12.0,0.0,3.7,0.0,16.9,154,102,10.5,4.9
15,2017-02-08,27-270,DET,HOME,LAL,W (+19),1,34:22,.559,.529,2.9,6.2,4.5,10.9,1.3,0.0,5.3,21.7,117,100,13.9,-0.7
16,2017-02-10,27-272,DET,HOME,SAS,L (-11),1,34:50,.506,.444,0.0,7.1,3.2,12.3,0.0,0.0,16.8,15.2,91,114,4.8,-4.9
17,2017-02-12,27-274,DET,AWAY,TOR,W (+1),1,16:58,.200,.200,0.0,0.0,0.0,0.0,0.0,0.0,16.7,16.4,37,123,-2.1,-16.7
18,2017-02-13,27-275,DET,AWAY,MIL,L (-13),1,36:17,.759,.722,6.6,32.2,18.9,0.0,0.0,2.3,16.8,15.2,129,112,13.1,3.9
19,2017-02-15,27-277,DET,HOME,DAL,W (+7),1,34:06,.877,.714,3.3,19.3,12.0,0.0,0.0,2.6,8.1,16.4,170,95,18.8,8.9
20,2017-02-23,27-285,DET,HOME,CHO,W (+6),1,41:24,.357,.357,4.7,17.2,10.8,6.8,0.0,0.0,6.7,16.0,80,106,5.3,-7.7
21,2017-02-26,27-288,DET,HOME,BOS,L (-6),1,25:19,.421,.455,3.5,13.2,7.8,6.9,0.0,0.0,20.2,24.9,70,110,1.6,-8.8
22,2017-02-28,27-290,DET,HOME,POR,W (+7),1,19:30,.000,.000,0.0,34.0,13.9,0.0,0.0,0.0,0.0,17.4,0,108,-4.5,-22.4
23,2017-03-01,27-291,DET,AWAY,NOP,L (-23),1,38:37,.478,.478,7.3,10.7,8.4,4.7,4.0,2.3,4.2,25.4,107,114,15.8,3.3
24,2017-03-04,27-294,DET,AWAY,PHI,W (+30),1,19:14,.429,.429,0.0,12.5,6.2,5.4,2.5,0.0,12.5,17.9,84,108,2.8,-11.5
25,2017-03-06,27-296,DET,HOME,CHI,W (+14),1,32:15,.543,.500,3.7,16.5,10.5,4.1,0.0,0.0,0.0,17.9,120,106,10.1,-2.8
