,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-12-13,28-329,GSW,AWAY,NOP,W (+4),1,16:05,.765,.800,6.2,28.4,16.6,0.0,0.0,0.0,0.0,15.2,151,110,8.6,3.6
1,2016-12-15,28-331,GSW,HOME,NYK,W (+13),1,15:35,.751,.800,12.3,0.0,5.8,15.1,0.0,4.3,8.1,32.6,131,100,14.2,14.2
2,2017-02-01,29-013,GSW,HOME,CHO,W (+15),1,17:08,.605,.571,5.8,19.1,12.2,0.0,0.0,19.7,11.8,21.1,106,100,8.7,-1.6
3,2017-02-02,29-014,GSW,AWAY,LAC,W (+13),1,15:07,.799,.833,29.5,31.8,30.6,0.0,3.2,5.8,12.7,21.2,146,110,11.5,4.0
4,2017-02-04,29-016,GSW,AWAY,SAC,L (-3),1,12:38,.436,.333,9.3,10.2,9.8,0.0,0.0,0.0,0.0,12.6,105,113,0.7,-12.5
5,2017-02-08,29-020,GSW,HOME,CHI,W (+31),1,16:12,.623,.600,26.1,21.5,23.3,0.0,0.0,8.7,0.0,30.1,133,90,11.9,0.0
6,2017-02-10,29-022,GSW,AWAY,MEM,W (+15),1,18:13,.400,.400,23.2,5.6,13.0,7.8,2.7,0.0,16.7,15.0,103,115,2.8,-10.9
7,2017-02-11,29-023,GSW,AWAY,OKC,W (+16),1,19:33,.784,.875,18.0,0.0,8.9,0.0,0.0,0.0,0.0,22.1,160,119,12.9,3.0
8,2017-02-13,29-025,GSW,AWAY,DEN,L (-22),1,15:38,.667,.667,0.0,58.1,27.2,0.0,0.0,6.5,25.0,23.0,87,121,5.8,-6.9
9,2017-02-15,29-027,GSW,HOME,SAC,W (+23),1,17:47,.800,.800,6.1,46.7,28.1,8.9,0.0,0.0,0.0,13.3,161,83,9.4,3.6
