,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-25,28-026,GSW,HOME,SAS,L (-29),1,36:36,.668,.639,0.0,27.3,14.6,20.5,2.7,3.5,0.0,24.3,139,121,26.8,13.1
1,2016-10-28,28-029,GSW,AWAY,NOP,W (+8),1,39:06,.618,.474,0.0,40.1,21.3,22.4,2.3,3.1,7.6,27.5,125,96,30.2,10.6
2,2016-10-30,28-031,GSW,AWAY,PHO,W (+6),1,37:56,.803,.688,0.0,10.8,5.4,22.7,5.0,1.9,14.8,30.4,137,93,33.3,20.0
3,2016-11-01,28-033,GSW,AWAY,POR,W (+23),1,30:43,.613,.600,4.7,14.2,10.1,8.7,5.9,3.3,10.9,24.9,112,91,17.5,3.4
4,2016-11-03,28-035,GSW,HOME,OKC,W (+26),1,31:08,.770,.771,3.6,21.0,12.4,6.7,0.0,2.6,7.3,37.3,142,102,28.5,15.5
5,2016-11-04,28-036,GSW,AWAY,LAL,L (-20),1,35:17,.692,.688,3.1,11.6,7.5,16.1,2.7,2.1,9.3,25.5,125,114,22.9,10.3
6,2016-11-07,28-039,GSW,HOME,NOP,W (+10),1,36:54,.560,.500,3.1,6.7,4.8,18.8,1.3,2.2,16.9,27.9,104,113,15.4,-2.5
7,2016-11-09,28-041,GSW,HOME,DAL,W (+21),1,35:15,.769,.750,0.0,29.0,16.8,18.5,0.0,2.3,14.2,29.3,128,101,22.7,8.5
8,2016-11-10,28-042,GSW,AWAY,DEN,W (+24),1,29:32,.533,.500,9.0,21.9,16.6,24.6,1.7,5.6,5.6,26.7,122,100,17.6,3.3
9,2016-11-13,28-045,GSW,HOME,PHO,W (+13),1,37:37,.602,.524,0.0,26.7,14.2,19.8,1.2,3.9,14.2,30.7,111,112,22.1,1.2
10,2016-11-16,28-048,GSW,AWAY,TOR,W (+6),1,35:53,.635,.595,6.7,22.8,14.9,27.4,1.3,0.0,14.5,33.2,116,122,22.8,4.2
11,2016-11-18,28-050,GSW,AWAY,BOS,W (+16),1,32:46,.779,.808,3.3,27.5,15.8,34.9,3.1,2.9,11.9,23.1,140,87,25.7,18.1
12,2016-11-19,28-051,GSW,AWAY,MIL,W (+3),1,35:57,.755,.735,0.0,21.7,9.3,23.3,2.7,1.9,0.0,24.1,165,118,29.9,18.0
13,2016-11-21,28-053,GSW,AWAY,IND,W (+37),1,27:29,.579,.389,0.0,30.5,17.6,30.1,3.5,4.4,7.6,19.7,132,70,18.8,14.3
