,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-25,26-260,GSW,HOME,SAS,L (-29),1,33:21,.423,.423,0.0,3.0,1.6,8.8,0.0,0.0,7.1,18.5,84,142,3.0,-10.8
1,2016-10-28,26-263,GSW,AWAY,NOP,W (+8),1,38:57,.615,.571,0.0,4.7,2.5,16.2,1.1,0.0,4.2,25.0,121,110,21.1,3.9
2,2016-10-30,26-265,GSW,AWAY,PHO,W (+6),1,40:03,.407,.333,0.0,15.3,7.7,8.3,0.0,1.8,10.4,20.5,78,103,5.8,-6.6
3,2016-11-01,26-267,GSW,AWAY,POR,W (+23),1,30:13,.391,.353,9.6,10.8,10.3,15.7,0.0,0.0,10.1,27.4,90,107,6.0,-12.6
4,2016-11-03,26-269,GSW,HOME,OKC,W (+26),1,32:58,.643,.643,3.4,0.0,1.7,12.2,3.0,2.4,12.5,20.7,125,104,13.3,3.7
5,2016-11-04,26-270,GSW,AWAY,LAL,L (-20),1,37:32,.278,.278,0.0,8.2,4.2,3.8,2.5,2.0,18.2,24.5,48,116,-1.1,-13.0
6,2016-11-07,26-273,GSW,HOME,NOP,W (+10),1,38:00,.600,.600,0.0,13.0,6.2,4.1,3.9,0.0,4.8,24.1,110,108,17.5,-0.6
7,2016-11-09,26-275,GSW,HOME,DAL,W (+21),1,28:49,.769,.769,0.0,7.1,4.1,22.5,0.0,0.0,18.8,27.0,118,111,12.5,1.9
8,2016-11-10,26-276,GSW,AWAY,DEN,W (+24),1,31:37,.638,.607,0.0,5.8,3.5,12.9,1.5,0.0,16.8,24.9,109,111,12.3,-2.4
9,2016-11-13,26-279,GSW,HOME,PHO,W (+13),1,33:26,.776,.750,0.0,6.7,3.5,4.9,0.0,0.0,20.6,29.9,110,121,16.9,-1.7
10,2016-11-16,26-282,GSW,AWAY,TOR,W (+6),1,31:30,.447,.367,3.8,11.1,7.5,4.0,0.0,2.7,0.0,22.9,99,127,8.7,-6.6
11,2016-11-18,26-284,GSW,AWAY,BOS,W (+16),1,30:42,.653,.643,3.5,9.8,6.7,18.6,0.0,0.0,8.5,34.5,116,101,19.0,6.4
12,2016-11-19,26-285,GSW,AWAY,MIL,W (+3),1,37:57,.738,.676,0.0,10.3,4.4,8.3,0.0,0.0,13.3,23.7,132,128,19.6,3.6
13,2016-11-21,26-287,GSW,AWAY,IND,W (+37),1,26:23,.662,.667,0.0,2.9,1.7,0.0,3.6,0.0,9.6,32.7,109,88,15.1,5.5
14,2016-11-23,26-289,GSW,HOME,LAL,W (+43),1,23:39,.825,.786,0.0,8.3,4.8,11.7,0.0,0.0,6.0,30.5,145,108,19.2,4.1
15,2016-11-25,26-291,GSW,AWAY,LAL,W (+24),1,33:11,.480,.441,0.0,18.8,11.4,0.0,0.0,0.0,5.1,26.6,87,89,9.2,-7.7
16,2016-11-26,26-292,GSW,HOME,MIN,W (+13),1,38:10,.643,.647,3.5,15.3,9.8,7.5,1.3,0.0,10.1,23.5,124,111,16.5,1.3
17,2016-11-28,26-294,GSW,HOME,ATL,W (+5),1,37:04,.542,.528,5.9,5.5,5.7,9.7,1.3,2.3,9.8,24.2,101,103,12.5,1.3
18,2016-12-01,26-297,GSW,HOME,HOU,L (-5),1,47:12,.331,.275,0.0,13.2,6.7,9.7,0.0,0.0,8.1,22.1,72,116,3.3,-9.3
19,2016-12-03,26-299,GSW,HOME,PHO,W (+29),1,33:36,.765,.765,5.1,12.4,9.7,12.3,2.9,2.4,10.5,24.7,131,108,22.4,8.9
20,2016-12-05,26-301,GSW,HOME,IND,W (+36),1,29:03,.793,.758,0.0,7.0,3.5,8.6,0.0,0.0,0.0,49.4,161,112,46.2,25.1
21,2016-12-07,26-303,GSW,AWAY,LAC,W (+17),1,35:05,.594,.528,6.5,5.4,5.9,13.2,0.0,0.0,4.7,26.0,126,113,17.3,3.6
22,2016-12-08,26-304,GSW,AWAY,UTA,W (+7),1,27:54,.385,.385,8.0,13.8,11.1,11.3,0.0,0.0,18.8,25.9,75,107,2.3,-13.1
23,2016-12-10,26-306,GSW,AWAY,MEM,L (-21),1,31:00,.286,.286,0.0,3.6,1.7,0.0,1.6,0.0,0.0,19.9,62,119,0.7,-10.8
24,2016-12-11,26-307,GSW,AWAY,MIN,W (+8),1,38:57,.659,.619,6.0,10.5,8.4,10.1,1.3,2.2,8.1,29.3,119,117,22.6,5.1
25,2016-12-13,26-309,GSW,AWAY,NOP,W (+4),1,37:09,.479,.438,2.7,6.2,4.3,11.3,0.0,5.5,10.1,22.1,94,109,9.8,-3.1
26,2016-12-15,26-311,GSW,HOME,NYK,W (+13),1,32:15,.717,.706,6.0,8.0,7.0,19.8,1.5,0.0,10.3,24.8,127,96,20.4,10.5
27,2016-12-17,26-313,GSW,HOME,POR,W (+45),1,25:22,.518,.500,0.0,0.0,0.0,10.0,0.0,3.3,0.0,25.8,115,96,10.4,-2.1
28,2016-12-20,26-316,GSW,HOME,UTA,W (+30),1,31:13,.654,.654,0.0,15.1,8.2,5.6,1.6,0.0,7.1,20.0,117,81,13.3,5.4
29,2016-12-22,26-318,GSW,AWAY,BRK,W (+16),1,35:10,.479,.479,0.0,14.5,7.0,7.9,5.0,0.0,7.7,29.1,91,91,14.7,1.2
30,2016-12-23,26-319,GSW,AWAY,DET,W (+6),1,37:02,.571,.536,0.0,9.3,5.0,7.4,1.2,0.0,16.8,21.2,91,112,9.9,-3.6
31,2016-12-25,26-321,GSW,AWAY,CLE,L (-1),1,40:37,.711,.719,0.0,4.3,2.7,4.5,1.2,2.0,10.6,20.5,116,115,16.6,6.2
32,2016-12-28,26-324,GSW,HOME,TOR,W (+10),1,34:40,.583,.583,4.0,11.3,8.7,7.9,1.4,4.1,10.0,25.4,109,112,14.4,1.6
33,2016-12-30,26-326,GSW,HOME,DAL,W (+9),1,35:42,.729,.711,0.0,10.8,6.5,9.9,1.4,2.2,9.1,28.4,121,103,22.4,10.1
34,2017-01-02,26-329,GSW,HOME,DEN,W (+8),1,37:00,.615,.579,0.0,13.8,7.1,3.4,0.0,2.0,0.0,22.5,129,118,17.8,2.2
35,2017-01-04,26-331,GSW,HOME,POR,W (+8),1,37:07,.429,.367,0.0,9.2,4.7,3.4,3.7,4.1,10.9,20.6,81,111,8.3,-6.9
36,2017-01-06,26-333,GSW,HOME,MEM,L (-9),1,41:44,.464,.471,9.5,7.5,8.4,7.9,0.0,0.0,0.0,20.0,106,126,11.1,-2.8
37,2017-01-08,26-335,GSW,AWAY,SAC,W (+11),1,36:21,.453,.447,3.1,19.4,10.3,7.7,0.0,0.0,20.1,28.6,78,112,4.9,-12.9
38,2017-01-12,26-339,GSW,HOME,DET,W (+20),1,35:34,.686,.733,3.6,6.7,5.3,10.7,2.6,0.0,5.6,20.9,125,104,18.1,3.1
39,2017-01-16,26-343,GSW,HOME,CLE,W (+35),1,31:15,.677,.618,0.0,11.4,6.6,0.0,0.0,2.8,9.4,27.7,120,93,15.2,1.2
40,2017-01-18,26-345,GSW,HOME,OKC,W (+21),1,29:52,.543,.542,4.7,10.0,7.8,12.7,1.6,2.6,7.2,19.4,117,103,10.8,1.5
41,2017-01-20,26-347,GSW,AWAY,HOU,W (+17),1,34:20,.421,.421,0.0,3.0,1.7,3.8,1.4,0.0,9.5,26.2,79,113,5.1,-10.8
42,2017-01-22,26-349,GSW,AWAY,ORL,W (+20),1,33:53,.750,.750,0.0,13.9,7.6,4.4,0.0,2.1,17.6,20.9,117,102,13.5,4.7
43,2017-01-23,26-350,GSW,AWAY,MIA,L (-3),1,37:09,.557,.528,0.0,13.7,7.3,4.2,2.6,2.3,9.2,25.4,99,104,13.5,1.8
44,2017-01-25,26-352,GSW,AWAY,CHO,W (+10),1,32:18,.556,.429,4.1,12.4,8.8,4.7,1.5,2.2,5.5,25.4,112,106,13.7,-0.3
45,2017-01-28,26-355,GSW,HOME,LAC,W (+46),1,26:35,.699,.727,0.0,3.8,2.3,4.1,1.8,0.0,14.9,22.1,114,106,10.3,-2.5
46,2017-01-29,26-356,GSW,AWAY,POR,W (+2),1,35:17,.489,.333,3.3,17.0,10.1,9.8,1.3,2.1,0.0,32.9,110,109,19.2,-0.2
47,2017-02-01,26-359,GSW,HOME,CHO,W (+15),1,33:20,.714,.684,3.0,13.1,7.8,35.3,1.4,5.1,4.7,27.4,145,111,28.2,15.2
48,2017-02-02,26-360,GSW,AWAY,LAC,W (+13),1,32:38,.553,.553,10.3,14.7,12.4,7.6,0.0,0.0,9.5,26.2,113,125,13.2,-4.5
49,2017-02-04,26-362,GSW,AWAY,SAC,L (-3),1,42:35,.502,.480,8.3,6.1,7.2,5.3,1.2,0.0,10.4,31.4,93,112,13.5,-2.4
50,2017-02-08,27-000,GSW,HOME,CHI,W (+31),1,29:18,.742,.722,0.0,14.9,9.2,15.5,0.0,0.0,13.7,34.9,117,99,19.2,4.5
51,2017-02-10,27-002,GSW,AWAY,MEM,W (+15),1,38:01,.754,.739,0.0,2.7,1.6,16.8,0.0,0.0,4.0,29.7,133,123,24.5,6.0
52,2017-02-11,27-003,GSW,AWAY,OKC,W (+16),1,33:02,.838,.792,3.5,0.0,1.8,0.0,1.4,0.0,16.2,23.7,136,117,17.5,4.6
53,2017-02-15,27-007,GSW,HOME,SAC,W (+23),1,30:47,.830,.861,7.1,9.0,8.1,28.0,3.2,0.0,0.0,32.5,157,91,32.7,25.1
54,2017-02-23,27-015,GSW,HOME,LAC,W (+10),1,31:14,.699,.667,0.0,0.0,0.0,19.1,0.0,0.0,7.2,18.8,138,117,14.2,1.9
55,2017-02-25,27-017,GSW,HOME,BRK,W (+17),1,31:21,.581,.500,0.0,12.2,5.9,20.6,0.0,2.3,4.6,27.5,120,98,17.9,4.7
56,2017-02-27,27-019,GSW,AWAY,PHI,W (+11),1,36:17,.560,.500,2.9,6.5,4.6,8.6,2.6,0.0,9.6,23.0,113,112,14.2,-0.7
57,2017-02-28,27-020,GSW,AWAY,WAS,L (-4),1,38:22,.368,.325,0.0,8.3,4.3,7.6,2.5,0.0,4.4,24.8,85,116,5.7,-7.9
58,2017-03-02,27-022,GSW,AWAY,CHI,L (-7),1,36:55,.284,.250,0.0,3.1,1.4,4.7,0.0,0.0,8.0,29.6,54,104,-1.8,-13.8
59,2017-03-05,27-025,GSW,AWAY,NYK,W (+7),1,37:19,.581,.476,5.6,7.1,6.3,4.3,1.4,0.0,3.9,31.5,124,119,19.8,2.1
60,2017-03-06,27-026,GSW,AWAY,ATL,W (+8),1,29:35,.505,.500,0.0,0.0,0.0,14.8,0.0,3.0,13.4,21.8,97,122,5.8,-8.2
61,2017-03-08,27-028,GSW,HOME,BOS,L (-13),1,34:10,.523,.522,2.9,16.3,9.3,6.5,1.5,5.1,7.7,34.6,98,107,15.4,3.8
62,2017-03-10,27-030,GSW,AWAY,MIN,L (-1),1,36:15,.631,.614,0.0,14.7,7.4,10.5,1.4,0.0,7.8,31.7,118,112,20.5,5.9
63,2017-03-14,27-034,GSW,HOME,PHI,W (+2),1,37:30,.600,.568,2.5,3.0,2.7,6.7,0.0,0.0,4.1,25.6,116,110,16.9,2.2
64,2017-03-16,27-036,GSW,HOME,ORL,W (+30),1,29:19,.725,.725,0.0,11.7,6.8,27.0,0.0,2.4,13.0,34.5,119,97,21.8,7.9
65,2017-03-18,27-038,GSW,HOME,MIL,W (+25),1,34:28,.639,.656,9.6,2.8,5.3,4.3,0.0,2.2,0.0,24.0,131,109,15.7,0.7
66,2017-03-20,27-040,GSW,AWAY,OKC,W (+16),1,31:59,.762,.738,4.1,15.3,10.5,13.6,3.1,0.0,4.3,32.3,143,97,27.9,18.3
67,2017-03-21,27-041,GSW,AWAY,DAL,W (+25),1,32:09,.767,.767,0.0,8.1,5.3,15.2,4.8,0.0,11.8,25.1,121,91,19.7,11.9
68,2017-03-24,27-044,GSW,HOME,SAC,W (+14),1,29:49,.286,.286,0.0,17.4,7.9,0.0,0.0,2.6,6.7,22.2,58,109,-0.5,-19.2
69,2017-03-26,27-046,GSW,HOME,MEM,W (+12),1,34:46,.861,.861,0.0,6.4,3.7,6.2,0.0,0.0,5.3,27.4,146,115,23.1,10.7
70,2017-03-28,27-048,GSW,AWAY,HOU,W (+7),1,37:18,.625,.625,0.0,14.0,7.8,4.0,2.5,4.8,9.1,25.5,107,102,17.4,5.1
71,2017-03-29,27-049,GSW,AWAY,SAS,W (+12),1,35:08,.700,.688,0.0,6.7,3.5,0.0,0.0,2.3,0.0,21.4,137,117,15.9,5.2
72,2017-03-31,27-051,GSW,HOME,HOU,W (+9),1,36:12,.500,.500,3.1,19.3,11.7,16.4,2.9,2.5,4.8,25.0,110,103,15.3,4.1
73,2017-04-02,27-053,GSW,HOME,WAS,W (+24),1,32:45,.563,.550,0.0,3.4,1.8,11.9,1.4,2.3,8.9,28.5,108,114,13.9,-3.3
74,2017-04-04,27-055,GSW,HOME,MIN,W (+14),1,33:21,.733,.688,0.0,5.6,3.2,17.1,2.9,1.9,3.5,38.8,140,111,32.6,15.2
75,2017-04-05,27-056,GSW,AWAY,PHO,W (+9),1,35:58,.472,.455,3.2,15.4,9.9,8.1,1.3,1.8,7.9,29.5,92,108,12.2,-7.4
76,2017-04-08,27-059,GSW,HOME,NOP,W (+22),1,27:26,.524,.406,4.2,7.8,6.0,8.7,0.0,2.7,0.0,29.8,127,107,14.2,1.0
77,2017-04-12,27-063,GSW,HOME,LAL,W (+15),1,25:59,.436,.375,4.3,3.6,3.9,11.0,3.6,0.0,0.0,21.2,110,94,9.2,-0.5
