,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-25,32-258,GSW,HOME,SAS,L (-29),1,20:05,1.000,1.000,5.7,10.0,8.0,6.4,0.0,0.0,75.0,8.8,60,138,-0.1,-11.7
1,2016-10-28,32-261,GSW,AWAY,NOP,W (+8),1,17:23,.727,.667,12.0,47.8,31.0,8.4,0.0,0.0,22.5,20.9,118,101,9.4,1.7
2,2016-10-30,32-263,GSW,AWAY,PHO,W (+6),1,22:13,.396,.200,18.8,27.6,23.2,26.3,0.0,0.0,32.2,17.9,91,101,5.9,-0.8
3,2016-11-01,32-265,GSW,AWAY,POR,W (+23),1,18:51,.644,.667,7.7,28.9,19.8,11.3,0.0,0.0,0.0,8.6,151,105,6.9,2.5
4,2016-11-03,32-267,GSW,HOME,OKC,W (+26),1,22:37,1.000,1.000,29.6,19.3,24.4,28.3,4.4,10.6,20.0,9.4,185,88,17.6,20.5
5,2016-11-04,32-268,GSW,AWAY,LAL,L (-20),1,19:02,,,11.5,5.4,8.3,19.4,0.0,0.0,100.0,4.4,82,124,1.4,-5.4
6,2016-11-07,32-271,GSW,HOME,NOP,W (+10),1,11:13,.500,.500,0.0,11.0,5.3,10.5,0.0,0.0,33.3,11.6,78,116,0.2,-11.9
7,2016-11-09,32-273,GSW,HOME,DAL,W (+21),1,13:23,.500,.500,0.0,30.5,17.7,36.4,0.0,0.0,33.3,10.9,122,101,3.6,6.6
8,2016-11-10,32-274,GSW,AWAY,DEN,W (+24),1,13:46,1.000,1.000,19.4,13.4,15.8,0.0,14.2,0.0,33.3,9.6,138,78,7.6,9.8
9,2016-11-13,32-277,GSW,HOME,PHO,W (+13),1,11:56,.515,.333,10.6,46.8,29.8,9.8,0.0,0.0,0.0,13.4,135,114,4.4,-3.1
10,2016-11-16,32-280,GSW,AWAY,TOR,W (+6),1,15:53,.840,.667,0.0,7.4,3.7,15.9,0.0,0.0,17.4,15.6,149,130,5.8,-0.9
11,2016-11-18,32-282,GSW,AWAY,BOS,W (+16),1,21:03,.400,.400,20.3,42.8,31.9,17.3,4.8,0.0,16.7,12.9,111,82,9.5,5.4
12,2016-11-19,32-283,GSW,AWAY,MIL,W (+3),1,16:46,.286,.286,35.1,30.9,33.3,31.6,2.9,0.0,22.2,21.3,100,117,5.9,-3.3
13,2016-11-21,32-285,GSW,AWAY,IND,W (+37),1,13:59,.615,.500,14.9,27.2,22.0,10.4,0.0,0.0,0.0,14.4,150,82,7.2,3.5
14,2016-11-23,32-287,GSW,HOME,LAL,W (+43),1,17:57,.773,.667,0.0,16.4,9.4,11.2,7.7,0.0,0.0,9.3,172,89,8.8,6.7
15,2016-11-25,32-289,GSW,AWAY,LAL,W (+24),1,20:39,.200,.200,0.0,25.8,15.7,22.9,0.0,10.3,37.5,17.3,52,79,1.4,-4.7
16,2016-11-26,32-290,GSW,HOME,MIN,W (+13),1,24:35,.436,.333,5.4,14.3,10.1,14.3,2.1,3.6,0.0,12.6,128,107,7.6,1.6
17,2016-11-28,32-292,GSW,HOME,ATL,W (+5),1,16:14,1.000,1.000,13.4,25.2,19.5,9.5,0.0,5.3,50.0,10.8,110,97,4.6,0.4
18,2016-12-01,32-295,GSW,HOME,HOU,L (-5),1,8:23,.532,.000,38.4,0.0,18.9,16.1,0.0,10.8,34.7,14.5,121,113,3.0,-0.7
19,2016-12-03,32-297,GSW,HOME,PHO,W (+29),1,14:43,.554,.600,0.0,21.3,13.2,8.3,9.8,0.0,32.2,27.6,73,90,5.1,-4.4
