,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-12-21,22-330,HOU,AWAY,PHO,W (+14),1,28:03,.715,.727,0.0,12.2,6.3,15.9,0.0,7.5,20.2,23.5,114,118,13.4,2.2
1,2016-12-23,22-332,HOU,AWAY,MEM,L (-6),1,27:50,.673,.636,8.8,26.5,17.7,6.7,0.0,0.0,0.0,18.9,146,125,13.4,1.2
2,2016-12-26,22-335,HOU,HOME,PHO,W (+16),1,22:43,.810,.833,4.5,8.0,6.3,6.0,0.0,6.0,18.8,18.0,132,107,11.2,1.6
3,2016-12-31,22-340,HOU,HOME,NYK,W (+7),1,32:49,.874,.857,0.0,11.9,6.2,17.6,0.0,0.0,0.0,9.2,188,119,12.9,2.3
4,2017-01-02,22-342,HOU,HOME,WAS,W (+10),1,33:02,.568,.545,9.7,21.3,15.2,5.1,0.0,4.8,14.0,19.2,105,93,11.9,-1.0
5,2017-01-06,22-346,HOU,AWAY,ORL,W (+7),1,21:35,.521,.500,5.3,12.8,9.5,6.9,2.4,3.3,18.8,22.3,93,101,6.0,-4.1
6,2017-01-10,22-350,HOU,HOME,CHO,W (+7),1,29:14,.916,1.000,3.7,7.6,5.7,10.3,3.3,10.1,0.0,11.8,194,104,18.1,10.7
7,2017-01-11,22-351,HOU,AWAY,MIN,L (-14),1,19:37,.726,.500,5.2,28.8,15.1,15.7,2.4,0.0,13.9,15.8,141,116,8.7,2.1
8,2017-01-13,22-353,HOU,HOME,MEM,L (-5),1,23:50,.556,.556,4.3,27.8,13.2,17.6,4.1,0.0,0.0,16.5,123,106,10.2,5.8
9,2017-01-15,22-355,HOU,AWAY,BRK,W (+25),1,33:49,.687,.667,6.8,17.7,12.6,3.8,1.4,5.8,7.9,15.1,138,105,16.6,1.6
10,2017-01-18,22-358,HOU,HOME,MIL,W (+19),1,26:45,.644,.625,15.0,15.0,15.0,21.1,0.0,13.8,17.7,18.2,129,93,15.5,9.4
11,2017-01-20,22-360,HOU,HOME,GSW,L (-17),1,27:07,.571,.571,3.8,9.8,6.5,4.9,1.7,3.5,12.5,12.0,107,122,5.8,-3.3
12,2017-01-21,22-361,HOU,AWAY,MEM,W (+24),1,15:37,.500,.500,18.6,0.0,7.1,19.3,0.0,0.0,25.0,23.9,99,112,3.4,-7.8
13,2017-01-29,23-003,HOU,AWAY,IND,L (-19),1,25:35,.556,.556,24.5,5.1,15.8,7.6,0.0,2.8,10.0,17.2,123,126,9.0,-3.5
