,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-26,28-173,HOU,AWAY,LAL,L (-6),1,34:21,.467,.467,3.7,21.0,12.5,3.9,2.8,0.0,0.0,18.7,104,118,10.7,-2.6
1,2016-10-28,28-175,HOU,AWAY,DAL,W (+8),1,24:40,.500,.500,5.9,13.9,10.4,0.0,0.0,0.0,28.6,13.4,74,110,1.1,-7.7
2,2016-10-30,28-177,HOU,HOME,DAL,W (+1),1,32:01,.643,.600,15.4,23.5,20.0,0.0,0.0,0.0,8.4,16.6,130,101,12.8,2.9
3,2016-11-01,28-179,HOU,AWAY,CLE,L (-8),1,30:31,.500,.500,10.5,4.8,8.1,4.3,0.0,0.0,0.0,17.5,118,144,7.1,-5.5
4,2016-11-02,28-180,HOU,AWAY,NYK,W (+19),1,29:09,.533,.533,17.9,15.7,16.8,0.0,0.0,0.0,16.7,24.7,106,106,9.2,-4.3
5,2016-11-05,28-183,HOU,AWAY,ATL,L (-15),1,31:10,.462,.462,3.6,7.0,5.3,0.0,0.0,0.0,13.3,19.8,85,118,3.4,-6.1
6,2016-11-07,28-185,HOU,AWAY,WAS,W (+8),1,34:13,.767,.767,12.0,11.9,12.0,9.9,1.5,0.0,11.8,22.7,133,113,19.0,7.6
7,2016-11-09,28-187,HOU,AWAY,SAS,W (+2),1,36:25,.710,.636,3.6,22.4,14.1,0.0,1.4,0.0,0.0,17.4,147,103,17.2,8.3
8,2016-11-12,28-190,HOU,HOME,SAS,L (-6),1,37:26,.203,.115,10.5,16.0,12.7,3.9,0.0,0.0,11.9,19.1,60,119,-2.4,-15.7
9,2016-11-14,28-192,HOU,HOME,PHI,W (+27),1,30:05,.318,.318,10.6,13.0,11.9,8.1,0.0,0.0,8.3,16.6,92,98,3.8,-7.1
10,2016-11-16,28-194,HOU,AWAY,OKC,L (-2),1,33:01,.538,.538,0.0,10.9,4.8,0.0,0.0,0.0,0.0,16.6,108,112,7.4,-2.5
11,2016-11-17,28-195,HOU,HOME,POR,W (+17),1,33:28,.697,.688,6.0,9.2,7.5,3.6,0.0,2.3,0.0,11.2,159,114,12.3,3.3
12,2016-11-19,28-197,HOU,HOME,UTA,W (+9),1,32:02,.278,.278,3.1,8.8,5.5,0.0,0.0,0.0,0.0,12.6,67,118,0.4,-13.0
13,2016-11-21,28-199,HOU,AWAY,DET,W (+3),1,28:59,.506,.444,4.2,18.0,11.7,5.8,0.0,2.4,0.0,15.6,120,103,8.5,0.1
14,2016-11-23,28-201,HOU,HOME,TOR,L (-13),1,29:14,.500,.500,9.7,3.8,6.4,11.0,1.7,0.0,18.8,24.0,93,126,5.8,-5.0
15,2016-11-25,28-203,HOU,AWAY,SAC,W (+13),1,28:51,.597,.550,0.0,0.0,0.0,20.0,0.0,0.0,8.4,18.3,123,113,8.6,0.8
16,2016-11-27,28-205,HOU,AWAY,POR,W (+16),1,26:46,.888,.857,5.3,24.2,15.2,14.5,1.8,0.0,11.3,15.1,166,117,15.0,8.6
17,2016-11-29,28-207,HOU,AWAY,UTA,L (-19),1,20:46,.786,.786,4.6,8.3,5.9,0.0,0.0,0.0,22.2,19.3,120,143,6.3,0.5
18,2016-12-01,28-209,HOU,AWAY,GSW,W (+5),1,44:54,.722,.676,4.6,7.2,5.9,0.0,0.0,0.0,9.1,20.3,135,113,19.0,5.6
19,2016-12-02,28-210,HOU,AWAY,DEN,W (+18),1,24:31,.934,.857,9.8,14.2,12.4,10.5,2.0,0.0,0.0,17.2,199,111,18.5,13.1
20,2016-12-05,28-213,HOU,HOME,BOS,W (+1),1,28:45,.145,.000,0.0,20.4,11.4,14.7,1.7,2.5,0.0,10.9,59,105,2.6,-5.3
21,2016-12-07,28-215,HOU,HOME,LAL,W (+39),1,24:37,.515,.333,9.7,7.6,8.6,0.0,1.8,0.0,7.9,20.0,119,95,8.1,-7.4
22,2016-12-09,28-217,HOU,AWAY,OKC,W (+3),1,32:12,.467,.467,8.4,16.6,12.2,5.2,1.5,0.0,6.3,19.8,100,100,9.4,2.3
23,2016-12-10,28-218,HOU,HOME,DAL,W (+22),1,30:23,.250,.250,0.0,25.1,13.8,4.7,0.0,0.0,11.1,14.4,57,101,0.6,-11.9
24,2016-12-12,28-220,HOU,HOME,BRK,W (+4),1,30:46,.720,.682,6.8,18.4,11.7,9.6,0.0,0.0,0.0,17.0,157,116,16.1,4.8
25,2016-12-14,28-222,HOU,HOME,SAC,W (+34),1,25:41,.826,.833,10.4,14.7,12.9,5.3,0.0,0.0,0.0,23.0,162,105,19.7,8.6
26,2016-12-16,28-224,HOU,HOME,NOP,W (+22),1,27:29,.364,.364,0.0,9.2,5.0,0.0,0.0,0.0,0.0,16.5,80,105,2.0,-9.7
27,2016-12-17,28-225,HOU,AWAY,MIN,W (+2),1,35:38,.674,.658,8.6,8.9,8.7,0.0,4.1,2.1,8.8,28.0,119,98,21.8,12.2
28,2016-12-20,28-228,HOU,HOME,SAS,L (-2),1,37:22,.394,.313,4.8,12.5,8.2,7.9,0.0,0.0,10.1,10.6,99,113,4.0,-5.6
29,2016-12-21,28-229,HOU,AWAY,PHO,W (+14),1,28:20,.689,.650,4.3,16.1,10.5,0.0,0.0,2.5,8.4,18.6,126,120,10.8,-0.5
30,2016-12-23,28-231,HOU,AWAY,MEM,L (-6),1,35:17,.764,.735,3.5,20.9,12.2,0.0,0.0,4.9,9.8,25.5,130,123,20.0,9.0
31,2016-12-26,28-234,HOU,HOME,PHO,W (+16),1,25:12,.833,.833,8.1,10.8,9.5,5.5,0.0,0.0,10.0,15.2,147,110,12.3,4.5
32,2016-12-27,28-235,HOU,AWAY,DAL,W (+16),1,28:22,.799,.750,4.7,6.9,6.0,0.0,1.8,3.5,6.8,23.5,152,116,17.2,7.0
33,2016-12-30,28-238,HOU,HOME,LAC,W (+24),1,22:56,.287,.250,0.0,13.4,7.6,0.0,0.0,0.0,0.0,19.4,65,119,-0.1,-18.6
34,2016-12-31,28-239,HOU,HOME,NYK,W (+7),1,35:18,.854,.833,6.0,11.1,8.7,4.4,0.0,3.7,0.0,16.9,173,117,22.9,9.2
35,2017-01-02,28-241,HOU,HOME,WAS,W (+10),1,32:16,.571,.571,3.3,10.9,6.9,9.1,1.5,2.4,12.5,11.0,107,94,6.8,-0.2
36,2017-01-05,28-244,HOU,HOME,OKC,W (+2),1,31:43,.545,.545,6.4,6.1,6.2,4.5,0.0,0.0,0.0,15.4,119,128,8.6,-3.0
37,2017-01-06,28-245,HOU,AWAY,ORL,W (+7),1,33:00,.792,.792,0.0,11.2,6.2,0.0,3.2,0.0,0.0,16.4,152,102,16.6,10.3
