,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Wed, Oct 26, 2016",2016,10,26,7:00p,True,DAL,W,True,130,121,1,0,W 1
1,"Fri, Oct 28, 2016",2016,10,28,7:30p,False,BRK,L,False,94,103,1,1,L 1
2,"Sat, Oct 29, 2016",2016,10,29,8:00p,False,CHI,L,False,101,118,1,2,L 2
3,"Tue, Nov 1, 2016",2016,11,1,7:00p,True,LAL,W,False,115,108,2,2,W 1
4,"Thu, Nov 3, 2016",2016,11,3,8:00p,False,MIL,L,False,107,125,2,3,L 1
5,"Sat, Nov 5, 2016",2016,11,5,7:00p,True,CHI,W,False,111,94,3,3,W 1
6,"Mon, Nov 7, 2016",2016,11,7,7:00p,False,CHO,L,False,100,122,3,4,L 1
7,"Wed, Nov 9, 2016",2016,11,9,7:00p,True,PHI,W,True,122,115,4,4,W 1
8,"Fri, Nov 11, 2016",2016,11,11,7:00p,False,PHI,L,True,105,109,4,5,L 1
9,"Sat, Nov 12, 2016",2016,11,12,7:00p,True,BOS,L,False,99,105,4,6,L 2
10,"Mon, Nov 14, 2016",2016,11,14,7:00p,True,ORL,W,False,88,69,5,6,W 1
11,"Wed, Nov 16, 2016",2016,11,16,7:00p,True,CLE,W,False,103,93,6,6,W 2
12,"Fri, Nov 18, 2016",2016,11,18,7:00p,True,PHO,L,False,96,116,6,7,L 1
13,"Sun, Nov 20, 2016",2016,11,20,7:00p,False,OKC,W,True,115,111,7,7,W 1
14,"Mon, Nov 21, 2016",2016,11,21,7:00p,True,GSW,L,False,83,120,7,8,L 1
15,"Wed, Nov 23, 2016",2016,11,23,7:00p,True,ATL,L,False,85,96,7,9,L 2
16,"Fri, Nov 25, 2016",2016,11,25,8:00p,True,BRK,W,False,118,97,8,9,W 1
17,"Sun, Nov 27, 2016",2016,11,27,6:00p,True,LAC,W,False,91,70,9,9,W 2
18,"Wed, Nov 30, 2016",2016,11,30,10:00p,False,POR,L,False,109,131,9,10,L 1
19,"Sun, Dec 4, 2016",2016,12,4,9:30p,False,LAC,W,False,111,102,10,10,W 1
21,"Mon, Dec 5, 2016",2016,12,5,10:30p,False,GSW,L,False,106,142,10,11,L 1
22,"Wed, Dec 7, 2016",2016,12,7,9:00p,False,PHO,W,False,109,94,11,11,W 1
23,"Fri, Dec 9, 2016",2016,12,9,8:30p,False,DAL,L,False,103,111,11,12,L 1
24,"Sat, Dec 10, 2016",2016,12,10,7:00p,True,POR,W,False,118,111,12,12,W 1
25,"Mon, Dec 12, 2016",2016,12,12,7:00p,True,CHO,W,False,110,94,13,12,W 2
26,"Wed, Dec 14, 2016",2016,12,14,7:00p,False,MIA,L,False,89,95,13,13,L 1
27,"Thu, Dec 15, 2016",2016,12,15,8:00p,False,NOP,L,False,95,102,13,14,L 2
28,"Sat, Dec 17, 2016",2016,12,17,7:00p,False,DET,W,False,105,90,14,14,W 1
29,"Mon, Dec 19, 2016",2016,12,19,7:00p,True,WAS,W,False,107,105,15,14,W 2
30,"Tue, Dec 20, 2016",2016,12,20,7:30p,False,NYK,L,False,111,118,15,15,L 1
31,"Thu, Dec 22, 2016",2016,12,22,7:00p,True,BOS,L,False,102,109,15,16,L 2
32,"Mon, Dec 26, 2016",2016,12,26,8:00p,False,CHI,L,False,85,90,15,17,L 3
