,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-27,31-174,LAC,AWAY,POR,W (+8),1,33:15,.611,.553,0.0,17.2,7.5,30.1,1.4,0.0,4.3,28.2,133,107,21.1,11.1
1,2016-10-30,31-177,LAC,HOME,UTA,W (+13),1,28:56,.507,.438,0.0,11.8,5.4,51.4,5.6,0.0,25.3,18.8,102,79,11.4,9.1
2,2016-10-31,31-178,LAC,HOME,PHO,W (+18),1,29:57,.664,.600,0.0,16.4,9.1,47.2,3.0,0.0,10.0,28.6,130,90,21.8,11.8
3,2016-11-02,31-180,LAC,HOME,OKC,L (-2),1,32:45,.550,.455,2.9,34.1,17.3,46.9,8.7,0.0,26.8,24.4,96,68,19.1,14.5
4,2016-11-04,31-182,LAC,AWAY,MEM,W (+11),1,32:55,.597,.406,3.2,8.9,6.1,69.0,9.1,5.0,4.2,31.1,138,80,31.9,29.0
5,2016-11-05,31-183,LAC,AWAY,SAS,W (+24),1,28:35,.393,.364,4.2,28.7,16.6,41.7,3.6,0.0,8.0,19.9,110,94,12.9,4.2
6,2016-11-07,31-185,LAC,HOME,DET,W (+32),1,24:34,1.020,1.050,0.0,21.3,13.8,61.6,4.2,2.8,0.0,24.0,202,81,29.5,35.9
7,2016-11-09,31-187,LAC,HOME,POR,W (+31),1,23:28,.638,.607,4.1,11.8,8.0,60.5,2.2,0.0,6.3,29.9,138,88,17.7,15.9
8,2016-11-11,31-189,LAC,AWAY,OKC,W (+2),1,35:47,.525,.429,0.0,18.7,8.9,41.5,1.4,0.0,0.0,19.5,135,110,18.2,6.1
9,2016-11-12,31-190,LAC,AWAY,MIN,W (+14),1,31:52,.903,.786,0.0,12.6,7.4,35.5,3.2,0.0,27.5,20.6,145,109,19.7,10.5
10,2016-11-14,31-192,LAC,HOME,BRK,W (+32),1,25:05,.918,.909,5.2,13.4,9.6,52.7,9.8,0.0,8.0,21.6,178,85,27.6,29.7
11,2016-11-16,31-194,LAC,HOME,MEM,L (-4),1,33:45,.353,.318,0.0,7.9,3.6,26.1,7.6,0.0,13.6,20.2,82,111,7.9,-2.2
12,2016-11-18,31-196,LAC,AWAY,SAC,W (+6),1,32:59,.407,.250,4.4,28.4,17.7,47.1,5.8,0.0,18.2,22.9,107,104,14.9,1.7
13,2016-11-19,31-197,LAC,HOME,CHI,W (+7),1,34:13,.620,.607,11.4,3.3,7.1,42.9,3.3,0.0,20.7,27.1,121,114,16.8,9.8
14,2016-11-21,31-199,LAC,HOME,TOR,W (+8),1,35:16,.761,.679,0.0,10.2,5.5,58.1,2.8,0.0,19.0,26.9,140,115,26.3,12.9
15,2016-11-23,31-201,LAC,AWAY,DAL,W (+20),1,25:38,.765,.700,4.7,8.0,6.5,23.6,7.6,0.0,0.0,20.5,164,97,21.1,16.9
16,2016-11-25,31-203,LAC,AWAY,DET,L (-11),1,33:09,.388,.278,0.0,16.1,7.7,63.1,1.6,0.0,32.6,22.5,89,118,7.9,-5.1
17,2016-11-27,31-205,LAC,AWAY,IND,L (-21),1,32:04,.462,.273,0.0,12.7,6.5,34.2,3.2,2.1,22.1,26.6,81,95,8.8,1.6
18,2016-11-29,31-207,LAC,AWAY,BRK,L (-5),1,44:30,.500,.500,6.9,17.2,11.8,53.5,2.2,2.0,13.3,29.5,108,104,23.4,8.1
19,2016-12-01,31-209,LAC,AWAY,CLE,W (+19),1,24:52,.649,.591,8.8,19.8,14.0,53.7,2.0,0.0,0.0,21.5,163,98,18.6,17.1
20,2016-12-02,31-210,LAC,AWAY,NOP,W (+18),1,34:00,.666,.591,3.4,22.0,13.0,50.2,1.5,0.0,13.6,20.0,146,104,21.8,9.0
21,2016-12-04,31-212,LAC,HOME,IND,L (-9),1,35:12,.745,.667,0.0,6.8,3.1,51.4,1.4,0.0,29.3,20.6,126,118,16.4,5.1
22,2016-12-07,31-215,LAC,HOME,GSW,L (-17),1,32:10,.536,.536,2.9,17.8,9.6,29.2,1.6,0.0,12.5,20.7,112,118,11.1,3.3
23,2016-12-10,31-218,LAC,HOME,NOP,W (+28),1,29:50,.592,.594,0.0,20.6,10.9,78.2,4.9,0.0,0.0,25.2,162,100,28.9,19.0
24,2016-12-12,31-220,LAC,HOME,POR,W (+1),1,36:25,.666,.607,3.1,13.9,8.2,56.3,2.7,0.0,11.3,20.7,148,124,24.5,10.4
25,2016-12-14,31-222,LAC,AWAY,ORL,W (+5),1,31:53,.687,.611,0.0,6.4,3.7,51.1,3.3,0.0,25.6,23.2,126,117,15.7,3.5
26,2016-12-16,31-224,LAC,AWAY,MIA,W (+4),1,34:26,.482,.433,0.0,13.2,7.2,30.3,0.0,0.0,5.4,24.6,105,104,11.6,0.7
27,2016-12-18,31-226,LAC,AWAY,WAS,L (-7),1,37:02,.421,.433,3.6,10.5,7.1,44.2,2.7,0.0,16.3,21.2,104,119,11.9,-0.6
28,2016-12-20,31-228,LAC,HOME,DEN,W (+17),1,26:28,.571,.571,0.0,30.9,17.5,79.3,1.9,0.0,17.6,29.7,127,100,19.5,9.7
29,2016-12-22,31-230,LAC,HOME,SAS,W (+5),1,23:23,.696,.636,0.0,23.7,13.0,46.2,4.3,0.0,12.8,30.7,133,96,18.5,15.8
30,2016-12-28,31-236,LAC,AWAY,NOP,L (-4),1,30:37,.610,.533,8.9,15.7,12.2,36.1,1.7,0.0,5.5,25.3,140,109,19.9,12.9
