,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-11-25,24-171,LAL,HOME,GSW,L (-24),1,38:22,.549,.500,0.0,7.1,2.8,0.0,6.2,0.0,14.2,22.5,95,101,13.0,4.8
1,2016-12-07,24-183,LAL,AWAY,HOU,L (-39),1,35:21,.269,.269,0.0,6.8,3.0,9.1,0.0,0.0,7.1,15.1,64,134,0.1,-11.6
2,2016-12-09,24-185,LAL,HOME,PHO,L (-4),1,33:49,.382,.353,3.2,3.0,3.1,13.5,0.0,0.0,17.9,27.1,74,122,1.6,-14.9
3,2017-03-13,24-279,LAL,AWAY,DEN,L (-28),1,33:00,.492,.472,0.0,8.1,3.3,13.7,0.0,0.0,13.4,26.8,97,133,8.1,-5.1
4,2017-03-15,24-281,LAL,AWAY,HOU,L (-39),1,39:17,.434,.395,0.0,5.8,2.8,11.0,2.2,0.0,12.6,24.0,84,128,8.4,-5.0
5,2017-03-17,24-283,LAL,HOME,MIL,L (-4),1,37:32,.514,.500,2.9,13.1,7.7,9.2,1.3,2.2,12.8,27.4,95,111,11.4,-2.5
6,2017-03-19,24-285,LAL,HOME,CLE,L (-5),1,41:06,.515,.500,5.3,2.9,4.2,18.6,0.0,0.0,9.8,22.9,112,138,12.3,-5.8
7,2017-03-21,24-287,LAL,HOME,LAC,L (-24),1,36:24,.242,.111,0.0,9.9,4.4,15.8,0.0,0.0,16.2,14.5,67,142,-0.1,-16.5
8,2017-03-24,24-290,LAL,HOME,MIN,W (+11),1,47:14,.856,.850,0.0,5.0,2.8,17.9,0.0,0.0,4.7,20.0,166,120,28.1,10.7
9,2017-03-26,24-292,LAL,HOME,POR,L (-16),1,37:02,.296,.281,0.0,17.1,8.8,28.0,0.0,0.0,15.1,25.4,59,102,2.9,-8.7
10,2017-03-28,24-294,LAL,HOME,WAS,L (-11),1,39:23,.579,.579,6.3,5.4,5.8,11.9,0.0,0.0,9.5,23.3,117,126,14.4,-2.8
11,2017-03-30,24-296,LAL,AWAY,MIN,L (-15),1,39:32,.648,.615,0.0,8.7,4.4,26.0,0.0,0.0,22.4,20.3,118,133,12.7,0.2
12,2017-04-01,24-298,LAL,AWAY,LAC,L (-11),1,30:48,.292,.292,0.0,0.0,0.0,13.6,0.0,0.0,0.0,16.4,78,128,0.7,-12.1
13,2017-04-02,24-299,LAL,HOME,MEM,W (+5),1,34:31,.292,.292,3.1,7.1,5.0,15.5,0.0,0.0,14.3,17.7,79,119,1.5,-11.3
14,2017-04-05,24-302,LAL,AWAY,SAS,W (+7),1,28:11,.475,.441,4.5,18.5,12.2,11.3,0.0,0.0,21.9,36.0,80,103,5.7,-11.2
15,2017-04-07,24-304,LAL,HOME,SAC,W (+4),1,30:09,.500,.500,0.0,13.6,5.9,31.8,0.0,0.0,7.7,18.6,116,109,9.7,1.4
16,2017-04-09,24-306,LAL,HOME,MIN,W (+1),1,31:11,.612,.577,0.0,17.1,7.6,14.8,0.0,0.0,12.6,22.1,114,119,11.2,-4.5
17,2017-04-11,24-308,LAL,HOME,NOP,W (+12),1,25:04,.845,.813,0.0,13.1,6.7,17.7,1.9,0.0,18.4,19.1,135,102,13.0,5.5
18,2017-04-12,24-309,LAL,AWAY,GSW,L (-15),1,32:07,.491,.531,0.0,10.4,4.8,10.3,1.4,0.0,5.5,23.4,94,110,9.3,-1.8
