,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-26,21-364,MEM,HOME,MIN,W (+4),1,38:12,.228,.143,3.1,5.1,4.2,14.5,1.4,0.0,25.5,14.1,61,113,-0.4,-12.6
1,2016-10-29,22-001,MEM,AWAY,NYK,L (-7),1,24:39,.400,.400,0.0,0.0,0.0,11.8,0.0,0.0,28.6,12.5,69,119,-0.1,-10.3
2,2016-11-25,22-028,MEM,HOME,MIA,L (-9),1,34:51,.205,.000,2.8,12.2,7.2,33.2,0.0,5.1,17.0,14.8,68,105,3.8,-5.2
3,2016-11-30,22-033,MEM,AWAY,TOR,L (-15),1,35:11,.763,.750,0.0,9.7,3.7,20.6,4.5,0.0,12.7,20.0,141,130,17.8,8.3
4,2016-12-01,22-034,MEM,HOME,ORL,W (+1),1,29:57,.517,.500,0.0,16.9,7.9,48.2,0.0,3.2,15.8,20.0,107,105,10.1,-0.7
5,2016-12-03,22-036,MEM,HOME,LAL,W (+3),1,30:04,.381,.357,3.6,11.1,7.3,16.9,1.7,2.7,27.6,16.4,78,112,3.8,-11.5
6,2016-12-05,22-038,MEM,AWAY,NOP,W (+2),1,40:21,.384,.308,4.7,2.7,3.7,15.3,1.3,0.0,16.1,21.1,82,101,3.8,-8.3
7,2016-12-06,22-039,MEM,HOME,PHI,W (+5),1,27:45,.111,.111,0.0,13.8,7.1,22.1,0.0,4.2,10.0,15.1,40,96,-1.0,-11.1
8,2016-12-08,22-041,MEM,HOME,POR,W (+2),1,26:10,.218,.167,3.4,0.0,1.7,20.1,3.9,0.0,6.8,24.1,59,94,0.2,-7.4
9,2016-12-10,22-043,MEM,HOME,GSW,W (+21),1,35:12,.455,.222,0.0,5.9,3.1,19.3,4.2,0.0,14.2,17.5,100,91,9.4,-1.2
10,2016-12-13,22-046,MEM,AWAY,CLE,L (-17),1,30:51,.492,.409,0.0,11.1,5.2,21.6,1.6,9.3,13.2,22.0,98,106,10.5,2.8
11,2016-12-14,22-047,MEM,HOME,CLE,W (+8),1,19:31,.167,.167,0.0,5.1,2.6,15.1,0.0,4.9,33.3,21.3,38,97,-4.8,-23.5
12,2016-12-27,22-060,MEM,AWAY,BOS,L (-10),1,44:14,.387,.333,4.7,8.6,6.5,19.9,2.3,0.0,6.1,16.0,99,125,9.5,-6.6
13,2016-12-29,22-062,MEM,HOME,OKC,W (+34),1,31:01,.635,.571,4.3,3.7,4.0,12.1,0.0,3.0,27.6,16.4,108,99,5.9,-3.5
14,2017-02-04,22-099,MEM,AWAY,MIN,W (+8),1,18:40,.300,.300,0.0,5.7,3.0,17.5,0.0,0.0,0.0,12.5,90,122,1.2,-6.8
15,2017-03-06,22-129,MEM,HOME,BRK,L (-13),1,22:09,.512,.375,0.0,12.0,5.6,6.8,2.2,0.0,29.1,13.7,79,124,2.5,-6.9
16,2017-03-09,22-132,MEM,HOME,LAC,L (-16),1,13:34,.595,.500,0.0,0.0,0.0,47.3,0.0,0.0,0.0,20.5,136,126,6.3,6.3
17,2017-04-05,22-159,MEM,HOME,OKC,L (-3),1,36:39,.622,.500,3.4,6.1,4.8,11.9,0.0,0.0,17.2,15.2,117,120,8.9,-4.2
