,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-26,29-015,MEM,HOME,MIN,W (+4),1,29:39,.741,.714,0.0,3.3,1.8,28.1,0.0,2.4,11.0,28.1,138,115,16.8,8.4
1,2016-10-29,29-018,MEM,AWAY,NYK,L (-7),1,23:36,.511,.444,8.8,17.4,12.6,35.2,0.0,0.0,27.1,27.4,94,117,6.9,-4.5
2,2016-10-30,29-019,MEM,HOME,WAS,W (+9),1,37:38,.566,.500,3.3,6.4,4.9,55.9,0.0,0.0,19.1,32.5,114,110,17.1,2.8
3,2016-11-02,29-022,MEM,HOME,NOP,W (+6),1,38:16,.601,.500,0.0,3.1,1.5,16.8,1.4,0.0,19.4,23.9,103,88,11.6,1.5
4,2016-11-04,29-024,MEM,HOME,LAC,L (-11),1,37:13,.650,.625,0.0,5.6,2.7,66.5,1.3,4.4,0.0,26.7,142,106,28.0,23.8
5,2016-11-06,29-026,MEM,HOME,POR,L (-6),1,30:37,.606,.500,0.0,16.9,7.7,47.4,3.4,8.3,13.2,22.0,124,102,17.4,12.8
6,2016-11-08,29-028,MEM,HOME,DEN,W (+1),1,30:05,.298,.267,0.0,16.0,6.7,29.7,8.1,0.0,15.2,29.1,71,99,7.7,-4.4
7,2016-11-12,29-032,MEM,AWAY,MIL,L (-10),1,30:04,.555,.350,0.0,18.8,9.5,15.9,1.7,0.0,18.2,26.3,98,117,10.1,-3.0
8,2016-11-14,29-034,MEM,AWAY,UTA,W (+6),1,30:40,.605,.571,0.0,13.0,6.4,43.8,1.8,0.0,0.0,22.5,154,113,17.8,14.6
9,2016-11-16,29-036,MEM,AWAY,LAC,W (+4),1,37:49,1.025,1.042,0.0,15.1,8.1,35.5,4.1,0.0,21.5,22.5,160,110,30.1,21.0
10,2016-11-18,29-038,MEM,AWAY,DAL,W (+16),1,28:32,.481,.357,0.0,13.2,7.2,18.3,1.9,7.0,19.4,18.4,90,71,6.8,3.0
11,2016-11-19,29-039,MEM,HOME,MIN,W (+22),1,33:32,.558,.389,6.8,7.5,7.2,17.4,1.7,6.8,7.9,17.8,126,85,13.0,8.8
12,2016-11-21,29-041,MEM,AWAY,CHO,W (+15),1,36:37,.681,.643,0.0,9.4,5.0,10.2,4.4,0.0,4.2,30.7,128,98,23.8,12.4
13,2016-11-23,29-043,MEM,AWAY,PHI,W (+5),1,45:06,.512,.425,0.0,25.7,11.3,39.9,2.2,0.0,14.1,29.3,99,87,19.2,4.6
14,2016-11-26,29-046,MEM,AWAY,MIA,W (+3),1,34:20,.615,.500,0.0,10.5,5.7,34.2,0.0,0.0,5.5,27.0,127,124,18.4,1.9
15,2016-11-28,29-048,MEM,HOME,CHO,L (-19),1,20:03,.636,.636,0.0,5.6,2.7,55.3,5.0,0.0,0.0,24.7,136,105,13.7,17.0
16,2016-12-16,29-066,MEM,HOME,SAC,L (-4),1,28:39,.435,.286,0.0,10.7,5.5,39.2,3.7,3.0,24.6,19.3,86,103,7.9,-0.1
17,2016-12-18,29-068,MEM,HOME,UTA,L (-9),1,28:33,.351,.219,0.0,0.0,0.0,29.3,2.0,0.0,0.0,30.8,93,100,6.6,6.5
