,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-26,24-321,MIA,AWAY,ORL,W (+12),1,33:31,.324,.308,3.1,14.0,8.9,13.9,0.0,0.0,6.7,18.7,85,106,4.3,-9.2
1,2016-10-28,24-323,MIA,HOME,CHO,L (-6),1,34:06,.385,.406,3.0,15.6,9.8,16.9,1.4,0.0,15.1,24.6,75,99,4.0,-3.3
2,2016-10-30,24-325,MIA,HOME,SAS,L (-7),1,33:26,.455,.444,0.0,6.5,3.6,13.2,1.5,2.2,37.8,22.0,62,116,0.7,-9.4
3,2016-11-01,24-327,MIA,HOME,SAC,W (+12),1,42:22,.585,.536,0.0,10.4,5.1,17.7,1.2,3.8,14.9,22.1,104,95,15.2,1.3
4,2016-11-04,24-330,MIA,AWAY,TOR,L (-9),1,23:47,.250,.250,4.1,4.6,4.3,20.2,2.2,3.4,11.1,16.9,68,107,1.8,-6.4
5,2016-11-07,24-333,MIA,AWAY,OKC,L (-12),1,26:53,.111,.111,0.0,4.6,2.0,24.4,1.9,0.0,10.0,16.9,41,109,-0.8,-10.7
6,2016-11-10,24-336,MIA,HOME,CHI,L (-3),1,35:51,.477,.467,5.4,6.1,5.7,28.7,1.5,0.0,10.7,23.3,106,112,11.1,0.3
7,2016-11-12,24-338,MIA,HOME,UTA,L (-11),1,18:57,.347,.250,0.0,6.2,3.0,7.1,0.0,0.0,25.8,20.2,57,117,-0.6,-15.9
8,2016-11-14,24-340,MIA,AWAY,SAS,L (-4),1,35:33,.519,.519,0.0,6.0,2.9,19.5,4.3,6.0,13.3,38.1,89,98,15.4,6.9
9,2016-11-15,24-341,MIA,HOME,ATL,L (-3),1,33:41,.306,.306,0.0,3.9,1.7,9.9,4.4,2.3,21.7,27.7,60,93,-0.4,-8.2
10,2016-11-17,24-343,MIA,HOME,MIL,W (+23),1,35:18,.475,.455,0.0,17.6,8.9,21.4,0.0,0.0,0.0,29.1,111,84,14.5,4.8
