,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-26,27-135,MIA,AWAY,ORL,W (+12),1,30:59,.507,.563,13.5,30.4,22.4,4.7,0.0,8.7,5.3,25.5,107,92,15.9,3.1
1,2016-10-28,27-137,MIA,HOME,CHO,L (-6),1,26:49,.710,.727,19.0,33.1,26.6,0.0,0.0,5.1,22.1,28.4,110,91,16.6,7.3
2,2016-10-30,27-139,MIA,HOME,SAS,L (-7),1,34:56,.696,.667,3.8,43.7,25.8,5.9,2.9,8.6,4.9,27.1,135,94,27.9,16.0
3,2016-11-01,27-141,MIA,HOME,SAC,W (+12),1,27:45,.474,.462,7.6,35.8,21.4,0.0,1.8,5.8,25.3,33.2,71,85,6.0,-10.5
4,2016-11-04,27-144,MIA,AWAY,TOR,L (-9),1,37:33,.543,.556,13.0,32.0,22.0,18.1,2.8,2.2,13.4,26.5,104,96,18.2,5.1
5,2016-11-07,27-147,MIA,AWAY,OKC,L (-12),1,30:34,.282,.250,3.2,44.3,21.4,0.0,0.0,5.5,18.4,16.2,54,98,2.4,-9.1
6,2016-11-10,27-150,MIA,HOME,CHI,L (-3),1,36:58,.506,.444,20.8,35.4,27.6,0.0,1.4,5.3,13.2,27.5,104,98,18.7,0.0
7,2016-11-12,27-152,MIA,HOME,UTA,L (-11),1,32:44,.480,.462,6.8,42.9,24.4,5.0,0.0,4.8,6.0,25.1,96,106,12.4,-0.8
8,2016-11-14,27-154,MIA,AWAY,SAS,L (-4),1,33:54,.769,.818,14.7,34.6,24.4,5.8,3.0,4.2,21.1,25.3,121,90,23.0,8.8
9,2016-11-15,27-155,MIA,HOME,ATL,L (-3),1,38:01,.513,.400,27.4,51.2,38.0,8.9,2.6,2.0,17.8,24.1,109,90,20.9,5.1
10,2016-11-17,27-157,MIA,HOME,MIL,W (+23),1,29:26,.436,.417,21.5,30.2,25.9,0.0,3.6,15.8,6.8,21.3,105,58,16.7,9.5
11,2016-11-19,27-159,MIA,AWAY,WAS,W (+3),1,39:53,.587,.643,24.6,25.2,24.9,3.7,0.0,5.8,0.0,16.4,144,115,20.8,2.8
12,2016-11-21,27-161,MIA,AWAY,PHI,L (-7),1,32:49,.710,.684,19.0,24.4,21.1,0.0,0.0,5.6,11.8,32.9,133,111,26.2,10.2
13,2016-11-23,27-163,MIA,AWAY,DET,L (-23),1,24:59,.375,.375,4.2,33.6,17.9,0.0,2.1,3.1,20.0,18.8,61,107,3.3,-7.7
14,2016-11-25,27-165,MIA,AWAY,MEM,W (+9),1,26:51,.244,.167,15.9,28.6,22.6,5.7,0.0,5.7,10.9,16.3,75,85,2.9,-10.5
15,2016-11-26,27-166,MIA,HOME,MEM,L (-3),1,34:19,.588,.636,14.0,33.9,23.0,0.0,1.5,5.8,7.3,19.1,120,116,13.9,-0.8
16,2016-11-28,27-168,MIA,HOME,BOS,L (-8),1,36:55,.718,.769,9.5,45.5,27.3,10.4,0.0,4.6,10.3,23.6,131,111,23.4,7.7
17,2016-11-30,27-170,MIA,AWAY,DEN,W (+8),1,32:06,.651,.647,11.5,35.2,23.2,6.1,1.5,8.7,5.0,27.4,128,88,25.4,9.8
18,2016-12-01,27-171,MIA,AWAY,UTA,W (+1),1,36:16,.379,.364,6.8,33.1,18.6,0.0,1.6,0.0,0.0,15.7,98,129,6.9,-8.4
19,2016-12-03,27-173,MIA,AWAY,POR,L (-7),1,40:55,.751,.750,8.2,30.5,20.2,4.9,0.0,9.0,5.1,21.8,143,97,29.6,13.1
20,2016-12-06,27-176,MIA,HOME,NYK,L (-11),1,37:35,.480,.500,12.5,23.9,18.1,5.1,1.4,5.2,0.0,27.6,111,115,19.4,0.6
21,2016-12-07,27-177,MIA,AWAY,ATL,L (-8),1,35:42,.333,.333,9.8,31.0,20.2,0.0,0.0,1.9,25.0,20.5,60,109,0.7,-15.3
22,2016-12-09,27-179,MIA,AWAY,CLE,L (-30),1,28:15,.400,.400,17.3,30.0,21.9,0.0,0.0,0.0,28.6,21.2,72,129,3.4,-14.2
23,2016-12-10,27-180,MIA,AWAY,CHI,L (-5),1,32:41,.482,.474,9.0,17.9,13.1,5.1,3.1,5.8,8.8,30.1,97,103,13.9,0.7
24,2016-12-12,27-182,MIA,HOME,WAS,W (+11),1,33:36,.511,.500,11.3,40.4,27.2,0.0,1.5,4.7,0.0,22.1,117,97,17.2,2.4
25,2016-12-14,27-184,MIA,HOME,IND,W (+6),1,33:39,.624,.625,18.6,45.6,32.7,0.0,0.0,4.6,12.6,31.5,115,87,23.0,6.7
26,2016-12-16,27-186,MIA,HOME,LAC,L (-4),1,30:42,.387,.417,5.9,53.3,27.4,10.4,3.2,2.7,6.6,22.0,83,93,10.4,0.9
27,2016-12-18,27-188,MIA,HOME,BOS,L (-10),1,37:44,.678,.692,8.0,41.5,27.7,0.0,0.0,6.2,15.0,24.7,113,102,19.7,2.5
28,2016-12-20,27-190,MIA,HOME,ORL,L (-6),1,46:59,.649,.636,9.9,30.2,19.5,0.0,1.0,7.4,3.9,24.5,130,105,29.0,6.2
29,2016-12-22,27-192,MIA,HOME,LAL,W (+8),1,37:17,.786,.750,9.4,28.0,19.2,0.0,1.3,2.5,6.4,19.1,153,108,22.4,3.0
30,2016-12-23,27-193,MIA,AWAY,NOP,L (-4),1,35:41,.396,.400,18.5,25.1,22.0,8.8,0.0,4.4,7.3,17.2,99,91,11.8,0.0
31,2016-12-27,27-197,MIA,HOME,OKC,L (-12),1,31:00,.440,.364,15.1,16.7,15.9,5.2,3.4,0.0,22.7,26.5,84,112,6.2,-9.0
32,2016-12-29,27-199,MIA,AWAY,CHO,L (-9),1,34:44,.571,.571,0.0,26.1,13.8,0.0,0.0,4.1,36.4,14.7,60,93,4.3,-7.6
33,2016-12-30,27-200,MIA,AWAY,BOS,L (-3),1,32:10,.557,.556,0.0,34.1,17.3,3.7,1.6,3.6,9.2,15.3,103,123,10.1,-5.1
34,2017-01-08,27-209,MIA,AWAY,LAC,L (-12),1,31:08,.582,.583,14.5,25.7,19.8,0.0,0.0,5.5,13.4,21.2,109,99,13.5,3.2
35,2017-01-10,27-211,MIA,AWAY,GSW,L (-12),1,37:00,.710,.706,7.9,49.0,27.6,11.6,1.3,4.4,17.9,26.7,113,99,24.3,10.3
36,2017-01-13,27-214,MIA,AWAY,MIL,L (-8),1,31:28,.649,.583,8.2,29.7,18.8,10.1,1.7,0.0,12.0,25.7,119,124,16.5,-0.9
37,2017-01-17,27-218,MIA,HOME,HOU,W (+6),1,32:49,.658,.625,11.9,30.9,21.7,0.0,1.4,2.9,8.6,14.7,133,94,14.8,3.2
38,2017-01-19,27-220,MIA,HOME,DAL,W (+4),1,28:45,.523,.500,4.9,30.0,18.3,13.4,1.9,0.0,19.4,26.1,92,102,8.4,-1.4
