,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-26,27-128,MIA,AWAY,ORL,W (+12),1,18:48,.400,.400,0.0,5.0,2.6,13.0,0.0,0.0,0.0,22.4,102,110,3.5,-3.3
1,2016-10-28,27-130,MIA,HOME,CHO,L (-6),1,19:48,.600,.600,0.0,13.5,7.2,0.0,0.0,0.0,0.0,10.7,119,103,3.8,2.3
2,2016-10-30,27-132,MIA,HOME,SAS,L (-7),1,25:13,.500,.500,0.0,21.6,11.9,22.9,0.0,0.0,0.0,11.0,121,115,6.1,3.7
3,2016-11-01,27-134,MIA,HOME,SAC,W (+12),1,24:02,.530,.500,0.0,9.2,4.5,0.0,2.1,0.0,0.0,18.3,100,96,5.7,-0.6
4,2016-11-04,27-137,MIA,AWAY,TOR,L (-9),1,26:41,.300,.300,3.7,16.4,9.7,0.0,0.0,0.0,0.0,8.4,76,110,1.8,-6.5
5,2016-11-07,27-140,MIA,AWAY,OKC,L (-12),1,23:22,.619,.563,8.4,10.5,9.3,0.0,2.2,0.0,10.1,19.2,121,107,9.0,4.1
6,2016-11-10,27-143,MIA,HOME,CHI,L (-3),1,15:33,.500,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,106,118,0.5,-7.7
7,2016-11-12,27-145,MIA,HOME,UTA,L (-11),1,5:15,.000,.000,0.0,22.3,10.9,0.0,0.0,0.0,0.0,28.2,0,114,-1.8,-28.8
8,2016-11-28,27-161,MIA,HOME,BOS,L (-8),1,23:14,.286,.286,0.0,10.3,5.1,6.1,2.1,0.0,0.0,13.5,66,116,2.2,-6.1
9,2016-11-30,27-163,MIA,AWAY,DEN,W (+8),1,23:01,.611,.611,0.0,4.1,2.0,0.0,2.1,0.0,0.0,17.0,116,103,6.0,-1.7
10,2016-12-01,27-164,MIA,AWAY,UTA,W (+1),1,7:52,.568,,0.0,0.0,0.0,0.0,7.2,0.0,0.0,5.4,122,119,1.2,-1.2
11,2016-12-29,27-192,MIA,AWAY,CHO,L (-9),1,20:59,.700,.700,0.0,12.9,6.9,8.8,0.0,6.8,0.0,11.0,128,95,6.9,5.1
12,2016-12-30,27-193,MIA,AWAY,BOS,L (-3),1,16:00,.625,.625,0.0,17.1,8.7,7.1,0.0,0.0,0.0,11.3,133,132,3.9,-4.6
13,2017-01-01,27-195,MIA,HOME,DET,L (-9),1,17:29,.700,.700,0.0,20.1,10.0,10.3,0.0,0.0,0.0,14.5,131,116,4.3,-4.3
14,2017-01-03,27-197,MIA,AWAY,PHO,L (-9),1,22:43,.295,.318,0.0,25.8,11.5,0.0,0.0,0.0,0.0,22.8,66,109,0.4,-11.8
15,2017-01-04,27-198,MIA,AWAY,SAC,W (+5),1,16:56,1.125,1.125,0.0,31.5,17.4,0.0,0.0,0.0,33.3,16.6,105,113,5.4,1.3
16,2017-01-06,27-200,MIA,AWAY,LAL,L (-27),1,7:57,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,0,135,-2.5,-24.7
17,2017-01-10,27-204,MIA,AWAY,GSW,L (-12),1,18:10,.167,.167,0.0,5.9,2.8,0.0,0.0,0.0,0.0,14.6,34,112,-1.5,-12.0
18,2017-01-13,27-207,MIA,AWAY,MIL,L (-8),1,31:43,.889,.889,0.0,16.8,8.3,9.5,0.0,4.7,0.0,13.8,157,129,14.9,7.0
19,2017-01-17,27-211,MIA,HOME,HOU,W (+6),1,16:53,.000,.000,0.0,21.9,11.3,0.0,0.0,0.0,0.0,7.4,0,101,-1.3,-9.8
20,2017-01-19,27-213,MIA,HOME,DAL,W (+4),1,16:54,.500,.500,0.0,21.8,11.7,0.0,0.0,0.0,0.0,8.6,102,108,1.4,-3.5
21,2017-01-21,27-215,MIA,HOME,MIL,W (+12),1,18:26,.625,.625,7.7,17.0,13.0,0.0,5.8,0.0,0.0,10.7,134,98,5.0,3.0
22,2017-01-23,27-217,MIA,HOME,GSW,W (+3),1,26:01,.799,.750,3.9,22.5,12.6,5.7,1.9,0.0,0.0,11.4,169,102,10.7,8.3
23,2017-01-25,27-219,MIA,AWAY,BRK,W (+3),1,13:53,.000,.000,0.0,27.3,14.2,8.6,0.0,0.0,0.0,10.0,23,113,-1.7,-15.8
24,2017-01-27,27-221,MIA,AWAY,CHI,W (+12),1,16:09,.500,.500,0.0,7.1,3.6,7.8,3.1,0.0,0.0,8.6,110,93,2.5,-1.6
25,2017-01-28,27-222,MIA,HOME,DET,W (+13),1,13:29,1.500,1.500,9.4,17.0,13.3,0.0,0.0,0.0,25.0,14.1,192,115,7.2,12.9
26,2017-01-30,27-224,MIA,HOME,BRK,W (+8),1,7:12,.750,.750,0.0,30.3,15.3,0.0,0.0,0.0,33.3,19.4,83,100,1.6,-3.0
27,2017-02-01,27-226,MIA,HOME,ATL,W (+23),1,19:07,.800,.800,0.0,5.5,2.8,6.7,5.0,4.2,28.6,15.5,107,90,6.6,5.6
28,2017-02-04,27-229,MIA,HOME,PHI,W (+23),1,24:45,.680,.600,0.0,4.3,2.4,4.4,0.0,0.0,14.5,11.8,125,105,3.7,-2.9
29,2017-02-06,27-231,MIA,AWAY,MIN,W (+2),1,13:05,.300,.300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,73,128,-1.3,-17.4
30,2017-02-08,27-233,MIA,AWAY,MIL,W (+18),1,19:30,.000,.000,11.7,0.0,6.1,6.0,0.0,0.0,14.3,15.8,32,104,-3.9,-18.5
31,2017-02-10,27-235,MIA,AWAY,BRK,W (+9),1,9:50,1.500,1.500,0.0,10.2,5.2,13.5,0.0,0.0,0.0,4.2,280,107,3.3,7.3
32,2017-02-11,27-236,MIA,AWAY,PHI,L (-8),1,7:02,,,0.0,41.8,23.5,17.5,0.0,0.0,,0.0,218,111,0.0,-5.3
33,2017-02-13,27-238,MIA,HOME,ORL,L (-9),1,12:10,1.500,1.500,0.0,8.6,4.4,0.0,0.0,0.0,0.0,3.6,300,122,2.6,1.7
34,2017-02-15,27-240,MIA,AWAY,HOU,W (+8),1,17:29,1.125,1.125,0.0,0.0,0.0,7.7,0.0,5.8,20.0,13.0,157,127,7.4,11.0
35,2017-02-24,27-249,MIA,AWAY,ATL,W (+18),1,13:54,.750,.750,6.6,36.7,20.9,0.0,0.0,0.0,11.1,26.6,120,92,7.2,7.4
36,2017-02-25,27-250,MIA,HOME,IND,W (+18),1,14:46,.900,.900,7.9,14.4,11.3,11.5,3.4,0.0,0.0,15.1,180,98,9.3,17.6
37,2017-02-27,27-252,MIA,AWAY,DAL,L (-7),1,16:01,.000,.000,0.0,34.8,17.2,0.0,0.0,0.0,0.0,2.9,0,111,0.4,-10.4
38,2017-03-01,27-254,MIA,HOME,PHI,W (+27),1,22:48,.900,.900,0.0,19.1,10.3,4.9,0.0,6.2,16.7,11.3,142,98,8.2,5.3
39,2017-03-03,27-256,MIA,AWAY,ORL,L (-11),1,14:21,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,187,122,4.3,2.2
40,2017-03-04,27-257,MIA,HOME,CLE,W (+28),1,13:34,1.125,1.125,0.0,0.0,0.0,10.0,0.0,0.0,0.0,13.7,232,112,6.5,12.2
41,2017-03-06,27-259,MIA,AWAY,CLE,W (+8),1,8:54,.375,.375,0.0,26.3,12.0,0.0,0.0,10.6,0.0,20.7,75,100,1.9,-1.9
42,2017-03-08,27-261,MIA,HOME,CHO,W (+7),1,18:29,.750,.750,0.0,26.6,12.2,0.0,0.0,0.0,11.1,21.7,123,114,8.2,6.2
43,2017-03-11,27-264,MIA,HOME,TOR,W (+15),1,20:29,.750,.750,0.0,4.9,2.8,23.2,5.1,0.0,20.0,11.9,126,96,5.8,6.5
44,2017-03-12,27-265,MIA,AWAY,IND,L (-4),1,10:46,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0,121,-2.2,-18.5
45,2017-03-15,27-268,MIA,HOME,NOP,W (+8),1,15:32,.000,.000,0.0,22.6,11.2,7.0,0.0,0.0,0.0,11.2,22,115,-2.8,-17.6
46,2017-03-17,27-270,MIA,HOME,MIN,W (+18),1,18:17,.800,.800,0.0,13.5,7.7,0.0,0.0,0.0,28.6,17.0,103,119,3.9,-4.0
47,2017-03-19,27-272,MIA,HOME,POR,L (-11),1,17:14,.750,.750,0.0,21.4,10.2,14.6,0.0,0.0,0.0,5.3,176,132,3.9,0.2
