,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-02-26,25-198,MIL,HOME,PHO,W (+4),1,28:07,.474,.438,0.0,30.6,15.9,10.1,0.0,0.0,32.2,20.6,68,102,1.9,-11.8
1,2017-03-03,25-203,MIL,HOME,LAC,W (+11),1,33:08,.607,.500,0.0,20.0,9.2,36.9,6.2,0.0,11.3,26.5,123,100,20.6,9.1
2,2017-03-04,25-204,MIL,HOME,TOR,W (+7),1,30:18,.721,.679,0.0,13.2,6.1,0.0,1.7,0.0,10.7,28.6,128,103,15.7,6.2
3,2017-03-06,25-206,MIL,AWAY,PHI,W (+14),1,31:36,.597,.600,4.1,13.2,9.2,36.4,0.0,2.6,26.9,21.8,109,110,11.0,-0.5
4,2017-03-08,25-208,MIL,HOME,NYK,W (+11),1,27:46,1.000,1.000,0.0,11.8,5.8,27.8,1.9,2.7,0.0,14.6,194,101,19.1,18.2
5,2017-03-10,25-210,MIL,HOME,IND,W (+14),1,37:28,.631,.607,0.0,10.4,5.5,10.7,2.8,0.0,29.6,31.2,87,96,9.7,-3.7
6,2017-03-11,25-211,MIL,HOME,MIN,W (+7),1,33:02,.491,.333,3.8,29.1,16.8,17.8,1.7,0.0,15.2,19.4,107,105,9.6,-2.4
7,2017-03-13,25-213,MIL,AWAY,MEM,L (-20),1,34:37,.517,.375,4.1,7.9,6.0,14.7,0.0,2.7,8.6,17.6,118,137,8.1,-4.6
8,2017-03-15,25-215,MIL,AWAY,LAC,W (+1),1,31:52,.722,.563,0.0,27.7,13.5,10.8,3.2,0.0,26.5,23.2,107,98,12.7,2.6
9,2017-03-17,25-217,MIL,AWAY,LAL,W (+4),1,32:46,.683,.611,0.0,6.7,3.5,0.0,1.5,0.0,8.3,32.1,127,111,19.0,1.6
10,2017-03-18,25-218,MIL,AWAY,GSW,L (-25),1,29:11,.652,.625,0.0,11.3,4.2,28.0,0.0,0.0,26.2,17.7,106,138,7.3,-3.2
11,2017-03-21,25-221,MIL,AWAY,POR,W (+3),1,32:35,.579,.568,0.0,9.0,4.5,20.3,3.2,2.4,15.1,36.0,103,95,15.9,8.6
12,2017-03-22,25-222,MIL,AWAY,SAC,W (+18),1,31:11,.591,.591,0.0,7.9,4.1,17.4,3.4,2.7,15.4,20.1,108,106,11.4,1.5
13,2017-03-24,25-224,MIL,HOME,ATL,W (+3),1,31:43,.203,.077,0.0,11.6,5.4,12.1,4.9,0.0,16.9,26.1,47,102,-1.3,-16.8
14,2017-03-26,25-226,MIL,HOME,CHI,L (-15),1,34:54,.412,.412,2.9,19.6,9.9,9.6,6.1,0.0,0.0,23.3,91,110,11.3,0.8
15,2017-03-28,25-228,MIL,AWAY,CHO,W (+10),1,34:36,.464,.333,0.0,15.8,9.5,3.4,0.0,0.0,6.2,23.4,93,122,6.4,-13.4
16,2017-03-29,25-229,MIL,AWAY,BOS,W (+3),1,34:24,.658,.679,4.1,16.2,10.9,23.4,3.0,2.7,21.7,25.9,106,106,14.8,3.8
17,2017-03-31,25-231,MIL,HOME,DET,W (+3),1,42:39,.722,.688,2.5,19.1,11.0,5.2,1.2,0.0,14.8,22.8,115,104,18.4,3.3
18,2017-04-02,25-233,MIL,HOME,DAL,L (-4),1,37:06,.409,.367,0.0,19.6,10.3,15.9,1.4,0.0,0.0,21.0,96,123,7.8,-8.7
19,2017-04-04,25-235,MIL,AWAY,OKC,L (-31),1,23:46,.409,.409,0.0,10.4,4.4,19.3,2.2,0.0,8.3,23.4,80,121,4.5,-4.7
20,2017-04-06,25-237,MIL,AWAY,IND,L (-15),1,33:43,.479,.450,0.0,11.2,5.6,20.9,3.1,0.0,22.3,19.5,86,112,4.9,-6.5
21,2017-04-08,25-239,MIL,AWAY,PHI,W (+8),1,33:19,.337,.273,6.7,18.4,12.8,9.4,4.6,0.0,14.4,19.5,73,82,6.3,-3.4
22,2017-04-10,25-241,MIL,HOME,CHO,W (+10),1,35:38,.794,.778,3.4,18.0,11.1,28.6,0.0,0.0,29.8,18.8,116,94,13.0,4.9
