,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-26,26-048,MIL,HOME,CHO,L (-11),1,29:07,.550,.550,0.0,10.5,5.1,16.1,0.0,0.0,16.7,18.2,94,115,5.8,-5.8
1,2016-10-29,26-051,MIL,HOME,BRK,W (+2),1,36:09,.595,.500,3.2,5.7,4.5,34.8,3.9,0.0,7.8,15.1,135,108,17.0,3.2
2,2016-10-30,26-052,MIL,AWAY,DET,L (-15),1,30:57,.714,.714,3.0,3.4,3.2,27.9,0.0,0.0,22.2,13.3,116,115,9.2,-0.6
3,2016-11-01,26-054,MIL,AWAY,NOP,W (+4),1,28:57,.652,.625,0.0,14.1,7.3,35.5,3.3,0.0,10.6,13.6,139,109,13.6,4.4
4,2016-11-03,26-056,MIL,HOME,IND,W (+18),1,23:47,.388,.333,0.0,10.3,5.5,18.8,2.0,0.0,43.7,20.3,66,109,-1.0,-17.5
5,2016-11-05,26-058,MIL,HOME,SAC,W (+26),1,21:02,.714,.714,5.7,18.6,12.8,28.6,5.1,0.0,22.2,19.0,130,97,11.4,7.5
6,2016-11-06,26-059,MIL,AWAY,DAL,L (-11),1,33:09,.143,.143,0.0,15.4,8.2,33.8,0.0,0.0,41.7,16.8,38,93,-2.2,-11.4
7,2016-11-10,26-063,MIL,HOME,NOP,L (-6),1,28:50,.380,.286,3.5,13.9,8.8,54.5,0.0,0.0,17.9,16.5,104,118,10.0,-0.3
8,2016-11-12,26-065,MIL,HOME,MEM,W (+10),1,25:39,.500,.500,5.5,5.7,5.6,11.6,0.0,0.0,0.0,7.8,127,111,3.6,-5.6
9,2016-11-16,26-069,MIL,AWAY,ATL,L (-7),1,26:52,.444,.444,0.0,5.1,2.1,37.2,1.8,0.0,10.0,14.9,108,111,8.1,1.7
10,2016-11-17,26-070,MIL,AWAY,MIA,L (-23),1,31:30,.000,.000,0.0,11.5,5.7,49.0,1.7,0.0,22.2,13.2,42,107,1.6,-8.9
11,2016-11-19,26-072,MIL,HOME,GSW,L (-3),1,33:38,.672,.643,0.0,8.7,5.0,17.7,1.4,0.0,11.8,10.7,137,127,9.9,-0.4
12,2016-11-21,26-074,MIL,HOME,ORL,W (+4),1,26:31,.500,.500,0.0,4.5,2.0,24.5,1.8,0.0,46.2,21.7,59,98,-0.2,-14.7
13,2016-11-25,26-078,MIL,HOME,TOR,L (-6),1,29:21,.583,.611,4.8,7.8,6.5,39.1,1.9,0.0,17.5,19.6,121,122,11.0,3.8
14,2016-11-27,26-080,MIL,AWAY,ORL,W (+8),1,31:11,.308,.308,0.0,2.9,1.6,33.8,1.6,0.0,7.1,20.4,86,106,5.2,-5.9
15,2016-11-29,26-082,MIL,HOME,CLE,W (+17),1,25:17,.276,.200,0.0,14.2,7.3,30.1,3.8,0.0,26.9,12.5,86,102,4.5,-4.2
16,2016-12-01,26-084,MIL,AWAY,BRK,W (+18),1,23:49,.750,.750,0.0,0.0,0.0,26.9,2.1,0.0,25.0,14.6,125,105,7.0,1.3
17,2016-12-03,26-086,MIL,HOME,BRK,W (+9),1,26:53,.712,.600,4.2,3.6,3.9,36.6,0.0,0.0,7.3,21.8,146,109,16.8,4.6
18,2016-12-05,26-088,MIL,HOME,SAS,L (-1),1,31:36,.474,.438,0.0,0.0,0.0,11.9,0.0,0.0,10.6,14.1,92,109,3.2,-6.0
19,2016-12-07,26-090,MIL,HOME,POR,W (+8),1,23:54,.773,.773,5.1,13.1,9.5,7.7,0.0,0.0,15.4,25.3,125,118,11.6,1.9
20,2016-12-09,26-092,MIL,HOME,ATL,L (-4),1,26:46,.413,.375,0.0,16.7,8.1,14.6,1.7,0.0,18.4,25.4,77,112,3.9,-11.2
21,2016-12-10,26-093,MIL,AWAY,WAS,L (-5),1,30:43,.375,.375,4.5,3.5,3.9,17.0,0.0,0.0,11.1,13.3,96,120,3.2,-5.3
22,2016-12-12,26-095,MIL,AWAY,TOR,L (-22),1,28:21,.125,.125,0.0,0.0,0.0,42.0,0.0,0.0,0.0,12.6,84,141,3.0,-9.4
23,2016-12-15,26-098,MIL,HOME,CHI,W (+11),1,29:22,.643,.643,3.4,0.0,2.0,38.2,0.0,0.0,22.2,13.5,128,111,10.3,0.9
24,2016-12-16,26-099,MIL,AWAY,CHI,W (+26),1,21:16,.000,.000,0.0,7.4,4.4,17.8,5.2,0.0,25.0,9.1,44,77,1.2,-5.5
25,2016-12-20,26-103,MIL,HOME,CLE,L (-6),1,39:09,.400,.400,3.0,5.5,4.3,18.8,1.3,0.0,28.6,16.7,76,118,2.8,-8.2
26,2016-12-21,26-104,MIL,AWAY,CLE,L (-11),1,24:57,.250,.250,0.0,9.2,4.8,16.9,4.2,0.0,0.0,7.9,84,119,3.5,-7.1
27,2016-12-23,26-106,MIL,HOME,WAS,W (+27),1,21:52,.417,.417,0.0,0.0,0.0,21.6,0.0,0.0,14.3,14.9,99,111,2.6,-9.4
28,2016-12-26,26-109,MIL,AWAY,WAS,L (-5),1,29:48,.319,.111,3.6,8.7,5.9,46.2,3.4,0.0,7.4,19.8,102,110,9.7,0.2
29,2016-12-28,26-111,MIL,AWAY,DET,W (+25),1,19:43,.739,.714,0.0,10.6,5.9,12.7,0.0,0.0,11.8,21.0,123,107,7.9,-2.5
30,2017-01-21,26-135,MIL,AWAY,MIA,L (-12),1,35:48,.805,.750,0.0,7.9,3.4,35.7,0.0,0.0,9.7,13.3,159,125,15.1,5.2
