,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-26,20-346,MIN,AWAY,MEM,L (-4),1,36:29,.514,.500,5.4,6.4,5.8,27.2,1.4,2.3,8.9,27.1,109,114,14.6,5.7
1,2016-10-29,20-349,MIN,AWAY,SAC,L (-3),1,37:06,.582,.625,9.6,12.9,11.6,18.5,2.9,2.2,7.2,19.0,125,115,13.7,2.5
2,2016-11-01,20-352,MIN,HOME,MEM,W (+36),1,29:58,.468,.400,9.4,30.0,21.5,17.5,0.0,3.1,20.3,21.7,99,82,9.4,-3.1
3,2016-11-03,20-354,MIN,HOME,DEN,L (-3),1,37:31,.684,.632,12.5,32.0,20.6,12.2,1.3,4.3,7.9,28.3,136,98,28.7,12.7
4,2016-11-05,20-356,MIN,AWAY,OKC,L (-20),1,30:56,.743,.725,13.2,8.9,11.4,0.0,0.0,2.2,11.9,34.4,136,125,24.5,14.9
5,2016-11-08,20-359,MIN,AWAY,BRK,L (-9),1,32:01,.626,.567,11.3,14.5,12.5,22.2,0.0,3.5,15.2,24.6,122,121,15.9,1.2
6,2016-11-09,20-360,MIN,AWAY,ORL,W (+16),1,40:42,.549,.469,12.7,17.6,15.4,3.2,2.6,1.9,0.0,20.6,132,113,18.7,-2.5
7,2016-11-12,20-363,MIN,HOME,LAC,L (-14),1,33:19,.607,.583,12.0,26.2,17.8,11.3,3.1,5.5,13.2,29.5,114,120,19.4,4.8
8,2016-11-13,20-364,MIN,HOME,LAL,W (+26),1,38:52,.417,.364,5.7,30.9,17.9,7.4,0.0,2.6,7.0,32.3,89,105,11.1,-10.0
9,2016-11-15,21-000,MIN,HOME,CHO,L (-7),1,37:06,.457,.457,8.3,19.6,12.9,19.6,0.0,2.3,11.5,28.9,97,119,11.8,-2.2
10,2016-11-17,21-002,MIN,HOME,PHI,W (+24),1,38:24,.694,.694,9.1,18.6,14.2,0.0,0.0,4.9,5.3,22.4,141,97,21.0,5.8
11,2016-11-19,21-004,MIN,AWAY,MEM,L (-22),1,27:53,.723,.750,0.0,12.3,6.5,0.0,0.0,3.0,14.5,26.4,107,113,9.2,4.4
12,2016-11-21,21-006,MIN,HOME,BOS,L (-6),1,38:16,.624,.632,15.4,36.7,25.1,16.9,0.0,5.5,4.4,25.4,131,102,26.0,14.0
13,2016-11-23,21-008,MIN,AWAY,NOP,L (-21),1,26:45,.409,.409,11.0,38.8,23.0,20.8,1.7,6.1,21.4,21.4,77,105,7.7,-2.7
14,2016-11-25,21-010,MIN,AWAY,PHO,W (+13),1,35:23,.519,.474,8.7,23.7,15.6,23.4,1.4,2.6,15.9,30.3,100,88,15.4,4.6
15,2016-11-26,21-011,MIN,AWAY,GSW,L (-13),1,34:38,.411,.405,16.9,15.4,16.2,13.9,2.9,2.3,0.0,28.3,102,117,15.2,2.3
16,2016-11-28,21-013,MIN,HOME,UTA,L (-9),1,33:57,.478,.447,10.6,31.0,20.9,5.7,1.5,2.3,0.0,26.5,108,115,14.1,-1.0
