,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-26,26-005,MIN,AWAY,MEM,L (-4),1,33:27,.278,.200,2.9,10.5,6.4,33.2,0.0,0.0,21.7,12.1,83,117,3.3,-9.7
1,2016-10-29,26-008,MIN,AWAY,SAC,L (-3),1,28:15,.563,.500,0.0,4.2,2.5,25.3,5.7,0.0,18.4,9.8,125,113,7.6,0.3
2,2016-11-12,26-022,MIN,HOME,LAC,L (-14),1,24:23,.518,.500,20.5,6.0,14.6,32.8,2.1,0.0,30.7,17.3,109,130,8.3,0.0
3,2016-11-13,26-023,MIN,HOME,LAL,W (+26),1,34:28,.727,.750,0.0,13.9,6.7,38.2,4.3,0.0,22.5,11.4,141,99,15.0,4.4
4,2016-11-15,26-025,MIN,HOME,CHO,L (-7),1,34:31,.720,.600,5.9,25.3,13.9,31.6,2.8,0.0,34.4,13.9,122,114,12.7,0.7
5,2016-11-17,26-027,MIN,HOME,PHI,W (+24),1,24:57,.340,.200,0.0,16.4,8.7,23.4,0.0,0.0,33.8,16.1,76,100,1.8,-11.7
6,2016-11-19,26-029,MIN,AWAY,MEM,L (-22),1,34:19,.148,.000,7.4,6.7,7.0,39.2,0.0,0.0,22.8,13.7,68,118,2.6,-7.9
7,2016-11-21,26-031,MIN,HOME,BOS,L (-6),1,38:13,.400,.214,10.3,12.3,11.2,32.5,1.3,0.0,0.0,9.8,134,108,12.6,2.6
8,2016-11-23,26-033,MIN,AWAY,NOP,L (-21),1,22:08,.000,.000,4.4,0.0,2.5,32.9,4.1,0.0,33.3,5.5,68,109,3.4,-5.8
9,2016-11-25,26-035,MIN,AWAY,PHO,W (+13),1,24:40,.698,.643,0.0,4.9,2.2,29.7,9.9,0.0,38.8,22.2,91,77,9.2,5.9
10,2016-11-26,26-036,MIN,AWAY,GSW,L (-13),1,28:59,.510,.400,4.0,4.6,4.3,30.8,0.0,0.0,14.5,10.6,126,128,7.8,-2.9
11,2016-11-28,26-038,MIN,HOME,UTA,L (-9),1,25:06,.935,.900,0.0,9.3,4.7,20.2,4.1,0.0,14.5,12.4,159,117,11.2,5.3
12,2016-11-30,26-040,MIN,HOME,NYK,L (-2),1,37:43,.592,.400,0.0,6.2,3.2,24.3,4.0,0.0,22.8,10.2,116,112,10.3,-0.9
13,2016-12-02,26-042,MIN,AWAY,NYK,L (-4),1,30:03,.338,.250,3.5,7.8,5.6,24.3,1.6,0.0,18.4,7.7,110,122,5.3,-6.2
14,2016-12-03,26-043,MIN,AWAY,CHO,W (+5),1,36:43,.489,.357,2.8,17.3,10.0,38.4,1.3,2.2,17.9,12.9,121,112,13.9,-0.9
15,2016-12-06,26-046,MIN,HOME,SAS,L (-14),1,31:23,.222,.222,0.0,23.2,10.1,32.5,1.7,3.1,10.0,14.6,76,112,4.4,-4.2
16,2016-12-08,26-048,MIN,AWAY,TOR,L (-14),1,29:23,.470,.429,3.9,7.6,5.8,11.7,0.0,0.0,11.8,12.8,117,141,3.3,-8.0
17,2016-12-09,26-049,MIN,HOME,DET,L (-27),1,28:08,.850,.800,4.5,8.3,6.5,33.9,0.0,0.0,0.0,10.2,183,136,12.4,2.3
18,2016-12-11,26-051,MIN,HOME,GSW,L (-8),1,32:28,.368,.300,9.4,7.2,8.4,28.1,1.6,0.0,21.6,18.5,93,123,5.9,-4.7
19,2016-12-13,26-053,MIN,AWAY,CHI,W (+5),1,34:32,.709,.583,6.5,8.9,7.7,41.1,1.5,0.0,20.5,12.4,143,106,16.3,7.3
20,2016-12-17,26-057,MIN,HOME,HOU,L (-2),1,41:06,.444,.357,5.2,14.9,10.1,23.5,4.7,0.0,27.6,11.2,95,97,11.6,0.6
21,2016-12-19,26-059,MIN,HOME,PHO,W (+7),1,36:42,.524,.200,0.0,10.3,5.2,38.6,2.6,0.0,28.2,12.0,118,107,12.4,-0.1
22,2016-12-21,26-061,MIN,AWAY,ATL,W (+8),1,33:11,.850,.800,3.4,12.9,8.3,37.7,3.3,0.0,50.5,16.2,101,95,11.2,2.8
23,2016-12-23,26-063,MIN,HOME,SAC,L (-4),1,33:33,.597,.550,7.2,15.9,11.3,37.8,4.8,0.0,21.6,19.4,124,116,14.2,5.4
24,2016-12-25,26-065,MIN,AWAY,OKC,L (-12),1,30:27,.338,.250,7.2,18.5,12.1,42.1,3.4,0.0,0.0,6.7,140,117,10.6,1.9
25,2016-12-26,26-066,MIN,HOME,ATL,W (+14),1,24:09,.375,.375,5.0,0.0,2.3,56.8,2.2,0.0,0.0,7.7,161,108,8.9,4.7
26,2016-12-28,26-068,MIN,AWAY,DEN,L (-2),1,33:58,.527,.393,6.1,24.2,14.0,28.3,6.2,0.0,19.0,27.2,108,105,17.5,4.7
