,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-25,31-022,NYK,AWAY,CLE,L (-29),1,19:37,.000,.000,4.6,12.2,7.9,0.0,0.0,4.1,28.6,15.1,8,120,-3.9,-18.1
1,2016-10-29,31-026,NYK,HOME,MEM,W (+7),1,33:37,.673,.636,0.0,9.3,5.3,4.5,1.5,0.0,0.0,16.1,135,110,12.9,2.7
2,2016-11-01,31-029,NYK,AWAY,DET,L (-13),1,28:50,.500,.500,0.0,7.4,3.7,11.1,0.0,0.0,22.2,14.5,82,115,2.5,-8.9
3,2016-11-02,31-030,NYK,HOME,HOU,L (-19),1,27:55,.667,.667,0.0,0.0,0.0,6.9,3.4,3.5,7.7,20.0,119,120,11.6,4.7
4,2016-11-04,31-032,NYK,AWAY,CHI,W (+13),1,40:35,.850,.850,0.0,5.4,2.9,12.9,0.0,0.0,0.0,11.5,175,124,15.4,2.1
5,2016-11-06,31-034,NYK,HOME,UTA,L (-5),1,36:27,.563,.500,3.6,18.3,10.8,0.0,4.3,0.0,18.4,13.9,101,121,7.6,-2.5
6,2016-11-09,31-037,NYK,HOME,BRK,W (+14),1,31:02,.553,.500,0.0,9.7,5.2,4.3,0.0,0.0,0.0,16.0,118,103,9.2,-3.6
7,2016-11-11,31-039,NYK,AWAY,BOS,L (-28),1,21:48,.113,.000,4.0,0.0,2.0,6.7,0.0,3.5,18.4,9.5,40,123,-1.9,-13.2
8,2016-11-12,31-040,NYK,AWAY,TOR,L (-11),1,33:46,.714,.714,0.0,16.5,7.6,3.7,0.0,2.3,30.0,11.8,99,120,5.0,-2.7
9,2016-11-14,31-042,NYK,HOME,DAL,W (+16),1,32:05,.500,.500,0.0,6.2,3.3,10.1,1.7,0.0,12.5,11.6,102,93,4.9,-0.9
10,2016-11-16,31-044,NYK,HOME,DET,W (+3),1,28:34,.208,.208,6.6,8.2,7.3,13.0,5.6,0.0,0.0,18.3,78,109,4.1,-6.5
11,2016-11-17,31-045,NYK,AWAY,WAS,L (-7),1,23:11,.222,.222,0.0,18.8,8.5,0.0,0.0,0.0,0.0,17.3,51,130,-1.0,-17.9
12,2016-11-20,31-048,NYK,HOME,ATL,W (+10),1,38:07,.538,.538,2.8,9.5,6.4,18.3,2.6,0.0,13.3,17.3,109,98,11.5,3.0
13,2016-11-22,31-050,NYK,HOME,POR,W (+4),1,26:32,.296,.250,4.2,12.3,8.3,13.1,1.8,2.8,10.6,15.2,78,103,4.2,-4.3
14,2016-11-25,31-053,NYK,HOME,CHO,W (+2),1,37:40,.551,.500,2.9,2.7,2.8,7.1,2.7,0.0,8.4,14.1,115,108,9.2,-1.8
15,2016-11-26,31-054,NYK,AWAY,CHO,L (-5),1,30:22,.778,.778,0.0,6.9,3.2,16.3,0.0,0.0,0.0,12.3,152,116,10.8,2.4
16,2016-11-28,31-056,NYK,HOME,OKC,L (-9),1,36:21,.650,.650,0.0,5.9,2.8,4.5,2.8,0.0,0.0,12.2,133,122,10.5,-0.8
17,2016-11-30,31-058,NYK,AWAY,MIN,W (+2),1,7:53,1.167,1.167,0.0,16.0,7.7,80.3,0.0,0.0,0.0,16.5,233,114,8.1,30.3
18,2016-12-06,31-064,NYK,AWAY,MIA,W (+11),1,29:44,.643,.643,3.4,19.0,11.4,3.9,0.0,0.0,22.2,12.6,108,112,6.5,-4.0
19,2016-12-07,31-065,NYK,HOME,CLE,L (-32),1,31:24,.689,.650,3.1,3.8,3.4,27.9,3.3,0.0,8.4,16.6,141,133,14.7,7.7
20,2016-12-09,31-067,NYK,AWAY,SAC,W (+3),1,33:00,.538,.571,3.2,9.1,6.3,4.6,0.0,0.0,0.0,9.7,119,108,5.4,-2.3
21,2016-12-11,31-069,NYK,AWAY,LAL,W (+6),1,34:49,.976,.917,0.0,0.0,0.0,3.9,1.4,0.0,0.0,10.5,199,120,14.3,2.3
22,2016-12-13,31-071,NYK,AWAY,PHO,L (-2),1,29:05,.875,.875,3.3,3.8,3.5,13.5,3.4,0.0,0.0,11.5,172,107,14.0,9.9
23,2016-12-15,31-073,NYK,AWAY,GSW,L (-13),1,32:33,.379,.364,0.0,11.8,5.6,13.8,0.0,2.3,0.0,15.6,91,109,6.1,-3.7
24,2016-12-17,31-075,NYK,AWAY,DEN,L (-13),1,35:46,.455,.455,3.4,0.0,1.8,4.5,0.0,0.0,0.0,13.6,104,136,2.9,-9.3
25,2016-12-20,31-078,NYK,HOME,IND,W (+7),1,36:39,.444,.357,3.5,7.6,5.9,3.2,1.3,0.0,11.3,10.5,91,112,4.8,-5.7
26,2016-12-22,31-080,NYK,HOME,ORL,W (+11),1,28:40,.714,.714,3.4,7.6,5.4,14.6,3.4,2.7,22.2,12.7,119,96,10.4,5.7
27,2016-12-25,31-083,NYK,HOME,BOS,L (-5),1,34:20,.557,.556,3.2,6.4,4.8,0.0,0.0,4.9,0.0,11.9,135,131,7.4,-0.1
28,2017-01-02,31-091,NYK,HOME,ORL,L (-12),1,33:50,.612,.591,3.4,6.6,5.0,0.0,1.5,0.0,14.9,17.1,112,127,8.2,-4.9
29,2017-01-04,31-093,NYK,HOME,MIL,L (-1),1,37:56,.611,.611,2.5,3.3,2.9,10.3,1.3,2.5,0.0,10.1,141,113,10.7,1.7
