,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-25,28-021,NYK,AWAY,CLE,L (-29),1,29:35,.475,.441,6.1,4.1,5.2,7.9,0.0,2.8,18.3,31.2,83,123,6.6,-5.0
1,2016-10-29,28-025,NYK,HOME,MEM,W (+7),1,32:16,.468,.462,4.3,9.7,7.3,14.4,3.1,2.4,0.0,19.6,106,104,11.5,1.0
2,2016-11-01,28-028,NYK,AWAY,DET,L (-13),1,31:41,.519,.471,3.3,13.5,8.3,13.2,0.0,2.0,9.8,29.7,99,112,12.3,-0.6
3,2016-11-02,28-029,NYK,HOME,HOU,L (-19),1,29:44,.444,.444,3.8,10.5,7.3,26.8,3.2,0.0,10.0,28.8,90,117,10.2,-2.2
4,2016-11-04,28-031,NYK,AWAY,CHI,W (+13),1,38:06,.433,.375,0.0,20.0,10.8,36.1,1.4,2.1,14.8,24.8,103,113,13.9,-1.8
5,2016-11-06,28-033,NYK,HOME,UTA,L (-5),1,36:11,.571,.500,7.2,7.4,7.3,32.4,1.5,0.0,20.2,25.4,114,129,14.4,-0.8
6,2016-11-09,28-036,NYK,HOME,BRK,W (+14),1,22:11,.643,.650,5.2,9.0,7.2,27.9,0.0,0.0,15.5,24.6,118,103,10.7,2.3
7,2016-11-11,28-038,NYK,AWAY,BOS,L (-28),1,27:06,.468,.350,0.0,12.9,6.4,38.4,0.0,0.0,37.3,26.3,74,118,2.0,-11.6
8,2016-11-12,28-039,NYK,AWAY,TOR,L (-11),1,38:08,.503,.500,5.0,5.9,5.4,16.0,0.0,0.0,16.1,26.1,99,124,11.4,-2.2
9,2016-11-14,28-041,NYK,HOME,DAL,W (+16),1,27:32,.218,.167,0.0,14.5,7.7,27.0,0.0,0.0,42.1,20.1,49,93,-3.1,-16.8
10,2016-11-16,28-043,NYK,HOME,DET,W (+3),1,34:19,.472,.467,0.0,17.1,7.6,13.0,0.0,2.3,5.9,21.4,105,117,9.8,-5.8
11,2016-11-17,28-044,NYK,AWAY,WAS,L (-7),1,38:37,.627,.528,6.2,0.0,3.4,16.0,1.3,0.0,8.5,27.1,130,130,20.4,2.9
12,2016-11-20,28-047,NYK,HOME,ATL,W (+10),1,29:50,.444,.357,3.6,6.1,4.9,33.2,0.0,0.0,20.2,29.1,93,106,8.4,-3.5
13,2016-11-22,28-049,NYK,HOME,POR,W (+4),1,28:05,.567,.533,7.9,7.8,7.9,27.3,3.4,2.7,5.9,25.6,123,101,16.3,8.4
14,2016-11-25,28-052,NYK,HOME,CHO,W (+2),1,38:07,.526,.462,5.7,2.7,4.1,19.0,1.3,2.2,16.5,21.3,106,110,12.4,-2.2
15,2016-11-26,28-053,NYK,AWAY,CHO,L (-5),1,34:09,.398,.325,13.3,9.2,11.4,39.4,2.8,4.8,4.2,28.7,103,106,17.2,6.8
16,2016-11-28,28-055,NYK,HOME,OKC,L (-9),1,38:02,.615,.500,5.3,14.0,9.5,21.6,0.0,0.0,3.9,29.6,132,125,24.7,4.9
17,2016-11-30,28-057,NYK,AWAY,MIN,W (+2),1,23:35,.458,.458,0.0,0.0,0.0,13.2,2.2,0.0,14.3,25.8,88,114,3.4,-8.7
18,2016-12-02,28-059,NYK,HOME,MIN,W (+4),1,33:54,.619,.600,3.5,12.6,8.2,25.1,1.4,0.0,4.9,25.3,132,119,20.5,3.6
