,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-25,21-084,NYK,AWAY,CLE,L (-29),1,32:48,.512,.500,11.0,11.0,11.0,0.0,1.5,5.0,11.3,22.7,100,116,9.8,-1.1
1,2016-10-29,21-088,NYK,HOME,MEM,W (+7),1,36:22,.723,.682,0.0,14.3,8.1,8.6,0.0,2.2,0.0,18.2,149,110,16.9,4.2
2,2016-11-01,21-091,NYK,AWAY,DET,L (-13),1,29:47,.477,.444,7.0,14.3,10.6,6.8,0.0,2.1,0.0,29.4,103,111,11.4,0.4
3,2016-11-02,21-092,NYK,HOME,HOU,L (-19),1,27:55,.260,.000,8.2,22.4,15.6,0.0,1.7,7.0,14.8,10.4,66,112,2.8,-9.1
4,2016-11-04,21-094,NYK,AWAY,CHI,W (+13),1,32:59,.785,.800,7.7,9.9,8.9,4.6,0.0,0.0,0.0,24.2,158,122,20.7,7.9
5,2016-11-06,21-096,NYK,HOME,UTA,L (-5),1,33:21,.693,.639,3.9,28.0,15.8,5.2,0.0,5.8,9.0,30.9,133,124,20.7,6.1
6,2016-11-09,21-099,NYK,HOME,BRK,W (+14),1,30:49,.610,.600,3.7,22.7,13.8,4.7,3.1,6.8,10.4,26.4,111,88,16.6,6.9
7,2016-11-11,21-101,NYK,AWAY,BOS,L (-28),1,23:16,.418,.333,7.5,15.0,11.3,9.1,2.0,6.5,5.6,29.0,100,109,8.6,0.1
8,2016-11-12,21-102,NYK,AWAY,TOR,L (-11),1,29:49,.639,.625,3.2,11.2,6.9,10.9,0.0,0.0,10.8,24.7,124,123,12.4,3.8
9,2016-11-14,21-104,NYK,HOME,DAL,W (+16),1,36:23,.644,.563,6.1,24.7,15.9,5.6,0.0,2.3,13.9,27.7,121,88,17.3,5.5
10,2016-11-16,21-106,NYK,HOME,DET,W (+3),1,40:01,.698,.659,9.4,8.8,9.1,13.6,1.3,1.9,3.8,28.3,150,116,30.1,12.2
11,2016-11-17,21-107,NYK,AWAY,WAS,L (-7),1,37:16,.500,.500,6.4,19.5,12.4,8.1,5.4,0.0,11.1,21.5,100,117,12.3,-1.6
12,2016-11-20,21-110,NYK,HOME,ATL,W (+10),1,30:38,.567,.567,3.5,29.6,17.6,0.0,0.0,0.0,0.0,24.1,119,95,13.0,1.3
13,2016-11-22,21-112,NYK,HOME,POR,W (+4),1,39:38,.649,.630,8.4,16.5,12.5,4.1,0.0,1.9,7.7,27.9,123,107,21.8,4.5
14,2016-11-25,21-115,NYK,HOME,CHO,W (+2),1,33:40,.500,.500,6.4,18.2,12.5,8.9,1.5,7.4,15.8,25.2,93,101,10.3,-0.8
15,2016-11-26,21-116,NYK,AWAY,CHO,L (-5),1,37:20,.600,.500,0.0,16.8,7.8,0.0,0.0,4.4,0.0,23.1,124,111,17.4,1.8
16,2016-11-28,21-118,NYK,HOME,OKC,L (-9),1,39:07,.525,.525,2.6,10.9,6.6,9.8,2.6,8.8,9.1,24.9,100,115,16.6,3.3
17,2016-11-30,21-120,NYK,AWAY,MIN,W (+2),1,38:56,.653,.625,9.0,16.2,12.5,18.0,0.0,4.3,4.3,25.9,140,112,24.2,9.9
18,2016-12-02,21-122,NYK,HOME,MIN,W (+4),1,40:08,.365,.250,5.8,8.0,7.0,9.3,0.0,6.0,21.0,20.0,78,120,3.5,-10.5
19,2016-12-04,21-124,NYK,HOME,SAC,W (+8),1,35:09,.397,.361,8.7,24.2,17.5,8.9,0.0,9.9,13.7,25.6,86,90,10.5,-1.6
20,2016-12-06,21-126,NYK,AWAY,MIA,W (+11),1,30:26,.394,.375,6.6,30.9,19.1,0.0,0.0,2.5,0.0,24.3,99,104,7.9,-8.0
21,2016-12-07,21-127,NYK,HOME,CLE,L (-32),1,29:47,.400,.400,3.3,8.1,5.4,0.0,0.0,8.1,6.3,23.5,81,136,3.2,-10.6
22,2016-12-09,21-129,NYK,AWAY,SAC,W (+3),1,35:11,.409,.342,6.1,25.6,16.1,9.8,0.0,0.0,8.8,28.0,90,105,8.4,-6.1
23,2016-12-11,21-131,NYK,AWAY,LAL,W (+6),1,39:20,.686,.633,9.2,27.1,18.7,7.8,1.2,14.2,5.0,22.6,141,103,28.1,9.6
24,2016-12-13,21-133,NYK,AWAY,PHO,L (-2),1,41:57,.652,.609,2.3,18.4,9.7,0.0,3.5,6.0,7.1,28.0,119,98,25.8,10.8
25,2016-12-15,21-135,NYK,AWAY,GSW,L (-13),1,35:24,.288,.308,4.8,8.1,6.4,0.0,0.0,0.0,12.6,19.2,59,112,-0.8,-13.8
26,2016-12-17,21-137,NYK,AWAY,DEN,L (-13),1,37:34,.498,.395,3.3,24.2,13.4,14.7,2.6,0.0,0.0,26.1,116,126,16.8,-0.2
27,2016-12-20,21-140,NYK,HOME,IND,W (+7),1,33:27,.626,.600,0.0,22.1,12.9,4.2,0.0,6.3,15.2,25.5,102,105,14.3,1.6
28,2016-12-22,21-142,NYK,HOME,ORL,W (+11),1,26:43,.545,.545,7.3,8.2,7.7,5.6,1.8,5.7,21.4,21.2,94,97,8.0,-0.7
29,2016-12-25,21-145,NYK,HOME,BOS,L (-5),1,37:11,.652,.625,5.9,29.3,17.6,4.4,2.7,6.8,22.9,24.4,111,116,17.0,4.0
30,2016-12-28,21-148,NYK,AWAY,ATL,L (-4),1,41:51,.573,.529,4.9,13.1,9.2,4.8,1.2,5.1,19.3,27.1,97,97,14.1,2.4
31,2016-12-30,21-150,NYK,AWAY,NOP,L (-12),1,37:49,.473,.400,7.6,27.2,16.6,15.3,2.5,4.5,0.0,24.7,109,96,18.9,5.8
32,2017-01-06,21-157,NYK,AWAY,MIL,W (+5),1,29:53,.761,.750,0.0,27.5,12.9,0.0,0.0,8.6,6.0,24.7,136,111,17.9,6.2
33,2017-01-07,21-158,NYK,AWAY,IND,L (-14),1,34:02,.673,.636,3.0,11.1,6.6,12.8,1.4,9.1,29.6,20.8,95,116,11.2,0.9
34,2017-01-09,21-160,NYK,HOME,NOP,L (-14),1,23:55,.305,.231,0.0,19.6,9.6,6.7,0.0,7.0,11.9,31.7,64,118,1.2,-14.8
35,2017-01-11,21-162,NYK,AWAY,PHI,L (-1),1,27:37,.350,.350,0.0,7.0,4.0,9.4,1.9,5.2,9.1,18.5,75,106,3.0,-5.3
36,2017-01-21,21-172,NYK,HOME,PHO,L (-2),1,33:01,.538,.538,3.2,0.0,1.6,9.7,1.6,2.4,13.3,20.2,105,121,8.3,-4.5
37,2017-01-23,21-174,NYK,AWAY,IND,W (+6),1,24:36,.364,.364,0.0,17.7,9.8,0.0,2.0,3.3,21.4,25.9,56,103,-1.0,-14.8
38,2017-01-25,21-176,NYK,AWAY,DAL,L (-8),1,22:59,.492,.364,8.9,28.5,18.4,6.8,0.0,3.7,7.0,25.7,116,108,8.5,-0.5
39,2017-01-27,21-178,NYK,HOME,CHO,W (+3),1,35:00,.818,.818,2.8,8.9,5.8,0.0,0.0,7.8,15.4,16.0,131,111,12.8,0.0
40,2017-01-29,21-180,NYK,AWAY,ATL,L (-3),1,30:09,.490,.429,10.9,6.9,8.9,6.0,0.0,7.7,11.5,26.0,99,111,8.7,-5.2
41,2017-02-01,21-183,NYK,AWAY,BRK,W (+5),1,25:30,.525,.500,13.0,30.7,21.1,8.6,0.0,6.0,10.0,30.1,106,88,13.4,2.9
42,2017-02-04,21-186,NYK,HOME,CLE,L (-7),1,29:20,.369,.350,3.3,27.9,14.4,9.6,1.8,11.2,14.1,21.5,77,111,5.3,-7.0
43,2017-02-06,21-188,NYK,HOME,LAL,L (-14),1,32:49,.468,.393,3.6,21.7,13.9,0.0,0.0,4.0,10.5,24.8,89,116,9.1,-4.3
44,2017-02-08,21-190,NYK,HOME,LAC,L (-4),1,27:21,.650,.632,15.6,8.2,12.0,12.3,3.6,0.0,4.6,34.4,135,121,21.1,9.5
45,2017-02-10,21-192,NYK,HOME,DEN,L (-8),1,33:01,.571,.571,7.7,7.5,7.6,7.0,1.5,2.3,6.3,21.9,119,140,12.5,-6.3
46,2017-02-12,21-194,NYK,HOME,SAS,W (+4),1,36:51,.656,.550,0.0,15.2,10.1,9.0,1.5,8.4,14.1,19.2,118,95,14.7,8.3
47,2017-02-15,21-197,NYK,AWAY,OKC,L (-11),1,32:40,.396,.346,0.0,22.9,11.8,4.2,1.5,4.5,22.4,24.5,64,114,3.1,-11.8
48,2017-02-23,21-205,NYK,AWAY,CLE,L (-15),1,15:35,.400,.400,5.9,29.3,16.4,0.0,0.0,12.6,0.0,25.6,92,113,5.9,-1.2
49,2017-03-01,21-211,NYK,AWAY,ORL,W (+11),1,32:54,.540,.467,9.3,19.0,14.1,11.6,1.6,0.0,5.1,27.0,118,98,15.2,1.5
50,2017-03-03,21-213,NYK,AWAY,PHI,L (-3),1,31:03,.615,.500,0.0,28.1,13.6,6.5,1.6,0.0,0.0,20.9,131,106,14.1,1.4
51,2017-03-05,21-215,NYK,HOME,GSW,L (-7),1,40:18,.527,.476,13.2,28.5,21.8,8.4,0.0,4.5,8.1,27.1,117,118,18.6,1.3
52,2017-03-06,21-216,NYK,AWAY,ORL,W (+8),1,30:07,.543,.500,7.4,18.1,12.8,5.2,0.0,3.0,7.2,20.6,113,111,9.7,-4.8
53,2017-03-08,21-218,NYK,AWAY,MIL,L (-11),1,36:50,.409,.400,3.0,20.3,11.7,8.0,0.0,6.5,11.2,22.3,82,110,7.6,-3.0
54,2017-03-11,21-221,NYK,AWAY,DET,L (-20),1,36:25,.520,.531,5.9,10.5,8.3,19.7,0.0,11.5,0.0,21.8,114,113,16.8,6.5
55,2017-03-12,21-222,NYK,AWAY,BRK,L (-8),1,33:36,.535,.500,5.4,25.4,14.6,19.7,0.0,14.6,18.4,26.6,96,113,13.9,0.2
56,2017-03-14,21-224,NYK,HOME,IND,W (+6),1,24:33,.324,.324,7.8,3.6,5.6,23.3,2.1,10.1,10.5,36.2,72,86,5.6,-1.1
57,2017-03-20,21-230,NYK,AWAY,LAC,L (-9),1,31:53,.563,.563,9.4,28.0,18.2,11.4,3.2,0.0,11.1,24.3,109,113,15.1,1.9
58,2017-03-22,21-232,NYK,AWAY,UTA,L (-7),1,31:22,.611,.559,8.3,16.3,12.8,0.0,1.8,2.5,0.0,30.4,132,119,17.5,6.3
59,2017-03-23,21-233,NYK,AWAY,POR,L (-15),1,37:36,.403,.381,7.8,18.7,12.8,5.0,1.3,6.5,8.2,28.8,81,112,11.0,-5.4
60,2017-03-25,21-235,NYK,AWAY,SAS,L (-8),1,26:01,.564,.375,0.0,18.8,9.7,10.4,1.9,2.5,32.0,26.3,83,105,5.2,-6.6
61,2017-03-27,21-237,NYK,HOME,DET,W (+14),1,37:10,.704,.656,0.0,23.0,13.1,12.1,2.7,6.4,5.3,23.8,134,92,23.4,8.3
62,2017-03-29,21-239,NYK,HOME,MIA,L (-17),1,35:47,.575,.500,5.5,18.7,11.7,10.8,0.0,6.8,14.7,24.4,110,111,14.6,3.6
63,2017-03-31,21-241,NYK,AWAY,MIA,W (+4),1,35:54,.611,.611,7.0,15.9,11.7,16.3,0.0,2.7,18.2,29.0,101,106,13.9,-0.6
64,2017-04-02,21-243,NYK,HOME,BOS,L (-16),1,27:35,.595,.600,0.0,6.0,2.4,0.0,1.8,0.0,0.0,19.1,116,120,9.5,-1.5
