,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-01-16,23-292,NYK,HOME,ATL,L (-1),1,21:49,.667,.667,5.1,9.6,7.4,6.6,4.5,0.0,10.0,19.4,132,107,8.7,6.5
1,2017-01-18,23-294,NYK,AWAY,BOS,W (+11),1,11:09,,,0.0,9.0,4.8,0.0,0.0,0.0,100.0,7.6,0,120,-3.7,-24.8
2,2017-01-19,23-295,NYK,HOME,WAS,L (-3),1,20:07,.250,.250,5.4,6.4,5.9,0.0,5.1,0.0,20.0,10.9,57,115,1.2,-7.9
3,2017-03-06,23-341,NYK,AWAY,ORL,W (+8),1,17:24,.000,.000,0.0,0.0,0.0,20.7,0.0,0.0,33.3,7.7,49,119,-0.3,-10.5
4,2017-03-23,23-358,NYK,AWAY,POR,L (-15),1,24:23,.250,.250,0.0,4.8,2.2,24.6,4.1,3.3,11.1,16.4,63,111,3.2,-5.1
5,2017-03-29,23-364,NYK,HOME,MIA,L (-17),1,40:17,.225,.167,4.9,8.3,6.5,11.7,0.0,0.0,18.4,17.3,57,119,-1.8,-14.5
6,2017-03-31,24-001,NYK,AWAY,MIA,W (+4),1,37:46,.672,.643,0.0,9.1,4.8,23.2,1.4,2.5,11.8,10.6,133,106,11.3,2.0
7,2017-04-02,24-003,NYK,HOME,BOS,L (-16),1,28:32,.400,.400,0.0,17.4,6.9,17.0,3.6,0.0,16.7,9.4,83,115,3.7,-6.2
8,2017-04-04,24-005,NYK,HOME,CHI,W (+9),1,37:18,.605,.643,0.0,7.9,4.2,21.0,1.4,2.2,35.0,13.4,92,100,6.9,-2.1
9,2017-04-06,24-007,NYK,HOME,WAS,L (-3),1,27:10,.607,.556,3.5,4.6,4.0,11.3,0.0,0.0,16.8,18.2,115,126,7.3,-5.0
10,2017-04-07,24-008,NYK,AWAY,MEM,L (-13),1,30:30,.143,.143,0.0,9.5,4.0,30.2,0.0,0.0,12.5,12.6,70,130,1.2,-12.2
11,2017-04-09,24-010,NYK,HOME,TOR,L (-13),1,38:06,.458,.458,0.0,28.8,13.1,32.8,1.4,0.0,14.3,17.7,96,120,10.4,-3.2
12,2017-04-12,24-013,NYK,HOME,PHI,W (+1),1,29:21,.581,.583,0.0,3.9,2.0,18.1,0.0,0.0,22.5,12.5,114,127,5.3,-5.0
