,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-26,22-201,PHI,HOME,OKC,L (-6),1,27:27,.194,.167,3.9,20.6,12.8,10.8,0.0,0.0,13.4,24.1,45,105,-2.3,-16.2
1,2016-10-29,22-204,PHI,HOME,ATL,L (-32),1,26:24,.278,.278,0.0,17.7,8.5,14.9,0.0,0.0,10.0,17.1,56,109,0.7,-8.0
2,2016-11-01,22-207,PHI,HOME,ORL,L (-2),1,31:29,.750,.750,4.5,6.5,5.6,5.8,1.6,0.0,17.6,25.2,112,112,14.0,2.3
3,2016-11-02,22-208,PHI,AWAY,CHO,L (-16),1,28:56,.489,.462,3.9,26.2,14.3,6.5,1.7,0.0,6.5,23.2,96,112,8.5,-1.8
4,2016-11-05,22-211,PHI,HOME,CLE,L (-1),1,17:49,.255,.200,0.0,37.0,20.1,14.4,0.0,0.0,14.5,17.0,60,99,0.4,-11.0
5,2016-11-07,22-213,PHI,HOME,UTA,L (-25),1,23:05,.333,.333,0.0,9.7,4.8,15.5,0.0,0.0,25.0,15.9,61,122,0.6,-8.7
6,2016-11-09,22-215,PHI,AWAY,IND,L (-7),1,33:36,.709,.667,6.9,39.4,22.0,12.4,0.0,4.4,23.3,16.9,119,113,13.0,1.7
7,2016-11-11,22-217,PHI,HOME,IND,W (+4),1,28:48,.621,.583,0.0,20.4,9.8,12.1,5.3,0.0,38.3,16.2,78,94,6.5,0.2
8,2016-11-12,22-218,PHI,AWAY,ATL,L (-21),1,27:39,.462,.462,3.7,23.7,13.4,6.4,1.7,0.0,18.8,25.1,78,118,6.1,-7.2
9,2016-11-14,22-220,PHI,AWAY,HOU,L (-27),1,24:00,.463,.409,4.1,22.2,12.8,15.4,0.0,0.0,0.0,21.7,105,122,8.5,-0.2
10,2017-02-02,22-300,PHI,AWAY,SAS,L (-16),1,35:39,.391,.353,7.1,14.0,10.3,5.8,1.3,0.0,25.1,27.0,64,101,2.2,-9.0
11,2017-02-24,22-322,PHI,HOME,WAS,W (+8),1,32:52,.526,.526,3.7,28.1,17.7,20.6,1.4,0.0,9.5,26.6,103,103,15.8,0.0
12,2017-02-25,22-323,PHI,AWAY,NYK,L (-1),1,39:34,.484,.441,14.6,24.8,19.4,19.3,0.0,0.0,16.9,24.3,103,113,14.7,-1.3
13,2017-02-27,22-325,PHI,HOME,GSW,L (-11),1,35:16,.541,.400,10.0,11.8,11.0,33.0,1.4,0.0,9.3,25.1,125,122,18.1,3.9
14,2017-03-01,22-327,PHI,AWAY,MIA,L (-27),1,28:13,.417,.417,11.6,13.4,12.4,11.3,0.0,0.0,20.0,22.4,82,127,3.0,-9.1
15,2017-03-03,22-329,PHI,HOME,NYK,W (+3),1,27:11,.571,.536,4.0,33.8,19.4,29.9,0.0,0.0,5.2,30.7,122,105,15.6,4.2
16,2017-03-04,22-330,PHI,HOME,DET,L (-30),1,28:59,.567,.500,4.1,20.7,12.4,42.2,0.0,2.3,15.2,29.7,113,135,16.4,3.7
17,2017-03-06,22-332,PHI,HOME,MIL,L (-14),1,33:18,.418,.367,6.3,23.4,13.9,27.2,3.1,0.0,15.2,26.0,92,116,11.1,-0.3
18,2017-03-09,22-335,PHI,AWAY,POR,L (-6),1,40:56,.808,.813,5.1,18.9,11.8,4.8,1.2,0.0,22.4,24.3,121,110,19.0,5.4
19,2017-03-11,22-337,PHI,AWAY,LAC,L (-12),1,34:52,.447,.412,6.9,9.8,8.4,8.7,0.0,2.5,18.3,28.4,80,119,5.7,-9.4
20,2017-03-12,22-338,PHI,AWAY,LAL,W (+2),1,35:16,.605,.575,0.0,25.7,12.9,24.8,2.6,2.0,17.3,36.1,101,107,19.5,0.6
21,2017-03-14,22-340,PHI,AWAY,GSW,L (-2),1,37:14,.599,.600,3.0,19.8,12.2,31.2,2.5,4.6,22.3,28.4,98,98,18.9,6.9
22,2017-03-17,22-343,PHI,HOME,DAL,W (+42),1,26:04,.465,.333,4.8,21.7,14.5,25.2,1.9,2.9,0.0,18.7,126,74,12.2,6.0
23,2017-03-19,22-345,PHI,HOME,BOS,W (+6),1,32:15,.563,.550,0.0,20.8,10.6,22.8,2.9,0.0,4.7,29.1,111,97,17.4,5.2
24,2017-03-20,22-346,PHI,AWAY,ORL,L (-3),1,25:30,.571,.500,0.0,19.2,9.6,0.0,1.8,2.9,6.0,27.1,109,99,10.4,0.3
25,2017-03-22,22-348,PHI,AWAY,OKC,L (-25),1,25:49,.392,.321,4.4,5.0,4.7,12.6,2.0,7.7,16.4,32.9,74,127,5.9,-5.8
26,2017-03-24,22-350,PHI,AWAY,CHI,W (+10),1,34:01,.710,.684,8.1,22.6,16.6,9.7,1.4,0.0,15.1,33.7,127,107,23.3,4.3
27,2017-03-26,22-352,PHI,AWAY,IND,L (-13),1,28:05,.283,.233,3.6,29.6,17.3,5.7,0.0,0.0,20.1,31.4,52,109,-1.4,-18.1
28,2017-03-28,22-354,PHI,AWAY,BRK,W (+5),1,36:42,.636,.567,2.7,14.5,8.9,4.6,0.0,2.1,14.2,23.7,113,103,15.4,-0.2
29,2017-03-29,22-355,PHI,HOME,ATL,L (-7),1,39:14,.380,.333,5.4,17.5,11.3,16.4,0.0,2.0,9.2,25.2,87,112,8.7,-5.3
30,2017-03-31,22-357,PHI,AWAY,CLE,L (-17),1,25:30,.311,.292,0.0,15.7,8.3,21.9,0.0,0.0,23.7,29.6,60,128,-1.2,-17.7
31,2017-04-02,22-359,PHI,AWAY,TOR,L (-8),1,23:47,.512,.423,5.0,11.9,8.2,7.8,2.1,0.0,16.1,34.2,96,120,7.7,-8.0
32,2017-04-04,22-361,PHI,HOME,BRK,L (-23),1,19:09,.506,.500,5.1,21.8,10.4,15.2,2.4,0.0,16.8,24.8,93,136,6.2,-6.6
33,2017-04-06,22-363,PHI,HOME,CHI,L (-12),1,22:09,.461,.438,3.8,39.0,20.3,8.2,2.1,3.3,17.0,22.4,81,91,7.6,1.0
34,2017-04-08,23-000,PHI,HOME,MIL,L (-8),1,24:06,.563,.542,0.0,37.1,17.7,52.9,4.3,0.0,24.3,31.4,84,88,10.0,5.1
35,2017-04-10,23-002,PHI,HOME,IND,L (-9),1,24:36,.475,.350,19.5,10.5,15.2,20.1,4.2,2.8,24.0,30.4,97,122,8.8,-4.6
