,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-26,26-322,PHO,HOME,SAC,L (-19),1,29:27,.627,.545,0.0,23.9,11.9,29.3,1.7,0.0,23.9,25.6,105,114,11.4,0.7
1,2016-10-28,26-324,PHO,AWAY,OKC,L (-3),1,37:50,.426,.375,0.0,13.7,6.9,25.0,3.6,0.0,4.8,23.9,94,95,12.3,1.3
2,2016-10-30,26-326,PHO,HOME,GSW,L (-6),1,35:36,.702,.682,0.0,14.7,7.2,29.4,1.3,0.0,0.0,18.0,154,109,20.8,9.3
3,2016-10-31,26-327,PHO,AWAY,LAC,L (-18),1,31:58,.381,.357,3.1,27.0,13.7,27.3,0.0,0.0,16.0,23.9,78,113,5.5,-6.8
4,2016-11-02,26-329,PHO,HOME,POR,W (+3),1,39:55,.450,.375,7.0,9.7,8.3,15.3,1.2,0.0,11.9,26.1,96,108,11.3,-3.4
5,2016-11-04,26-331,PHO,AWAY,NOP,W (+1),1,35:34,.594,.615,6.1,14.1,10.2,20.2,0.0,0.0,17.3,21.5,109,108,10.6,-1.8
6,2016-11-06,26-333,PHO,AWAY,LAL,L (-11),1,29:42,.571,.500,3.3,3.7,3.5,11.3,3.0,0.0,26.5,30.4,88,113,8.0,-5.9
7,2016-11-08,26-335,PHO,AWAY,POR,L (-3),1,31:05,.848,.769,0.0,18.7,8.1,21.2,0.0,0.0,9.9,26.9,164,126,25.9,10.8
8,2016-11-09,26-336,PHO,HOME,DET,W (+7),1,34:59,.626,.567,3.3,28.6,16.8,40.6,0.0,0.0,23.0,26.1,111,100,17.2,2.2
9,2016-11-12,26-339,PHO,HOME,BRK,L (-18),1,29:46,.361,.188,4.9,22.0,11.7,33.6,4.5,0.0,21.3,17.7,86,107,10.0,-1.3
10,2016-11-13,26-340,PHO,AWAY,GSW,L (-13),1,28:22,.622,.500,3.9,8.9,6.3,23.6,0.0,0.0,0.0,23.8,141,133,17.3,3.0
11,2016-11-16,26-343,PHO,AWAY,DEN,L (-16),1,34:05,.602,.500,3.4,6.7,5.0,19.5,4.2,0.0,47.5,16.5,82,118,5.8,-5.8
12,2016-11-18,26-345,PHO,AWAY,IND,W (+20),1,13:08,.300,.300,0.0,28.9,13.5,20.9,3.9,0.0,16.7,37.8,70,99,-0.1,-19.9
13,2016-11-19,26-346,PHO,AWAY,PHI,L (-15),1,30:01,.543,.521,6.4,12.6,9.1,48.4,0.0,0.0,13.9,37.9,105,121,16.3,1.4
14,2016-11-21,26-348,PHO,AWAY,WAS,L (-5),1,39:50,.516,.460,5.5,15.9,11.2,26.8,1.2,3.8,12.5,32.6,107,103,20.4,7.1
15,2016-11-23,26-350,PHO,AWAY,ORL,W (+5),1,32:29,.432,.367,0.0,27.1,15.1,28.8,1.6,2.2,13.9,31.9,87,88,10.8,-0.9
16,2016-11-25,26-352,PHO,HOME,MIN,L (-13),1,34:28,.636,.600,7.0,11.9,9.6,66.8,4.3,0.0,27.9,30.8,107,98,18.9,10.3
17,2016-11-27,26-354,PHO,HOME,DEN,L (-6),1,40:10,.629,.522,0.0,15.3,7.5,29.8,2.3,4.0,9.7,31.8,125,112,28.1,11.2
18,2016-11-30,26-357,PHO,HOME,ATL,W (+2),1,28:23,.336,.294,7.4,19.3,12.5,21.4,3.3,2.6,5.3,27.8,89,101,8.8,-2.0
