,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-25,23-167,POR,HOME,UTA,W (+9),1,22:21,.000,.000,0.0,6.1,3.3,5.5,4.7,0.0,50.0,8.9,18,110,-0.8,-7.7
1,2016-10-27,23-169,POR,HOME,LAC,L (-8),1,32:18,.724,.700,17.7,8.3,12.4,12.3,0.0,0.0,0.0,20.9,156,118,20.7,11.3
2,2016-10-29,23-171,POR,AWAY,DEN,W (+2),1,32:12,.509,.500,0.0,8.8,4.7,0.0,0.0,0.0,12.7,10.6,85,106,0.7,-8.3
3,2016-11-01,23-174,POR,HOME,GSW,L (-23),1,26:07,.273,.273,4.2,5.6,4.8,0.0,0.0,5.8,0.0,17.9,61,123,1.5,-10.9
4,2016-11-02,23-175,POR,AWAY,PHO,L (-3),1,34:37,.623,.600,5.6,8.1,6.8,8.9,1.4,1.8,16.1,15.3,111,108,10.6,0.4
5,2016-11-04,23-177,POR,AWAY,DAL,W (+10),1,32:20,.563,.563,0.0,3.5,1.7,14.8,1.6,0.0,0.0,11.3,123,105,8.4,2.4
6,2016-11-06,23-179,POR,AWAY,MEM,W (+6),1,34:22,.600,.600,7.5,15.9,12.1,0.0,1.5,5.1,11.8,24.3,103,101,12.4,1.3
7,2016-11-08,23-181,POR,HOME,PHO,W (+3),1,33:29,.842,.818,4.3,16.7,11.3,4.3,1.4,2.2,20.2,18.8,132,117,15.9,4.5
8,2016-11-09,23-182,POR,AWAY,LAC,L (-31),1,21:38,.800,.800,0.0,17.8,8.7,9.1,0.0,4.0,16.7,12.3,126,117,6.5,4.2
9,2016-11-11,23-184,POR,HOME,SAC,W (+2),1,35:54,.444,.444,10.5,17.6,14.1,3.6,0.0,2.2,0.0,12.2,111,120,7.1,-4.6
10,2016-11-13,23-186,POR,HOME,DEN,W (+7),1,32:30,.666,.636,2.6,16.1,8.6,0.0,0.0,4.8,0.0,15.7,139,106,14.1,3.8
11,2016-11-15,23-188,POR,HOME,CHI,L (-25),1,28:34,.278,.278,8.0,15.9,11.6,5.5,5.2,2.2,0.0,13.3,79,106,5.9,-1.7
12,2016-11-17,23-190,POR,AWAY,HOU,L (-17),1,31:20,.792,.792,6.5,12.8,9.7,0.0,0.0,0.0,7.7,17.9,140,130,15.0,3.4
13,2016-11-18,23-191,POR,AWAY,NOP,L (-12),1,35:11,.385,.385,5.6,15.2,9.6,5.0,0.0,0.0,13.3,18.0,79,118,3.4,-7.5
14,2016-11-20,23-193,POR,AWAY,BRK,W (+20),1,21:54,.714,.714,13.3,8.3,10.2,0.0,0.0,0.0,22.2,18.1,116,114,6.3,-5.5
15,2016-11-22,23-195,POR,AWAY,NYK,L (-4),1,34:19,.508,.500,3.2,22.8,12.9,0.0,1.4,2.1,16.9,21.9,88,105,7.8,-3.8
16,2016-11-23,23-196,POR,AWAY,CLE,L (-12),1,33:46,.506,.450,10.4,15.0,12.6,6.9,4.3,2.6,0.0,14.4,128,131,12.0,-1.5
17,2016-11-25,23-198,POR,HOME,NOP,W (+15),1,29:12,.644,.654,18.7,23.5,21.0,4.9,1.6,0.0,21.3,26.0,108,104,14.1,-0.4
18,2016-11-27,23-200,POR,HOME,HOU,L (-16),1,38:14,.699,.667,3.4,7.4,5.3,0.0,2.6,2.7,0.0,14.7,142,131,14.4,1.6
19,2016-11-30,23-203,POR,HOME,IND,W (+22),1,29:09,.773,.750,7.8,0.0,4.6,0.0,3.5,0.0,0.0,22.6,164,116,19.0,5.9
20,2016-12-03,23-206,POR,HOME,MIA,W (+7),1,32:53,.618,.542,5.8,17.0,11.0,5.4,1.5,2.3,6.8,20.0,125,98,14.5,4.6
21,2016-12-05,23-208,POR,AWAY,CHI,W (+2),1,31:21,.446,.409,13.6,17.8,15.7,7.9,1.6,2.6,14.0,19.9,98,113,8.3,-5.1
22,2016-12-07,23-210,POR,AWAY,MIL,L (-8),1,31:41,.423,.423,13.2,0.0,7.1,20.6,6.3,0.0,23.5,23.8,87,111,7.9,-3.0
23,2016-12-10,23-213,POR,AWAY,IND,L (-7),1,30:32,.500,.500,4.1,0.0,2.0,0.0,1.6,0.0,12.5,11.9,94,127,3.2,-7.8
24,2016-12-12,23-215,POR,AWAY,LAC,L (-1),1,32:24,.429,.429,11.7,10.6,11.1,0.0,1.5,0.0,12.5,10.5,100,128,4.5,-6.4
25,2016-12-13,23-216,POR,HOME,OKC,W (+19),1,24:55,.638,.550,0.0,17.1,9.6,0.0,9.9,3.2,7.8,23.2,121,80,15.1,10.6
26,2016-12-15,23-218,POR,AWAY,DEN,L (-12),1,36:11,.571,.500,2.9,8.6,5.2,3.6,1.3,2.5,20.2,11.1,103,128,5.0,-5.6
27,2016-12-17,23-220,POR,AWAY,GSW,L (-45),1,30:07,.567,.567,0.0,9.7,3.7,0.0,3.2,5.4,6.3,24.1,100,129,11.1,3.1
28,2016-12-20,23-223,POR,AWAY,SAC,L (-5),1,24:13,.533,.556,23.6,33.0,27.5,0.0,2.1,4.0,0.0,18.3,130,128,10.2,-2.0
29,2016-12-21,23-224,POR,HOME,DAL,L (-1),1,29:46,.405,.333,8.7,22.0,15.9,5.9,1.8,3.1,9.2,17.3,93,102,5.1,-4.7
30,2016-12-23,23-226,POR,HOME,SAS,L (-20),1,34:17,.410,.500,3.3,3.9,3.6,4.8,1.6,2.4,9.3,14.9,81,131,3.2,-8.0
31,2016-12-26,23-229,POR,HOME,TOR,L (-4),1,33:04,.506,.556,0.0,12.7,6.8,5.2,3.0,4.8,28.8,18.5,68,93,4.9,-3.4
32,2016-12-28,23-231,POR,HOME,SAC,W (+13),1,33:04,.857,.857,0.0,12.6,6.9,5.2,1.6,0.0,22.2,13.2,121,98,8.8,1.7
33,2016-12-30,23-233,POR,AWAY,SAS,L (-16),1,27:59,.750,.750,4.4,0.0,2.3,0.0,5.6,3.1,20.0,17.6,109,115,8.8,2.2
34,2017-01-01,23-235,POR,AWAY,MIN,W (+6),1,32:37,.481,.429,3.9,11.8,8.4,4.7,3.1,4.6,0.0,12.3,108,91,9.1,2.1
35,2017-01-04,23-238,POR,AWAY,GSW,L (-8),1,30:05,.556,.556,11.4,15.6,13.5,4.7,1.5,3.1,18.2,14.8,105,119,7.0,-1.9
36,2017-01-05,23-239,POR,HOME,LAL,W (+9),1,29:21,.750,.750,0.0,20.0,11.3,9.0,1.7,8.9,33.3,13.7,95,103,8.9,2.1
37,2017-01-08,23-242,POR,HOME,DET,L (-1),1,25:39,.434,.375,0.0,11.0,5.4,4.6,0.0,2.8,14.8,12.8,82,114,2.8,-7.1
38,2017-01-10,23-244,POR,AWAY,LAL,W (+21),1,32:02,.902,.917,0.0,15.0,8.5,4.2,1.6,7.6,20.5,14.0,136,89,13.5,6.6
39,2017-01-11,23-245,POR,HOME,CLE,W (+16),1,31:29,.597,.550,9.5,6.0,7.7,14.1,0.0,0.0,0.0,15.2,140,101,11.2,1.2
40,2017-01-16,23-250,POR,AWAY,WAS,L (-19),1,18:36,.000,.000,0.0,6.0,2.7,7.0,2.7,4.1,16.7,13.6,10,122,-3.0,-16.7
41,2017-01-18,23-252,POR,AWAY,CHO,L (-22),1,27:07,.450,.450,0.0,4.1,1.8,20.5,1.8,2.9,9.1,17.1,94,115,6.3,-1.6
42,2017-02-09,23-274,POR,HOME,BOS,L (-9),1,23:21,.400,.400,0.0,18.3,9.8,5.9,6.6,6.7,16.7,11.7,76,110,5.0,0.5
43,2017-02-13,23-278,POR,HOME,ATL,L (-5),1,31:47,.551,.567,14.9,9.8,12.7,13.2,1.6,6.1,11.5,22.7,113,101,14.2,8.2
44,2017-02-15,23-280,POR,AWAY,UTA,L (-23),1,25:08,.735,.700,0.0,18.6,8.8,14.5,4.1,0.0,0.0,10.0,157,113,9.5,7.1
45,2017-02-23,23-288,POR,AWAY,ORL,W (+9),1,38:10,.615,.563,0.0,15.4,8.9,3.5,1.3,5.9,9.3,12.1,119,101,11.0,2.0
46,2017-02-26,23-291,POR,AWAY,TOR,L (-6),1,35:56,.836,.889,6.4,11.1,8.6,0.0,2.9,2.3,8.5,15.2,151,117,16.1,6.4
47,2017-02-28,23-293,POR,AWAY,DET,L (-7),1,37:02,.450,.500,10.7,17.3,14.6,7.5,0.0,1.8,18.4,13.2,92,112,5.1,-5.8
48,2017-03-02,23-295,POR,HOME,OKC,W (+5),1,34:22,.475,.357,7.5,20.4,14.8,0.0,1.4,0.0,0.0,13.6,115,113,7.2,-5.4
49,2017-03-04,23-297,POR,HOME,BRK,W (+14),1,30:26,.978,1.000,5.4,4.0,4.6,12.0,3.2,11.3,0.0,13.5,202,110,22.2,16.2
50,2017-03-07,23-300,POR,AWAY,OKC,W (+5),1,28:57,.510,.600,12.8,4.6,8.8,7.9,3.4,5.5,0.0,9.0,137,120,9.3,3.3
51,2017-03-09,23-302,POR,HOME,PHI,W (+6),1,39:17,.506,.556,11.2,13.2,12.3,8.1,1.3,2.1,23.3,14.3,93,106,8.9,-3.4
52,2017-03-11,23-304,POR,HOME,WAS,L (-1),1,33:23,.603,.625,10.8,7.1,8.9,8.6,0.0,0.0,0.0,17.2,134,124,12.7,0.4
53,2017-03-12,23-305,POR,AWAY,PHO,W (+9),1,21:37,.266,.500,0.0,4.8,2.5,10.9,0.0,0.0,21.0,9.5,60,106,-0.7,-7.5
54,2017-03-14,23-307,POR,AWAY,NOP,L (-23),1,19:38,.515,.333,0.0,0.0,0.0,11.9,2.6,0.0,20.5,11.5,91,104,1.8,-3.8
55,2017-03-15,23-308,POR,AWAY,SAS,W (+4),1,19:12,.500,.500,6.4,0.0,3.1,21.1,2.6,0.0,25.0,9.7,111,115,2.5,-1.1
56,2017-03-18,23-311,POR,AWAY,ATL,W (+16),1,29:36,.761,.786,4.5,9.2,7.3,18.1,3.3,2.6,20.2,13.9,133,97,12.6,7.6
57,2017-03-19,23-312,POR,AWAY,MIA,W (+11),1,29:28,.250,.250,12.5,7.6,9.9,4.0,0.0,5.6,33.3,9.3,76,118,0.4,-7.4
58,2017-03-21,23-314,POR,HOME,MIL,L (-3),1,30:12,.436,.333,6.5,9.7,8.1,0.0,0.0,4.3,12.7,11.5,93,103,4.1,-4.4
59,2017-03-23,23-316,POR,HOME,NYK,W (+15),1,17:51,.773,.667,0.0,11.0,6.0,16.0,0.0,0.0,43.6,17.5,96,105,2.1,-7.0
60,2017-03-25,23-318,POR,HOME,MIN,W (+12),1,26:32,.667,.667,7.2,0.0,2.9,8.7,0.0,0.0,0.0,5.9,161,119,4.4,-1.5
61,2017-03-26,23-319,POR,AWAY,LAL,W (+16),1,25:02,.694,.500,3.6,3.8,3.7,17.9,3.9,0.0,25.8,13.5,120,80,8.7,3.4
62,2017-03-28,23-321,POR,HOME,DEN,W (+9),1,14:27,.400,.400,0.0,0.0,0.0,0.0,0.0,5.2,0.0,14.5,90,119,0.4,-10.3
63,2017-03-30,23-323,POR,HOME,HOU,W (+10),1,31:36,.654,.654,15.2,7.1,11.0,0.0,3.1,8.0,0.0,17.7,144,106,18.6,9.2
64,2017-04-01,23-325,POR,HOME,PHO,W (+13),1,26:09,.697,.625,9.0,8.5,8.7,10.9,0.0,2.5,17.7,17.7,130,120,9.9,-2.5
65,2017-04-03,23-327,POR,AWAY,MIN,L (-1),1,36:10,.850,.850,6.2,18.4,11.8,4.6,1.5,1.8,0.0,13.0,171,122,16.5,4.4
66,2017-04-04,23-328,POR,AWAY,UTA,L (-19),1,25:56,.250,.250,3.9,12.8,7.3,0.0,2.1,3.6,0.0,7.6,67,120,2.2,-6.2
67,2017-04-06,23-330,POR,HOME,MIN,W (+7),1,28:45,.400,.400,0.0,3.6,1.9,0.0,1.7,0.0,16.7,9.6,63,104,0.4,-8.5
68,2017-04-08,23-332,POR,HOME,UTA,W (+15),1,36:48,.857,.857,2.6,5.9,4.2,0.0,4.5,0.0,0.0,9.0,174,96,11.8,2.9
