,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-11-11,24-258,POR,HOME,SAC,W (+2),1,28:33,.557,.500,0.0,17.7,8.8,4.9,1.8,0.0,0.0,16.8,116,117,7.6,-4.4
1,2016-11-13,24-260,POR,HOME,DEN,W (+7),1,24:43,.557,.500,0.0,16.9,7.5,12.4,0.0,0.0,9.2,17.6,109,107,5.9,-4.1
2,2016-11-15,24-262,POR,HOME,CHI,L (-25),1,15:12,.000,.000,0.0,11.9,5.4,0.0,0.0,4.0,14.3,19.4,0,118,-4.3,-22.4
3,2016-12-08,24-285,POR,AWAY,MEM,L (-2),1,16:38,.000,.000,5.2,26.7,15.7,0.0,0.0,0.0,0.0,7.8,20,89,-1.5,-12.7
4,2016-12-20,24-297,POR,AWAY,SAC,L (-5),1,19:13,.000,.000,5.9,8.3,6.9,11.4,0.0,0.0,0.0,6.7,66,138,-1.7,-14.2
5,2017-02-13,24-352,POR,HOME,ATL,L (-5),1,23:44,.127,.143,6.7,17.5,11.4,19.3,0.0,0.0,0.0,13.7,63,108,-0.6,-10.4
6,2017-02-15,24-354,POR,AWAY,UTA,L (-23),1,23:27,.625,.625,0.0,5.0,2.4,0.0,2.2,6.9,0.0,15.8,124,114,8.3,6.2
7,2017-04-01,25-033,POR,HOME,PHO,W (+13),1,21:50,.518,.300,0.0,20.5,10.5,0.0,2.2,0.0,0.0,12.6,121,114,4.5,-6.6
8,2017-04-03,25-035,POR,AWAY,MIN,L (-1),1,11:44,.000,.000,0.0,22.7,10.4,21.5,0.0,0.0,0.0,16.0,33,125,-2.0,-21.6
9,2017-04-08,25-040,POR,HOME,UTA,W (+15),1,30:16,.563,.563,3.2,14.4,8.4,4.9,0.0,0.0,0.0,12.6,127,103,5.6,-2.2
10,2017-04-10,25-042,POR,HOME,SAS,W (+1),1,33:42,.929,.929,0.0,19.9,9.6,0.0,1.6,0.0,0.0,9.5,183,106,11.3,4.1
11,2017-04-12,25-044,POR,HOME,NOP,L (-3),1,35:32,.318,.318,0.0,24.3,12.8,3.7,0.0,2.0,8.3,14.3,71,103,2.0,-9.6
