,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-11-09,21-077,POR,AWAY,LAC,L (-31),1,26:28,.313,.313,7.0,32.6,19.6,6.6,0.0,0.0,11.1,15.1,71,114,3.2,-5.7
1,2016-12-13,21-111,POR,HOME,OKC,W (+19),1,18:54,.512,.500,14.5,16.9,15.9,0.0,2.6,4.2,29.1,16.5,87,95,3.0,-7.5
2,2016-12-15,21-113,POR,AWAY,DEN,L (-12),1,18:21,.375,.375,17.1,33.8,23.8,0.0,0.0,0.0,11.1,20.0,90,130,2.7,-13.3
3,2016-12-17,21-115,POR,AWAY,GSW,L (-45),1,23:49,.381,.429,11.2,30.5,18.5,0.0,2.0,0.0,20.2,18.8,73,132,3.7,-9.5
4,2017-01-20,21-149,POR,AWAY,PHI,L (-1),1,25:52,.683,.750,3.6,15.8,9.4,0.0,1.9,0.0,0.0,11.9,138,94,8.3,2.7
5,2017-01-21,21-150,POR,AWAY,BOS,W (+4),1,16:57,.500,.500,29.8,14.9,22.3,0.0,8.7,0.0,20.0,25.7,97,99,6.0,-6.5
6,2017-01-25,21-154,POR,HOME,LAL,W (+7),1,20:23,.667,.667,20.5,26.2,23.5,0.0,0.0,0.0,14.3,15.0,130,99,8.2,0.1
7,2017-01-27,21-156,POR,HOME,MEM,W (+3),1,15:48,.000,.000,0.0,26.0,12.2,0.0,0.0,0.0,0.0,3.0,0,119,-1.4,-10.3
8,2017-01-29,21-158,POR,HOME,GSW,L (-2),1,17:38,.500,.500,20.4,13.3,16.8,6.7,2.6,0.0,33.3,14.0,93,109,3.6,-3.4
9,2017-01-31,21-160,POR,HOME,CHO,W (+17),1,19:31,.222,.222,19.7,34.3,26.4,0.0,0.0,0.0,10.0,22.1,70,103,0.5,-18.1
10,2017-02-03,21-163,POR,HOME,DAL,L (-4),1,7:17,.515,.667,28.7,19.4,24.7,0.0,0.0,0.0,0.0,24.2,120,126,3.6,-0.2
11,2017-02-05,21-165,POR,AWAY,OKC,L (-6),1,14:55,.500,.500,25.7,0.0,12.9,0.0,0.0,0.0,0.0,11.9,136,117,4.4,-3.2
12,2017-02-07,21-167,POR,AWAY,DAL,W (+1),1,22:16,.000,.000,4.7,38.7,20.3,0.0,0.0,0.0,51.0,11.4,11,125,-3.2,-15.9
13,2017-02-09,21-169,POR,HOME,BOS,L (-9),1,15:58,.333,.333,23.1,40.1,32.2,8.4,0.0,4.9,40.0,14.2,82,118,2.8,-7.2
14,2017-02-13,21-173,POR,HOME,ATL,L (-5),1,14:15,.266,.000,0.0,29.2,12.6,0.0,0.0,6.8,34.7,8.4,38,99,-1.6,-14.5
15,2017-02-23,21-183,POR,AWAY,ORL,W (+9),1,15:59,.902,1.000,8.3,18.4,14.1,0.0,0.0,4.7,43.6,18.5,93,103,4.6,-2.4
16,2017-02-26,21-186,POR,AWAY,TOR,L (-6),1,20:31,.644,.667,0.0,26.0,12.0,0.0,0.0,4.0,0.0,8.8,130,119,3.6,-3.8
17,2017-02-28,21-188,POR,AWAY,DET,L (-7),1,19:05,.868,1.000,6.9,9.6,8.5,14.4,0.0,0.0,0.0,6.8,187,117,5.9,4.7
18,2017-03-02,21-190,POR,HOME,OKC,W (+5),1,16:14,.250,.250,8.0,24.6,17.4,0.0,0.0,0.0,20.0,13.6,57,115,0.1,-12.9
19,2017-03-04,21-192,POR,HOME,BRK,W (+14),1,15:47,.200,.200,10.5,31.2,22.4,0.0,6.2,0.0,16.7,16.9,51,108,1.8,-12.7
20,2017-03-07,21-195,POR,AWAY,OKC,W (+5),1,21:39,.799,.833,22.7,6.2,14.8,12.3,0.0,0.0,12.7,16.2,157,130,10.3,1.1
21,2017-03-09,21-197,POR,HOME,PHI,W (+6),1,11:59,1.000,1.000,9.2,26.0,17.9,0.0,0.0,0.0,50.0,14.6,83,106,1.0,-12.3
22,2017-03-11,21-199,POR,HOME,WAS,L (-1),1,18:27,.667,.667,13.1,38.3,25.8,0.0,0.0,4.4,25.0,10.0,117,115,5.2,-1.6
23,2017-03-12,21-200,POR,AWAY,PHO,W (+9),1,22:37,.486,.400,19.3,13.8,16.5,5.5,2.1,0.0,0.0,13.8,129,100,8.1,1.3
24,2017-03-14,21-202,POR,AWAY,NOP,L (-23),1,22:34,.323,.000,4.0,38.7,19.7,0.0,2.3,0.0,17.7,11.6,65,101,1.5,-6.7
25,2017-03-15,21-203,POR,AWAY,SAS,W (+4),1,26:24,1.042,1.000,4.7,22.2,13.6,17.8,0.0,0.0,0.0,10.1,219,115,13.9,10.4
26,2017-03-18,21-206,POR,AWAY,ATL,W (+16),1,26:58,.601,.571,14.8,26.9,22.0,0.0,0.0,0.0,32.5,19.0,90,99,5.6,-8.5
27,2017-03-19,21-207,POR,AWAY,MIA,W (+11),1,28:34,.698,.714,8.6,19.5,14.3,5.0,1.9,0.0,11.3,14.3,139,114,10.5,3.0
28,2017-03-21,21-209,POR,HOME,MIL,L (-3),1,27:59,.645,.500,14.0,14.0,14.0,5.4,1.8,0.0,0.0,9.8,155,101,10.9,4.2
29,2017-03-23,21-211,POR,HOME,NYK,W (+15),1,32:09,.286,.286,10.9,27.4,19.9,0.0,1.6,2.3,22.2,12.7,68,95,3.2,-7.4
30,2017-03-25,21-213,POR,HOME,MIN,W (+12),1,23:29,.798,1.000,0.0,16.6,9.9,4.8,0.0,0.0,0.0,4.2,172,116,2.3,-2.9
31,2017-03-26,21-214,POR,AWAY,LAL,W (+16),1,25:37,.500,.500,7.1,45.0,25.5,0.0,0.0,0.0,11.1,15.3,95,87,8.0,-2.3
32,2017-03-28,21-216,POR,HOME,DEN,W (+9),1,29:10,.667,.667,9.9,7.5,8.8,3.9,3.3,0.0,25.0,5.7,131,114,5.9,-0.4
33,2017-03-30,21-218,POR,HOME,HOU,W (+10),1,14:38,.521,.500,8.2,15.3,11.9,8.3,0.0,0.0,25.8,11.4,100,114,1.4,-8.1
34,2017-04-01,21-220,POR,HOME,PHO,W (+13),1,35:16,.750,.750,16.6,25.3,21.1,7.8,2.7,0.0,20.0,11.6,140,112,14.1,0.5
35,2017-04-03,21-222,POR,AWAY,MIN,L (-1),1,26:09,.888,.800,4.3,15.3,9.3,0.0,4.1,4.9,12.9,14.0,157,116,12.9,3.3
36,2017-04-04,21-223,POR,AWAY,UTA,L (-19),1,21:12,.205,.000,0.0,7.8,3.0,0.0,0.0,0.0,17.0,13.7,37,128,-3.5,-19.7
37,2017-04-06,21-225,POR,HOME,MIN,W (+7),1,22:56,.865,.667,15.0,18.2,16.6,6.8,0.0,6.1,16.1,12.4,166,99,10.9,5.4
38,2017-04-08,21-227,POR,HOME,UTA,W (+15),1,30:52,.200,.200,15.6,14.1,14.9,8.8,0.0,7.9,0.0,7.7,109,97,5.9,-2.7
39,2017-04-10,21-229,POR,HOME,SAS,W (+1),1,37:03,.667,.667,19.7,12.1,16.0,4.4,0.0,0.0,0.0,11.1,159,112,13.3,-0.2
40,2017-04-12,21-231,POR,HOME,NOP,L (-3),1,38:11,.644,.625,25.1,25.1,25.1,3.6,1.3,0.0,9.7,11.4,144,102,17.6,2.1
