,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-12-14,30-220,SAC,AWAY,HOU,L (-34),1,29:33,.744,.731,3.2,4.5,3.7,23.5,0.0,3.8,22.9,25.3,111,139,13.4,3.0
1,2016-12-16,30-222,SAC,AWAY,MEM,W (+4),1,37:22,.672,.550,5.5,11.4,8.4,19.9,2.8,0.0,13.7,17.5,132,101,16.6,9.8
2,2016-12-18,30-224,SAC,AWAY,DAL,L (-20),1,36:25,.230,.150,3.0,12.6,7.7,32.2,2.9,3.0,21.6,18.6,63,106,3.7,-4.5
3,2017-01-08,30-245,SAC,HOME,GSW,L (-11),1,42:21,.651,.667,0.0,2.6,1.5,11.2,1.1,1.9,8.5,12.7,119,122,11.2,0.0
4,2017-01-10,30-247,SAC,HOME,DET,W (+6),1,30:04,.688,.688,0.0,3.9,2.0,0.0,1.8,0.0,0.0,12.6,138,108,6.7,0.1
5,2017-01-13,30-250,SAC,HOME,CLE,L (-12),1,34:43,.625,.625,0.0,6.7,3.4,3.5,4.3,2.8,50.0,10.1,61,119,3.6,-2.9
6,2017-01-15,30-252,SAC,HOME,OKC,L (-4),1,24:25,.581,.500,0.0,16.7,8.9,19.0,0.0,0.0,0.0,11.2,143,121,7.5,-2.1
7,2017-01-20,30-257,SAC,AWAY,MEM,L (-16),1,33:11,.678,.667,0.0,9.6,4.7,18.3,1.6,5.3,0.0,14.9,136,116,13.5,6.9
8,2017-01-21,30-258,SAC,AWAY,CHI,L (-3),1,30:03,.405,.389,0.0,10.6,5.4,14.9,3.5,2.4,16.8,18.6,79,109,4.2,-5.4
9,2017-01-23,30-260,SAC,AWAY,DET,W (+5),1,34:25,.671,.583,3.3,7.2,5.2,15.6,1.4,0.0,19.6,13.2,124,111,9.5,-1.8
10,2017-01-25,30-262,SAC,AWAY,CLE,W (+4),1,37:45,.581,.500,0.0,11.5,6.0,7.5,5.5,0.0,0.0,12.5,129,105,12.7,2.2
11,2017-01-27,30-264,SAC,AWAY,IND,L (-4),1,32:49,.205,.000,0.0,0.0,0.0,13.8,3.5,0.0,45.0,13.7,48,123,-2.3,-12.3
12,2017-01-28,30-265,SAC,AWAY,CHO,W (+3),1,24:21,.400,.357,0.0,5.3,2.7,5.3,2.2,0.0,0.0,17.4,92,122,3.3,-9.0
13,2017-01-30,30-267,SAC,AWAY,PHI,L (-3),1,34:50,.543,.583,4.8,0.0,2.2,18.7,2.9,0.0,23.7,10.9,112,128,5.8,-3.8
14,2017-01-31,30-268,SAC,AWAY,HOU,L (-22),1,18:13,.375,.375,0.0,17.2,7.5,19.3,2.7,0.0,0.0,9.7,90,109,3.9,-2.1
15,2017-03-13,30-309,SAC,HOME,ORL,W (+5),1,34:30,.778,.778,0.0,8.7,4.9,15.6,2.7,0.0,30.8,17.0,109,112,11.0,-1.6
16,2017-03-18,30-314,SAC,AWAY,OKC,L (-16),1,28:08,.394,.313,3.8,8.7,6.1,21.6,5.5,0.0,18.4,17.3,84,112,6.5,0.3
17,2017-03-19,30-315,SAC,AWAY,SAS,L (-16),1,26:28,.794,.833,0.0,3.9,2.1,24.1,0.0,0.0,17.5,20.4,124,139,11.4,3.8
18,2017-03-27,30-323,SAC,HOME,MEM,W (+1),1,34:03,.300,.300,0.0,12.0,7.0,15.0,1.7,2.2,16.7,18.5,65,109,2.0,-6.1
19,2017-04-09,30-336,SAC,HOME,HOU,L (-7),1,35:33,.542,.542,0.0,18.8,8.5,3.4,5.2,0.0,0.0,14.4,108,123,12.0,-0.6
20,2017-04-11,30-338,SAC,HOME,PHO,W (+25),1,27:29,.714,.714,4.6,5.4,5.1,24.2,1.7,0.0,12.5,12.2,140,103,11.1,5.0
