,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Wed, Oct 26, 2016",2016,10,26,10:00p,False,PHO,W,False,113,94,1,0,W 1
1,"Thu, Oct 27, 2016",2016,10,27,10:30p,True,SAS,L,False,94,102,1,1,L 1
2,"Sat, Oct 29, 2016",2016,10,29,10:30p,True,MIN,W,False,106,103,2,1,W 1
3,"Mon, Oct 31, 2016",2016,10,31,7:30p,False,ATL,L,False,95,106,2,2,L 1
4,"Tue, Nov 1, 2016",2016,11,1,7:30p,False,MIA,L,True,96,108,2,3,L 2
5,"Thu, Nov 3, 2016",2016,11,3,7:00p,False,ORL,L,False,94,102,2,4,L 3
6,"Sat, Nov 5, 2016",2016,11,5,8:00p,False,MIL,L,False,91,117,2,5,L 4
7,"Sun, Nov 6, 2016",2016,11,6,6:00p,False,TOR,W,False,96,91,3,5,W 1
8,"Tue, Nov 8, 2016",2016,11,8,10:30p,True,NOP,W,False,102,94,4,5,W 2
9,"Thu, Nov 10, 2016",2016,11,10,10:30p,True,LAL,L,False,91,101,4,6,L 1
10,"Fri, Nov 11, 2016",2016,11,11,10:00p,False,POR,L,True,120,122,4,7,L 2
11,"Wed, Nov 16, 2016",2016,11,16,10:30p,True,SAS,L,False,105,110,4,8,L 3
12,"Fri, Nov 18, 2016",2016,11,18,10:30p,True,LAC,L,False,115,121,4,9,L 4
13,"Sun, Nov 20, 2016",2016,11,20,9:00p,True,TOR,W,False,102,99,5,9,W 1
14,"Wed, Nov 23, 2016",2016,11,23,10:30p,True,OKC,W,False,116,101,6,9,W 2
15,"Fri, Nov 25, 2016",2016,11,25,10:30p,True,HOU,L,False,104,117,6,10,L 1
16,"Sun, Nov 27, 2016",2016,11,27,6:00p,False,BRK,W,False,122,105,7,10,W 1
17,"Mon, Nov 28, 2016",2016,11,28,7:00p,False,WAS,L,True,95,101,7,11,L 1
18,"Fri, Dec 2, 2016",2016,12,2,7:30p,False,BOS,L,False,92,97,7,12,L 2
19,"Sun, Dec 4, 2016",2016,12,4,7:30p,False,NYK,L,False,98,106,7,13,L 3
21,"Wed, Dec 7, 2016",2016,12,7,8:30p,False,DAL,W,False,120,89,8,13,W 1
22,"Fri, Dec 9, 2016",2016,12,9,10:30p,True,NYK,L,False,100,103,8,14,L 1
23,"Sat, Dec 10, 2016",2016,12,10,9:00p,False,UTA,L,False,84,104,8,15,L 2
24,"Mon, Dec 12, 2016",2016,12,12,10:30p,True,LAL,W,False,116,92,9,15,W 1
25,"Wed, Dec 14, 2016",2016,12,14,8:00p,False,HOU,L,False,98,132,9,16,L 1
26,"Fri, Dec 16, 2016",2016,12,16,8:00p,False,MEM,W,False,96,92,10,16,W 1
27,"Sun, Dec 18, 2016",2016,12,18,4:00p,False,DAL,L,False,79,99,10,17,L 1
28,"Tue, Dec 20, 2016",2016,12,20,10:30p,True,POR,W,False,126,121,11,17,W 1
29,"Wed, Dec 21, 2016",2016,12,21,9:00p,False,UTA,W,False,94,93,12,17,W 2
30,"Fri, Dec 23, 2016",2016,12,23,8:00p,False,MIN,W,False,109,105,13,17,W 3
31,"Mon, Dec 26, 2016",2016,12,26,10:30p,True,PHI,W,False,102,100,14,17,W 4
