,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Tue, Oct 25, 2016",2016,10,25,10:30p,False,GSW,W,False,129,100,1,0,W 1
1,"Thu, Oct 27, 2016",2016,10,27,10:30p,False,SAC,W,False,102,94,2,0,W 2
2,"Sat, Oct 29, 2016",2016,10,29,8:00p,True,NOP,W,False,98,79,3,0,W 3
3,"Sun, Oct 30, 2016",2016,10,30,6:00p,False,MIA,W,False,106,99,4,0,W 4
4,"Tue, Nov 1, 2016",2016,11,1,8:30p,True,UTA,L,False,91,106,4,1,L 1
5,"Fri, Nov 4, 2016",2016,11,4,9:00p,False,UTA,W,False,100,86,5,1,W 1
6,"Sat, Nov 5, 2016",2016,11,5,8:30p,True,LAC,L,False,92,116,5,2,L 1
7,"Wed, Nov 9, 2016",2016,11,9,9:30p,True,HOU,L,False,99,101,5,3,L 2
8,"Fri, Nov 11, 2016",2016,11,11,8:30p,True,DET,W,False,96,86,6,3,W 1
9,"Sat, Nov 12, 2016",2016,11,12,8:00p,False,HOU,W,False,106,100,7,3,W 2
10,"Mon, Nov 14, 2016",2016,11,14,8:30p,True,MIA,W,False,94,90,8,3,W 3
11,"Wed, Nov 16, 2016",2016,11,16,10:30p,False,SAC,W,False,110,105,9,3,W 4
12,"Fri, Nov 18, 2016",2016,11,18,10:30p,False,LAL,W,False,116,107,10,3,W 5
13,"Mon, Nov 21, 2016",2016,11,21,8:30p,True,DAL,W,False,96,91,11,3,W 6
14,"Wed, Nov 23, 2016",2016,11,23,7:00p,False,CHO,W,False,119,114,12,3,W 7
15,"Fri, Nov 25, 2016",2016,11,25,1:00p,False,BOS,W,False,109,103,13,3,W 8
16,"Sat, Nov 26, 2016",2016,11,26,7:00p,False,WAS,W,False,112,100,14,3,W 9
17,"Tue, Nov 29, 2016",2016,11,29,8:30p,True,ORL,L,False,83,95,14,4,L 1
18,"Wed, Nov 30, 2016",2016,11,30,8:30p,False,DAL,W,False,94,87,15,4,W 1
19,"Fri, Dec 2, 2016",2016,12,2,8:30p,True,WAS,W,False,107,105,16,4,W 2
21,"Mon, Dec 5, 2016",2016,12,5,8:00p,False,MIL,W,False,97,96,17,4,W 3
22,"Tue, Dec 6, 2016",2016,12,6,8:00p,False,MIN,W,False,105,91,18,4,W 4
23,"Thu, Dec 8, 2016",2016,12,8,9:30p,False,CHI,L,False,91,95,18,5,L 1
24,"Sat, Dec 10, 2016",2016,12,10,8:30p,True,BRK,W,False,130,101,19,5,W 1
25,"Wed, Dec 14, 2016",2016,12,14,9:30p,True,BOS,W,False,108,101,20,5,W 2
26,"Thu, Dec 15, 2016",2016,12,15,9:00p,False,PHO,W,False,107,92,21,5,W 3
27,"Sun, Dec 18, 2016",2016,12,18,7:00p,True,NOP,W,False,113,100,22,5,W 4
28,"Tue, Dec 20, 2016",2016,12,20,8:00p,False,HOU,W,False,102,100,23,5,W 5
29,"Thu, Dec 22, 2016",2016,12,22,10:30p,False,LAC,L,False,101,106,23,6,L 1
30,"Fri, Dec 23, 2016",2016,12,23,10:00p,False,POR,W,False,110,90,24,6,W 1
31,"Sun, Dec 25, 2016",2016,12,25,5:00p,True,CHI,W,False,119,100,25,6,W 2
32,"Wed, Dec 28, 2016",2016,12,28,8:30p,True,PHO,W,False,119,98,26,6,W 3
33,"Fri, Dec 30, 2016",2016,12,30,8:30p,True,POR,W,False,110,94,27,6,W 4
34,"Sun, Jan 1, 2017",2017,1,1,6:00p,False,ATL,L,True,112,114,27,7,L 1
35,"Tue, Jan 3, 2017",2017,1,3,8:30p,True,TOR,W,False,110,82,28,7,W 1
36,"Thu, Jan 5, 2017",2017,1,5,9:00p,False,DEN,W,False,127,99,29,7,W 2
37,"Sat, Jan 7, 2017",2017,1,7,8:30p,True,CHO,W,False,102,85,30,7,W 3
38,"Tue, Jan 10, 2017",2017,1,10,8:30p,True,MIL,L,False,107,109,30,8,L 1
39,"Thu, Jan 12, 2017",2017,1,12,8:30p,True,LAL,W,False,134,94,31,8,W 1
40,"Sat, Jan 14, 2017",2017,1,14,6:00p,False,PHO,L,False,105,108,31,9,L 1
42,"Tue, Jan 17, 2017",2017,1,17,8:30p,True,MIN,W,False,122,114,32,9,W 1
43,"Thu, Jan 19, 2017",2017,1,19,8:30p,True,DEN,W,False,118,104,33,9,W 2
44,"Sat, Jan 21, 2017",2017,1,21,8:30p,False,CLE,W,True,118,115,34,9,W 3
45,"Mon, Jan 23, 2017",2017,1,23,7:30p,False,BRK,W,False,112,86,35,9,W 4
46,"Tue, Jan 24, 2017",2017,1,24,7:00p,False,TOR,W,False,108,106,36,9,W 5
47,"Fri, Jan 27, 2017",2017,1,27,8:00p,False,NOP,L,False,103,119,36,10,L 1
48,"Sun, Jan 29, 2017",2017,1,29,7:00p,True,DAL,L,False,101,105,36,11,L 2
49,"Tue, Jan 31, 2017",2017,1,31,8:30p,True,OKC,W,False,108,94,37,11,W 1
50,"Thu, Feb 2, 2017",2017,2,2,8:30p,True,PHI,W,False,102,86,38,11,W 2
51,"Sat, Feb 4, 2017",2017,2,4,9:00p,True,DEN,W,False,121,97,39,11,W 3
52,"Mon, Feb 6, 2017",2017,2,6,9:30p,False,MEM,L,False,74,89,39,12,L 1
53,"Wed, Feb 8, 2017",2017,2,8,7:00p,False,PHI,W,False,111,103,40,12,W 1
54,"Fri, Feb 10, 2017",2017,2,10,7:30p,False,DET,W,False,103,92,41,12,W 2
55,"Sun, Feb 12, 2017",2017,2,12,3:30p,False,NYK,L,False,90,94,41,13,L 1
56,"Mon, Feb 13, 2017",2017,2,13,7:00p,False,IND,W,False,110,106,42,13,W 1
57,"Wed, Feb 15, 2017",2017,2,15,7:00p,False,ORL,W,False,107,79,43,13,W 2
58,"Fri, Feb 24, 2017",2017,2,24,10:30p,False,LAC,W,False,105,97,44,13,W 3
59,"Sun, Feb 26, 2017",2017,2,26,3:30p,False,LAL,W,False,119,98,45,13,W 4
60,"Wed, Mar 1, 2017",2017,3,1,8:30p,True,IND,W,False,100,99,46,13,W 5
61,"Fri, Mar 3, 2017",2017,3,3,9:30p,False,NOP,W,True,101,98,47,13,W 6
63,"Sat, Mar 4, 2017",2017,3,4,9:00p,True,MIN,W,True,97,90,48,13,W 7
64,"Mon, Mar 6, 2017",2017,3,6,8:30p,True,HOU,W,False,112,110,49,13,W 8
65,"Wed, Mar 8, 2017",2017,3,8,8:30p,True,SAC,W,False,114,104,50,13,W 9
66,"Thu, Mar 9, 2017",2017,3,9,8:00p,False,OKC,L,False,92,102,50,14,L 1
67,"Sat, Mar 11, 2017",2017,3,11,8:30p,True,GSW,W,False,107,85,51,14,W 1
68,"Mon, Mar 13, 2017",2017,3,13,8:00p,True,ATL,W,False,107,99,52,14,W 2
69,"Wed, Mar 15, 2017",2017,3,15,8:00p,True,POR,L,False,106,110,52,15,L 1
70,"Sat, Mar 18, 2017",2017,3,18,9:00p,False,MEM,L,False,96,104,52,16,L 2
71,"Sun, Mar 19, 2017",2017,3,19,7:00p,True,SAC,W,False,118,102,53,16,W 1
72,"Tue, Mar 21, 2017",2017,3,21,9:30p,False,MIN,W,False,100,93,54,16,W 2
73,"Thu, Mar 23, 2017",2017,3,23,8:30p,True,MEM,W,False,97,90,55,16,W 3
74,"Sat, Mar 25, 2017",2017,3,25,8:30p,True,NYK,W,False,106,98,56,16,W 4
75,"Mon, Mar 27, 2017",2017,3,27,8:00p,True,CLE,W,False,103,74,57,16,W 5
76,"Wed, Mar 29, 2017",2017,3,29,9:30p,True,GSW,L,False,98,110,57,17,L 1
