,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-25,30-174,UTA,AWAY,POR,L (-9),1,38:45,.481,.417,0.0,8.3,3.8,23.7,2.7,2.2,4.8,25.7,107,124,14.9,0.0
1,2016-10-28,30-177,UTA,HOME,LAL,W (+7),1,35:18,.640,.571,0.0,9.1,4.5,19.0,0.0,2.2,5.3,24.2,134,101,16.3,7.3
2,2016-10-30,30-179,UTA,AWAY,LAC,L (-13),1,31:56,.692,.692,3.6,3.0,3.3,26.6,3.4,0.0,13.3,23.3,117,101,14.0,10.1
3,2016-11-01,30-181,UTA,AWAY,SAS,W (+15),1,32:44,.818,.808,0.0,7.2,4.0,41.4,1.6,0.0,0.0,21.0,169,105,22.2,15.1
4,2016-11-02,30-182,UTA,HOME,DAL,W (+16),1,34:56,.766,.733,3.7,17.2,10.7,24.3,0.0,0.0,15.5,26.4,133,97,19.3,11.4
5,2016-11-04,30-184,UTA,HOME,SAS,L (-14),1,28:23,.500,.500,3.5,8.1,5.6,23.5,0.0,0.0,7.1,23.1,103,115,7.5,1.0
6,2016-11-06,30-186,UTA,AWAY,NYK,W (+5),1,34:36,.763,.708,0.0,7.5,3.8,41.3,3.0,0.0,0.0,20.8,167,119,25.2,14.5
7,2016-11-23,30-203,UTA,HOME,DEN,W (+25),1,28:58,.745,.731,0.0,13.6,8.3,19.3,3.4,0.0,11.9,26.0,130,80,18.1,14.6
8,2016-11-25,30-205,UTA,HOME,ATL,W (+27),1,28:09,.773,.750,0.0,16.4,9.0,8.0,3.6,0.0,0.0,24.4,154,72,20.2,20.6
9,2016-11-28,30-208,UTA,AWAY,MIN,W (+9),1,34:28,.605,.467,3.4,24.4,13.8,18.4,0.0,0.0,9.2,28.7,126,114,18.3,1.7
10,2016-11-29,30-209,UTA,HOME,HOU,W (+19),1,31:45,.581,.500,0.0,3.0,1.9,15.9,1.7,0.0,30.4,15.9,100,119,4.5,-5.3
11,2016-12-29,30-239,UTA,HOME,PHI,W (+17),1,29:17,.831,.900,4.4,24.4,15.6,44.9,5.5,2.6,13.7,24.2,152,81,24.3,22.3
12,2016-12-31,30-241,UTA,HOME,PHO,W (+5),1,7:02,.387,.333,0.0,13.9,7.8,48.4,0.0,0.0,0.0,27.4,102,99,2.2,0.1
13,2017-01-07,30-248,UTA,AWAY,MIN,W (+2),1,32:46,.630,.500,6.7,10.2,8.4,41.6,1.7,0.0,6.2,24.2,138,111,19.0,9.8
14,2017-01-08,30-249,UTA,AWAY,MEM,L (-9),1,32:31,.472,.467,0.0,16.0,7.4,15.4,1.7,2.7,20.1,29.6,80,99,5.2,-2.0
15,2017-01-10,30-251,UTA,HOME,CLE,W (+8),1,36:39,.509,.545,3.3,5.5,4.5,29.1,0.0,0.0,13.6,18.3,112,107,9.1,0.5
16,2017-01-13,30-254,UTA,HOME,DET,W (+33),1,27:07,.768,.808,4.5,12.3,8.6,6.1,0.0,0.0,6.5,27.8,138,92,16.2,9.5
17,2017-01-14,30-255,UTA,HOME,ORL,W (+7),1,33:37,.424,.308,0.0,0.0,0.0,28.3,2.9,0.0,10.8,23.6,96,107,9.4,-2.8
18,2017-01-16,30-257,UTA,AWAY,PHO,W (+5),1,33:21,.450,.417,6.1,22.7,13.5,14.0,0.0,2.4,13.7,29.3,93,112,9.8,-3.8
19,2017-01-20,30-261,UTA,AWAY,DAL,W (+5),1,31:06,.468,.423,0.0,3.6,1.8,5.8,0.0,0.0,12.6,23.7,91,115,2.5,-10.8
20,2017-01-21,30-262,UTA,HOME,IND,W (+9),1,34:21,.720,.656,3.3,19.4,10.7,26.4,1.4,0.0,4.6,27.2,147,106,25.7,13.6
21,2017-01-23,30-264,UTA,HOME,OKC,L (-2),1,31:51,.356,.200,0.0,7.2,3.5,13.7,1.6,2.4,13.7,20.9,74,106,3.6,-7.0
22,2017-01-24,30-265,UTA,AWAY,DEN,L (-10),1,34:50,.430,.361,0.0,10.6,5.0,25.8,1.5,0.0,4.8,27.2,95,111,10.4,0.5
23,2017-01-26,30-267,UTA,HOME,LAL,W (+8),1,34:18,.381,.321,8.7,12.7,10.6,15.3,4.7,0.0,6.0,23.1,92,94,10.8,2.1
24,2017-01-28,30-269,UTA,HOME,MEM,L (-7),1,33:21,.595,.577,0.0,12.7,7.0,38.0,0.0,0.0,18.2,27.0,105,128,9.5,-4.3
25,2017-02-01,30-273,UTA,HOME,MIL,W (+16),1,34:12,.389,.389,0.0,6.4,3.3,17.7,1.5,0.0,10.0,13.4,93,102,4.9,-3.6
26,2017-02-04,30-276,UTA,HOME,CHO,W (+7),1,32:08,.980,.955,0.0,3.5,1.7,5.7,0.0,3.0,0.0,18.2,199,107,20.6,15.5
27,2017-02-06,30-278,UTA,AWAY,ATL,W (+25),1,34:33,.656,.633,4.3,9.9,7.5,29.3,1.5,2.4,5.6,24.7,145,107,21.4,8.5
28,2017-02-08,30-280,UTA,AWAY,NOP,W (+33),1,24:49,.654,.636,0.0,4.5,2.3,15.9,2.1,0.0,0.0,26.7,145,104,14.7,5.7
29,2017-02-11,30-283,UTA,HOME,BOS,L (-8),1,36:00,.577,.500,5.7,4.6,5.3,20.8,4.3,0.0,5.0,24.7,128,117,18.5,8.4
30,2017-02-13,30-285,UTA,HOME,LAC,L (-16),1,26:08,.253,.227,0.0,4.3,1.9,7.6,0.0,0.0,0.0,20.8,59,102,-1.1,-9.2
31,2017-02-15,30-287,UTA,HOME,POR,W (+23),1,30:57,.567,.533,0.0,16.9,8.9,24.9,0.0,0.0,19.3,30.6,103,99,10.3,-3.0
