,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-25,24-005,UTA,AWAY,POR,L (-9),1,37:39,.677,.618,0.0,8.5,3.9,4.5,2.8,2.3,0.0,24.5,139,124,20.5,6.6
1,2016-10-28,24-008,UTA,HOME,LAL,W (+7),1,32:21,.463,.429,0.0,19.8,9.9,6.3,1.6,0.0,5.8,23.9,98,95,7.3,-1.5
2,2016-10-30,24-010,UTA,AWAY,LAC,L (-13),1,28:16,.239,.250,0.0,10.2,5.5,0.0,0.0,0.0,16.1,21.8,40,105,-3.9,-15.1
3,2016-11-01,24-012,UTA,AWAY,SAS,W (+15),1,33:02,.663,.615,0.0,17.7,10.0,5.0,1.6,0.0,6.5,23.7,118,104,13.7,3.5
4,2016-11-02,24-013,UTA,HOME,DAL,W (+16),1,34:37,.652,.625,3.7,20.8,12.6,18.5,1.6,0.0,15.1,27.4,115,92,15.4,6.4
5,2016-11-04,24-015,UTA,HOME,SAS,L (-14),1,23:53,.654,.667,4.1,19.1,11.0,25.2,2.2,0.0,6.8,28.9,124,108,13.3,11.2
6,2016-11-06,24-017,UTA,AWAY,NYK,W (+5),1,38:17,.628,.615,0.0,20.3,10.3,21.5,1.4,0.0,0.0,17.9,137,120,16.8,5.1
7,2016-11-07,24-018,UTA,AWAY,PHI,W (+25),1,29:07,.692,.692,0.0,7.5,3.8,5.2,1.8,2.9,7.1,22.2,128,94,13.3,6.8
8,2016-11-09,24-020,UTA,AWAY,CHO,L (-6),1,33:23,.635,.643,0.0,14.0,6.9,20.6,3.1,0.0,11.3,25.1,116,110,15.0,6.9
9,2016-11-11,24-022,UTA,AWAY,ORL,W (+13),1,33:11,.409,.367,3.1,9.0,6.1,11.2,0.0,2.5,11.2,25.1,84,91,5.4,-4.5
10,2016-11-12,24-023,UTA,AWAY,MIA,W (+11),1,34:17,.576,.500,0.0,13.0,6.7,4.4,0.0,2.2,6.3,22.4,113,100,10.3,-0.1
11,2016-11-17,24-028,UTA,HOME,CHI,L (-8),1,33:54,.355,.344,0.0,16.3,9.0,6.2,0.0,0.0,5.6,26.1,75,100,3.1,-5.2
12,2016-11-19,24-030,UTA,AWAY,HOU,L (-9),1,33:37,.847,.808,0.0,11.9,7.0,15.5,0.0,0.0,6.3,23.6,156,125,20.6,11.4
13,2016-11-20,24-031,UTA,AWAY,DEN,L (-14),1,31:00,.342,.250,0.0,16.5,7.9,10.9,0.0,0.0,6.4,23.0,78,116,2.7,-9.9
14,2016-11-23,24-034,UTA,HOME,DEN,W (+25),1,29:18,.533,.533,0.0,16.1,9.8,6.0,0.0,0.0,11.8,26.1,91,87,7.6,-0.8
15,2016-11-25,24-036,UTA,HOME,ATL,W (+27),1,28:08,.444,.444,4.0,9.8,7.2,5.7,0.0,0.0,10.0,16.4,90,82,3.8,-2.5
16,2016-11-28,24-039,UTA,AWAY,MIN,W (+9),1,32:18,.375,.375,0.0,11.1,5.5,21.8,1.6,0.0,7.7,18.2,92,114,5.4,-3.3
17,2016-11-29,24-040,UTA,HOME,HOU,W (+19),1,20:26,.598,.567,0.0,9.4,6.0,28.7,2.7,3.9,11.2,44.7,112,112,13.3,5.1
18,2016-12-03,24-044,UTA,HOME,DEN,W (+7),1,28:02,.439,.321,4.6,21.4,13.3,6.1,3.7,0.0,5.5,31.2,94,102,9.5,-4.5
19,2016-12-05,24-046,UTA,AWAY,LAL,W (+6),1,30:58,.426,.353,4.0,14.4,9.5,25.6,0.0,0.0,5.1,29.2,105,117,10.5,-3.5
20,2016-12-06,24-047,UTA,HOME,PHO,W (+7),1,11:31,.667,.667,0.0,0.0,0.0,35.5,4.4,0.0,0.0,24.5,138,109,6.6,11.2
21,2016-12-14,24-055,UTA,HOME,OKC,W (+20),1,31:19,.840,.821,0.0,3.3,2.0,5.4,0.0,0.0,6.3,26.3,149,112,17.6,8.6
22,2016-12-16,24-057,UTA,HOME,DAL,W (+3),1,30:47,.631,.636,0.0,11.7,6.9,11.3,3.7,0.0,20.2,25.0,105,116,9.8,0.8
23,2016-12-18,24-059,UTA,AWAY,MEM,W (+9),1,33:20,.313,.313,4.2,7.7,6.4,6.3,0.0,0.0,0.0,25.0,70,95,2.7,-8.5
24,2016-12-20,24-061,UTA,AWAY,GSW,L (-30),1,10:42,.000,.000,0.0,10.4,4.8,16.6,0.0,0.0,0.0,24.5,10,113,-4.1,-20.4
25,2016-12-23,24-064,UTA,HOME,TOR,L (-6),1,13:12,.167,.167,0.0,0.0,0.0,11.6,0.0,0.0,14.3,24.4,40,119,-2.1,-18.7
26,2016-12-27,24-068,UTA,AWAY,LAL,W (+2),1,24:32,.143,.143,0.0,9.8,5.0,5.4,0.0,0.0,22.2,16.8,35,118,-3.6,-17.8
27,2016-12-29,24-070,UTA,HOME,PHI,W (+17),1,32:19,.842,.818,0.0,3.2,1.8,12.1,1.7,0.0,25.2,23.7,118,100,13.0,4.5
28,2016-12-31,24-072,UTA,HOME,PHO,W (+5),1,25:08,.591,.591,5.0,11.7,8.8,7.5,0.0,0.0,8.3,23.7,110,100,7.0,1.4
